experiment_part,experiment_id,batch_directory,run_key,size_id,random_seed,scenario_id,num_dc,raw_vector_source,raw_vector_length,expected_vector_length,open_dc_count,open_dc_set,classification,reconstruction_method,affected_metrics,raw_file_sha256,normalized_file_sha256,notes
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/707,5x10,707,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,0237b06e61623e8758b06ea4759133682108c3262a8e408759d6baba4ff141d3,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/808,5x10,808,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,168bf3600ea5e6c70ff0aebadec51c5ca87cb2ec5a0f1a0b182e785741316a98,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/101,5x10,101,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,51b3afc1124def0a22bb12d87828a1bf585ba61a57f35c378005cd77a0c3ebd6,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/909,5x10,909,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,5e9f716270fc2803a7aa46bae913c57837cd5f487e69125b1913c0bc70e80e22,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/202,5x10,202,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,305d79acd4213b57ee62c5f54b27bc6421c4a003b71bcb60772fc4dac5e0daa1,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/1010,5x10,1010,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,0281e1ff0dd748371d4e4c969e92a6beec341065176ea4d0e6ffedaa5e92d47d,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/303,5x10,303,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,6459d4ee684d4c8376be4b148fb37af5a4b4eed4ab0edf29b08d5252bbcdebbe,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/404,5x10,404,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,b14b72e0e26b4a4187bda42cfe0fd4b74ee22f372dd1e01adc07df66b12df93d,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/505,5x10,505,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,5c1c0d3f2e724e286396f767cfba3def8638bf32bed8533f53d078c63c901848,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
Part1_RQ4/A1,A1_cplex_vs_bp,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/6_数值实验/03_正式结果/Part1_RQ4/A1_cplex_vs_bp/formal_90pairs_20260801_202000,5x10/0/606,5x10,606,,5,fixed_w scalar,0,5,,,NOT_APPLICABLE,not_applicable,none,96ac60d2585923befbe86fdf606a9e8f55c748632b383cf7eeda3b317b19d36a,,A1 uses fixed scalar w and does not report candidate-vector derived metrics
