num_dc,num_retailers,random_seed,fixed_w,complete_column_count,cplex_status,cplex_objective,cplex_gap,cplex_wall_time_sec,bp_status,bp_objective,bp_gap,bp_wall_time_sec,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,10,101,0.0,6108,OPTIMAL,390548.32979060709,0,0.037211452999999999,OPTIMAL_CERTIFIED,390548.32979060709,0,0.001892485,0,0,true,true,6,0,1,0,0,true,3x10
3,10,202,0.0,6108,OPTIMAL,320814.29697384901,0,0.068787848999999998,OPTIMAL_CERTIFIED,320814.29697384901,0,0.001716899,0,0,true,true,5,0,1,0,0,true,3x10
3,10,303,0.0,6108,OPTIMAL,348511.25749501033,0,0.025765606999999999,OPTIMAL_CERTIFIED,348511.25749501033,0,0.0016741740000000001,0,0,true,true,5,0,1,0,0,true,3x10
3,10,404,0.0,6108,OPTIMAL,268275.96565242269,0,0.053259736000000002,OPTIMAL_CERTIFIED,268275.96565242269,0,0.00075544399999999997,0,0,true,true,3,0,1,0,0,true,3x10
3,10,505,0.0,6108,OPTIMAL,125308.68948274091,0,0.015957121000000001,OPTIMAL_CERTIFIED,125308.68948274091,0,0.00062044200000000002,0,0,true,true,2,0,1,0,0,true,3x10
3,10,606,0.0,6108,OPTIMAL,575992.37211698748,0,0.091338457999999997,OPTIMAL_CERTIFIED,575992.37211698748,0,0.002871883,0,0,true,true,7,0,1,0,0,true,3x10
3,10,707,0.0,6108,OPTIMAL,585987.19951055991,0,0.051519204999999998,OPTIMAL_CERTIFIED,585987.19951055991,0,0.0036469219999999999,0,0,true,true,10,0,1,0,0,true,3x10
3,10,808,0.0,6108,OPTIMAL,449908.31970241654,0,0.072137765000000006,OPTIMAL_CERTIFIED,449908.31970241654,0,0.013669493,0,0,true,true,10,0,1,0,0,true,3x10
3,10,909,0.0,6108,OPTIMAL,247811.8685253443,0,0.031313903999999997,OPTIMAL_CERTIFIED,247811.8685253443,0,0.0010828000000000001,0,0,true,true,4,0,1,0,0,true,3x10
3,10,1010,0.0,6108,OPTIMAL,281445.83649636991,0,0.043139830999999997,OPTIMAL_CERTIFIED,281445.83649636991,0,0.001622182,0,0,true,true,5,0,1,0,0,true,3x10
3,10,101,0.4,6108,OPTIMAL,476884.71855748002,0,0.073377669000000006,OPTIMAL_CERTIFIED,476884.71855748002,0,0.0039242510000000001,0,0,true,true,7,0,1,0,0,true,3x10
3,10,202,0.4,6108,OPTIMAL,407969.02957803616,0,0.050267142000000001,OPTIMAL_CERTIFIED,407969.02957803616,0,0.0034472679999999999,0,0,true,true,8,0,1,0,0,true,3x10
3,10,303,0.4,6108,OPTIMAL,430614.71187055041,0,0.043546926,OPTIMAL_CERTIFIED,430614.71187055041,0,0.0057205090000000004,0,0,true,true,7,0,1,0,0,true,3x10
3,10,404,0.4,6108,OPTIMAL,333590.12669876206,0,0.020501205000000002,OPTIMAL_CERTIFIED,333590.12669876206,0,0.000892723,0,0,true,true,3,0,1,0,0,true,3x10
3,10,505,0.4,6108,OPTIMAL,178208.81279732345,0,0.025789625,OPTIMAL_CERTIFIED,178208.81279732345,0,0.001346281,0,0,true,true,4,0,1,0,0,true,3x10
3,10,606,0.4,6108,OPTIMAL,619086.00387154939,0,0.068112167000000001,OPTIMAL_CERTIFIED,619086.00387154939,0,0.0039207670000000003,0,0,true,true,7,0,1,0,0,true,3x10
3,10,707,0.4,6108,OPTIMAL,630680.13791055768,0,0.041256359999999999,OPTIMAL_CERTIFIED,630680.13791055768,0,0.0031166330000000002,0,0,true,true,7,0,1,0,0,true,3x10
3,10,808,0.4,6108,OPTIMAL,519662.90163726313,0,0.056027612999999997,OPTIMAL_CERTIFIED,519662.90163726313,0,0.0069049050000000002,0,0,true,true,12,0,1,0,0,true,3x10
3,10,909,0.4,6108,OPTIMAL,298764.40624365985,0,0.036418783000000003,OPTIMAL_CERTIFIED,298764.40624365985,0,0.002302592,0,0,true,true,5,0,1,0,0,true,3x10
3,10,1010,0.4,6108,OPTIMAL,354667.11696317187,0,0.050847494,OPTIMAL_CERTIFIED,354667.11696317187,0,0.0026245330000000001,0,0,true,true,5,0,1,0,0,true,3x10
3,10,101,0.8,6108,OPTIMAL,463906.51371692715,0,0.077555106999999998,OPTIMAL_CERTIFIED,463906.51371692715,0,0.0089423439999999996,0,0,true,true,15,0,1,0,0,true,3x10
3,10,202,0.8,6108,OPTIMAL,379319.11776367162,0,0.059485122000000001,OPTIMAL_CERTIFIED,379319.11776367162,0,0.0072540069999999998,0,0,true,true,10,0,1,0,0,true,3x10
3,10,303,0.8,6108,OPTIMAL,394504.62230605329,0,0.057037785000000001,OPTIMAL_CERTIFIED,394504.62230605329,0,0.0052834090000000002,0,0,true,true,9,0,1,0,0,true,3x10
3,10,404,0.8,6108,OPTIMAL,291244.30357873812,0,0.025566225000000001,OPTIMAL_CERTIFIED,291244.30357873812,0,0.0025256530000000001,0,0,true,true,4,0,1,0,0,true,3x10
3,10,505,0.8,6108,OPTIMAL,191224.22141226818,0,0.022194878000000001,OPTIMAL_CERTIFIED,191224.22141226818,0,0.002508845,0,0,true,true,5,0,1,0,0,true,3x10
3,10,606,0.8,6108,OPTIMAL,543151.62213169364,0,0.069580824999999999,OPTIMAL_CERTIFIED,543151.62213169353,0,0.007405722,1.1641532182693481e-10,2.1433300957482645e-16,true,true,11,0,1,0,0,true,3x10
3,10,707,0.8,6108,OPTIMAL,565125.20379640255,0,0.064754147999999997,OPTIMAL_CERTIFIED,565125.20379640255,0,0.0066957370000000002,0,0,true,true,8,0,1,0,0,true,3x10
