random_seed,num_dc,num_retailers,chromosome_length,grid_status,grid_complete,grid_certified_combinations,grid_best_grid_id,grid_best_objective,grid_best_k1,grid_best_k2,grid_best_k3,grid_best_k4,grid_best_k5,grid_best_w1,grid_best_w2,grid_best_w3,grid_best_w4,grid_best_w5,grid_wall_time_sec,grid_user_time_sec,grid_system_time_sec,grid_actual_bp_calls,grid_total_cg_iterations,grid_total_branch_nodes,ga_status,ga_best_objective,ga_best_k1,ga_best_k2,ga_best_k3,ga_best_k4,ga_best_k5,ga_best_w1,ga_best_w2,ga_best_w3,ga_best_w4,ga_best_w5,ga_generations,ga_termination_reason,ga_wall_time_sec,ga_user_time_sec,ga_system_time_sec,ga_fitness_requests,ga_actual_bp_calls,ga_cache_hits,ga_cache_hit_rate,ga_certified_optimal_bp,ga_uncertified_feasible_bp,ga_failed_bp,ga_total_cg_iterations,ga_total_branch_nodes,absolute_objective_difference,relative_gap_percent,ga_hits_grid_optimum,evaluation_saving_ratio,wall_time_ratio_grid_over_ga,pair_complete,notes
101,5,20,3,OPTIMAL_CERTIFIED,1,32768,12690,1352816.61395718,3,0,6,2,2,0.42857142857142855,0.0,0.8571428571428571,0.2857142857142857,0.2857142857142857,695.24,5372.03,160.54,32768,1370864.0,40831.0,OPTIMAL,1352816.61395718,3,1,6,2,2,0.428571428571429,0.142857142857143,0.857142857142857,0.285714285714286,0.285714285714286,23,early_stop_or_completed,11.21,62.16,1.42,690,478,212,0.3072463768115942,478,0,0,15703,241,0.0,0.0,1,0.98541259765625,62.01962533452274,1,same unified random_seed and deterministic instance generator
202,5,20,3,OPTIMAL_CERTIFIED,1,32768,6228,1344007.10742063,1,4,1,2,4,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,501.8,3880.09,128.71,32768,974156.0,17919.0,OPTIMAL,1343574.60266331,1,4,1,2,3,0.142857142857143,0.571428571428571,0.142857142857143,0.285714285714286,0.428571428571429,14,early_stop_or_completed,4.72,24.47,0.71,420,324,96,0.22857142857142856,324,0,0,6592,46,432.5047573200427,0.03218024331360049,0,0.9901123046875,106.31355932203391,1,same unified random_seed and deterministic instance generator
303,5,20,3,OPTIMAL_CERTIFIED,1,32768,676,1369192.74157762,0,1,2,4,4,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,428.82,3301.37,126.62,32768,835708.0,9817.0,OPTIMAL,1369192.74157762,3,1,2,4,4,0.428571428571429,0.142857142857143,0.285714285714286,0.571428571428571,0.571428571428571,14,early_stop_or_completed,4.48,27.59,0.89,420,330,90,0.21428571428571427,330,0,0,7378,26,0.0,0.0,1,0.98992919921875,95.71874999999999,1,same unified random_seed and deterministic instance generator
404,5,20,3,OPTIMAL_CERTIFIED,1,32768,24794,1063203.13288686,6,0,3,3,2,0.8571428571428571,0.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,342.56,2624.33,111.52,32768,657746.0,501.0,OPTIMAL,1063203.13288686,6,4,3,3,2,0.857142857142857,0.571428571428571,0.428571428571429,0.428571428571429,0.285714285714286,20,early_stop_or_completed,5.45,33.28,0.92,600,423,177,0.295,423,0,0,8362,0,0.0,0.0,1,0.987091064453125,62.85504587155963,1,same unified random_seed and deterministic instance generator
505,5,20,3,OPTIMAL_CERTIFIED,1,32768,10524,974740.964270683,2,4,4,3,4,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,214.07,1606.35,100.72,32768,516515.0,4639.0,OPTIMAL,973185.297125758,3,5,5,3,3,0.428571428571429,0.714285714285714,0.714285714285714,0.428571428571429,0.428571428571429,17,early_stop_or_completed,3.13,17.34,0.74,510,376,134,0.2627450980392157,376,0,0,5832,40,1555.6671449249843,0.15959800623429832,0,0.988525390625,68.3929712460064,1,same unified random_seed and deterministic instance generator
606,5,20,3,OPTIMAL_CERTIFIED,1,32768,13971,1764193.5433978,3,3,2,2,3,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,303.74,2315.57,105.78,32768,611791.0,2466.0,OPTIMAL,1764193.5433978,3,3,2,2,3,0.428571428571429,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,27,early_stop_or_completed,5.17,32.18,1.13,810,576,234,0.28888888888888886,576,0,0,10006,22,0.0,0.0,1,0.982421875,58.7504835589942,1,same unified random_seed and deterministic instance generator
707,5,20,3,OPTIMAL_CERTIFIED,1,32768,17106,1476971.10197706,4,1,3,2,2,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,359.68,2762.07,112.85,32768,746947.0,7426.0,OPTIMAL,1471089.73688132,2,1,3,3,2,0.285714285714286,0.142857142857143,0.428571428571429,0.428571428571429,0.285714285714286,11,early_stop_or_completed,2.91,15.84,0.53,330,234,96,0.2909090909090909,234,0,0,4835,32,5881.365095740184,0.3982044799568145,0,0.99285888671875,123.60137457044674,1,same unified random_seed and deterministic instance generator
808,5,20,3,OPTIMAL_CERTIFIED,1,32768,13843,1756669.73361318,3,3,0,2,3,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857,0.42857142857142855,419.43,3235.26,117.03,32768,732501.0,2833.0,OPTIMAL,1755844.88427093,2,3,3,2,3,0.285714285714286,0.428571428571429,0.428571428571429,0.285714285714286,0.428571428571429,17,early_stop_or_completed,5.52,32.88,1.03,510,388,122,0.23921568627450981,388,0,0,8280,28,824.8493422500324,0.046955288547805354,0,0.9881591796875,75.98369565217392,1,same unified random_seed and deterministic instance generator
909,5,20,3,OPTIMAL_CERTIFIED,1,32768,25803,1041990.74169169,6,2,3,1,3,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,306.1,2338.64,107.36,32768,601370.0,4344.0,OPTIMAL,1041990.74169169,6,2,3,1,3,0.857142857142857,0.285714285714286,0.428571428571429,0.142857142857143,0.428571428571429,25,early_stop_or_completed,5.45,33.04,1.04,750,519,231,0.308,519,0,0,9012,30,0.0,0.0,1,0.984161376953125,56.165137614678905,1,same unified random_seed and deterministic instance generator
1010,5,20,3,OPTIMAL_CERTIFIED,1,32768,6171,1513429.26882813,1,4,0,3,3,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,429.77,3296.74,137.03,32768,896981.0,1634.0,OPTIMAL,1512318.95558493,1,5,0,3,2,0.142857142857143,0.714285714285714,0.0,0.428571428571429,0.285714285714286,19,early_stop_or_completed,6.19,38.59,1.04,570,416,154,0.27017543859649124,416,0,0,11121,4,1110.3132432000712,0.07336406570620922,0,0.9873046875,69.4297253634895,1,same unified random_seed and deterministic instance generator
