Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1350406.632735,1300674.775491,1241417.333113,4.476903
1,1359037.893076,1318257.050301,1270334.616511,4.476903
2,1359037.893076,1324503.434515,1278534.535118,4.476904
3,1369192.741578,1336305.860993,1284177.334825,4.476904
4,1369192.741578,1326061.371799,1289512.002119,4.476904
5,1369192.741578,1323002.780591,1272536.525222,4.476904
6,1369192.741578,1333871.061205,1284836.657869,4.476904
7,1369192.741578,1326560.552376,1261979.586410,4.476904
8,1369192.741578,1323781.968914,1224528.017022,4.476904
9,1369192.741578,1327340.483355,1265786.749578,4.476904
10,1369192.741578,1338709.014070,1289350.324781,4.476904
11,1369192.741578,1339946.162723,1283138.930298,4.476904
12,1369192.741578,1339104.797879,1288580.338828,4.476904
13,1369192.741578,1346845.389442,1300281.537692,4.476904
