order_id,size_id,num_dc,num_retailers,random_seed,status,attempt,started_at,finished_at,controller_session,process_id,exit_code,output_directory,validation_status,completion_marker,termination_reason,notes
1,3x5,3,5,101,COMPLETED,1,2026-08-01T22:41:12+08:00,2026-08-01T22:41:13+08:00,2618133,2618135,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_101,VALID,COMPLETED.ok,normal_or_early_stop,controller numeric validation defect repaired before formal start; attempts preserved
2,3x5,3,5,202,COMPLETED,1,2026-08-01T22:41:13+08:00,2026-08-01T22:41:13+08:00,2618133,2618533,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_202,VALID,COMPLETED.ok,normal_or_early_stop,controller setup archival defect repaired before formal start; attempt1 preserved under _controller_setup_attempts
3,3x5,3,5,303,COMPLETED,1,2026-08-01T22:41:13+08:00,2026-08-01T22:41:13+08:00,2618133,2618844,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_303,VALID,COMPLETED.ok,normal_or_early_stop,controller setup archival defect repaired before formal start; attempt1 preserved under _controller_setup_attempts
4,3x5,3,5,404,COMPLETED,4,2026-08-01T22:41:13+08:00,2026-08-01T22:41:14+08:00,2618133,2619148,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_404,VALID,COMPLETED.ok,normal_or_early_stop,
5,3x5,3,5,505,COMPLETED,4,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,2618133,2619434,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_505,VALID,COMPLETED.ok,normal_or_early_stop,
6,3x5,3,5,606,COMPLETED,4,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,2618133,2619711,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_606,VALID,COMPLETED.ok,normal_or_early_stop,
7,3x5,3,5,707,COMPLETED,4,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,2618133,2620016,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_707,VALID,COMPLETED.ok,normal_or_early_stop,
8,3x5,3,5,808,COMPLETED,4,2026-08-01T22:41:14+08:00,2026-08-01T22:41:15+08:00,2618133,2620415,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_808,VALID,COMPLETED.ok,normal_or_early_stop,
9,3x5,3,5,909,COMPLETED,4,2026-08-01T22:41:15+08:00,2026-08-01T22:41:15+08:00,2618133,2620707,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_909,VALID,COMPLETED.ok,normal_or_early_stop,
10,3x5,3,5,1010,COMPLETED,4,2026-08-01T22:41:15+08:00,2026-08-01T22:41:15+08:00,2618133,2621134,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_1010,VALID,COMPLETED.ok,normal_or_early_stop,
11,3x10,3,10,101,COMPLETED,4,2026-08-01T22:41:15+08:00,2026-08-01T22:41:16+08:00,2618133,2621496,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_101,VALID,COMPLETED.ok,normal_or_early_stop,
12,3x10,3,10,202,COMPLETED,4,2026-08-01T22:41:16+08:00,2026-08-01T22:41:17+08:00,2618133,2621917,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_202,VALID,COMPLETED.ok,normal_or_early_stop,
13,3x10,3,10,303,COMPLETED,4,2026-08-01T22:41:17+08:00,2026-08-01T22:41:17+08:00,2618133,2622283,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_303,VALID,COMPLETED.ok,normal_or_early_stop,
14,3x10,3,10,404,COMPLETED,4,2026-08-01T22:41:17+08:00,2026-08-01T22:41:18+08:00,2618133,2622685,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_404,VALID,COMPLETED.ok,normal_or_early_stop,
15,3x10,3,10,505,COMPLETED,4,2026-08-01T22:41:18+08:00,2026-08-01T22:41:18+08:00,2618133,2622975,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_505,VALID,COMPLETED.ok,normal_or_early_stop,
16,3x10,3,10,606,COMPLETED,4,2026-08-01T22:41:18+08:00,2026-08-01T22:41:19+08:00,2618133,2623496,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_606,VALID,COMPLETED.ok,normal_or_early_stop,
17,3x10,3,10,707,COMPLETED,4,2026-08-01T22:41:19+08:00,2026-08-01T22:41:20+08:00,2618133,2623870,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_707,VALID,COMPLETED.ok,normal_or_early_stop,
18,3x10,3,10,808,COMPLETED,4,2026-08-01T22:41:20+08:00,2026-08-01T22:41:21+08:00,2618133,2624384,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_808,VALID,COMPLETED.ok,normal_or_early_stop,
19,3x10,3,10,909,COMPLETED,4,2026-08-01T22:41:21+08:00,2026-08-01T22:41:21+08:00,2618133,2624848,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_909,VALID,COMPLETED.ok,normal_or_early_stop,
20,3x10,3,10,1010,COMPLETED,4,2026-08-01T22:41:21+08:00,2026-08-01T22:41:22+08:00,2618133,2625134,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_1010,VALID,COMPLETED.ok,normal_or_early_stop,
21,5x10,5,10,101,COMPLETED,4,2026-08-01T22:41:22+08:00,2026-08-01T22:41:23+08:00,2618133,2625571,0,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_101,VALID,COMPLETED.ok,normal_or_early_stop,
