order_id,size_id,random_seed,status,started_at,finished_at,output_directory
1,3x5,101,COMPLETED,2026-08-01T22:41:12+08:00,2026-08-01T22:41:13+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_101
2,3x5,202,COMPLETED,2026-08-01T22:41:13+08:00,2026-08-01T22:41:13+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_202
3,3x5,303,COMPLETED,2026-08-01T22:41:13+08:00,2026-08-01T22:41:13+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_303
4,3x5,404,COMPLETED,2026-08-01T22:41:13+08:00,2026-08-01T22:41:14+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_404
5,3x5,505,COMPLETED,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_505
6,3x5,606,COMPLETED,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_606
7,3x5,707,COMPLETED,2026-08-01T22:41:14+08:00,2026-08-01T22:41:14+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_707
8,3x5,808,COMPLETED,2026-08-01T22:41:14+08:00,2026-08-01T22:41:15+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_808
9,3x5,909,COMPLETED,2026-08-01T22:41:15+08:00,2026-08-01T22:41:15+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_909
10,3x5,1010,COMPLETED,2026-08-01T22:41:15+08:00,2026-08-01T22:41:15+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x5/seed_1010
11,3x10,101,COMPLETED,2026-08-01T22:41:15+08:00,2026-08-01T22:41:16+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_101
12,3x10,202,COMPLETED,2026-08-01T22:41:16+08:00,2026-08-01T22:41:17+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_202
13,3x10,303,COMPLETED,2026-08-01T22:41:17+08:00,2026-08-01T22:41:17+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_303
14,3x10,404,COMPLETED,2026-08-01T22:41:17+08:00,2026-08-01T22:41:18+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_404
15,3x10,505,COMPLETED,2026-08-01T22:41:18+08:00,2026-08-01T22:41:18+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_505
16,3x10,606,COMPLETED,2026-08-01T22:41:18+08:00,2026-08-01T22:41:19+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_606
17,3x10,707,COMPLETED,2026-08-01T22:41:19+08:00,2026-08-01T22:41:20+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_707
18,3x10,808,COMPLETED,2026-08-01T22:41:20+08:00,2026-08-01T22:41:21+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_808
19,3x10,909,COMPLETED,2026-08-01T22:41:21+08:00,2026-08-01T22:41:21+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_909
20,3x10,1010,COMPLETED,2026-08-01T22:41:21+08:00,2026-08-01T22:41:22+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/3x10/seed_1010
21,5x10,101,COMPLETED,2026-08-01T22:41:22+08:00,2026-08-01T22:41:23+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_101
22,5x10,202,COMPLETED,2026-08-01T22:41:23+08:00,2026-08-01T22:41:24+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_202
23,5x10,303,COMPLETED,2026-08-01T22:41:24+08:00,2026-08-01T22:41:25+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_303
24,5x10,404,COMPLETED,2026-08-01T22:41:25+08:00,2026-08-01T22:41:26+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_404
25,5x10,505,COMPLETED,2026-08-01T22:41:26+08:00,2026-08-01T22:41:27+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_505
26,5x10,606,COMPLETED,2026-08-01T22:41:27+08:00,2026-08-01T22:41:28+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_606
27,5x10,707,COMPLETED,2026-08-01T22:41:28+08:00,2026-08-01T22:41:29+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_707
28,5x10,808,COMPLETED,2026-08-01T22:41:29+08:00,2026-08-01T22:41:30+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_808
29,5x10,909,COMPLETED,2026-08-01T22:41:30+08:00,2026-08-01T22:41:31+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_909
30,5x10,1010,COMPLETED,2026-08-01T22:41:31+08:00,2026-08-01T22:41:32+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x10/seed_1010
31,5x20,101,COMPLETED,2026-08-01T22:41:32+08:00,2026-08-01T22:41:42+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_101
32,5x20,202,COMPLETED,2026-08-01T22:41:42+08:00,2026-08-01T22:41:49+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_202
33,5x20,303,COMPLETED,2026-08-01T22:41:49+08:00,2026-08-01T22:41:53+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_303
34,5x20,404,COMPLETED,2026-08-01T22:41:53+08:00,2026-08-01T22:42:00+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_404
35,5x20,505,COMPLETED,2026-08-01T22:42:00+08:00,2026-08-01T22:42:04+08:00,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_505
36,5x20,606,RUNNING,2026-08-01T22:42:04+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_606
37,5x20,707,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_707
38,5x20,808,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_808
39,5x20,909,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_909
40,5x20,1010,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x20/seed_1010
41,5x30,101,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_101
42,5x30,202,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_202
43,5x30,303,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_303
44,5x30,404,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_404
45,5x30,505,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_505
46,5x30,606,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_606
47,5x30,707,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_707
48,5x30,808,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_808
49,5x30,909,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_909
50,5x30,1010,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/5x30/seed_1010
51,10x30,101,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_101
52,10x30,202,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_202
53,10x30,303,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_303
54,10x30,404,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_404
55,10x30,505,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_505
56,10x30,606,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_606
57,10x30,707,PENDING,2026-08-01T22:28:42+08:00,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part1_algorithm_validation/A3_ga_bp_scalability/formal_100runs_resumable_20260802_000000/runs/10x30/seed_707
