random_seed,no_investment_profit,optimized_investment_profit,profit_change_absolute,profit_change_percent,no_investment_emissions,optimized_investment_emissions,emissions_change_absolute,emissions_reduction_percent,no_investment_investment_cost,optimized_investment_cost,no_investment_carbon_trading_net_cost,optimized_carbon_trading_net_cost,carbon_trading_net_cost_change,no_investment_open_dc_count,optimized_open_dc_count,open_dc_count_change,no_investment_open_dc_set,optimized_open_dc_set,network_structure_changed,optimized_positive_w_count,optimized_mean_positive_w,optimized_mean_all_w,optimized_mean_open_dc_w,optimized_max_w,no_investment_wall_time_sec,optimized_wall_time_sec
101,2221598.99342001,2371052.3565378,149453.36311778985,6.727288028147507,369767.997887861,216235.824199795,-153532.173688066,41.52121724028358,0.0,160541.959378031,539535.995775722,232471.648399591,-307064.347376131,7,7,0.0,0;2;3;4;5;6;7,0;2;3;4;5;6;7,False,10,0.42600195503421306,0.42600195503421306,0.2980030721966206,0.860215053763441,0.2,16.92
202,2201520.26884535,2327946.4924759,126426.22363054985,5.742678158346354,348165.95763897,254617.873913696,-93548.08372527399,26.868819789176086,0.0,111669.137440366,496331.915277939,309235.747827392,-187096.167450547,7,7,0.0,0;1;2;3;5;6;9,0;1;2;5;6;7;9,True,10,0.3717497556207234,0.3717497556207234,0.29074151654796826,0.794721407624633,0.11,13.91
303,2097166.45165226,2234567.0441681,137400.5925158402,6.551725658570813,411810.333835335,242932.118183644,-168878.215651691,41.008736735396745,0.0,245429.754102366,623620.667670669,285864.236367288,-337756.43130338105,9,9,0.0,0;1;2;3;4;5;6;8;9,0;1;2;3;4;5;6;8;9,False,10,0.44340175953079175,0.44340175953079175,0.390898229607907,0.915933528836755,0.13,10.96
404,1514584.83679457,1775776.82330118,261191.98650660994,17.245120917715656,503937.846281267,239106.32016107,-264831.526120197,52.552418532261704,0.0,302681.758766957,807875.692562534,278212.64032214,-529663.052240394,9,6,-3.0,0;1;2;4;5;6;7;8;9,0;2;4;7;8;9,True,10,0.5086021505376345,0.5086021505376345,0.4560117302052787,0.916911045943304,0.06,13.42
505,1764139.87627753,1943512.15225311,179372.27597557986,10.16769012409997,420296.710160906,246715.987314229,-173580.72284667703,41.29956734142019,0.0,191098.538818986,640593.420321813,293431.974628459,-347161.44569335395,9,9,0.0,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,False,10,0.3746823069403714,0.3746823069403714,0.32279787118496794,0.841642228739003,0.07,17.51
606,2051599.76691578,2276604.85944484,225005.09252905985,10.967299575555884,434381.236238928,212417.690595389,-221963.545643539,51.0987876836949,0.0,217607.775418985,668762.472477856,224835.381190779,-443927.09128707694,7,7,0.0,0;1;2;3;4;7;9,0;1;2;3;4;7;9,False,10,0.40547409579667654,0.40547409579667654,0.330540427314621,0.974584555229717,0.19,43.98
707,2428959.46364357,2562933.77111338,133974.3074698099,5.5157078360147365,424487.129689964,235114.410038126,-189372.719651838,44.612122819872454,0.0,215004.77255149,648974.259379928,270228.820076251,-378745.439303677,10,8,-2.0,0;1;2;3;4;5;6;7;8;9,0;1;2;3;4;5;6;9,True,10,0.42873900293255157,0.42873900293255157,0.3782991202346044,0.813294232649071,0.08,19.66
808,2591521.87944398,2732061.90909456,140540.02965058014,5.423069385033844,327682.136651273,175760.547125795,-151921.589525478,46.36248746362286,0.0,172247.597102776,455364.273302546,151521.09425159,-303843.17905095604,6,5,-1.0,0;1;4;5;8;9,1;4;5;8;9,True,10,0.42785923753665694,0.42785923753665694,0.35972629521016597,0.951124144672532,0.47,37.1
909,2125766.85608956,2342419.31620575,216652.46011619037,10.191731962306156,447984.387252778,280010.466657766,-167973.92059501196,37.49548541749327,0.0,239507.554572176,695968.774505557,360020.933315533,-335947.84119002405,9,9,0.0,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,False,10,0.33548387096774196,0.33548387096774196,0.3718909525361138,0.732160312805474,0.1,12.6
1010,2367928.67152007,2503040.51347255,135111.8419524799,5.705908441310696,405909.42106839,280477.380094308,-125432.04097408202,30.901485519585535,0.0,111667.9176653,611818.842136779,360954.760188615,-250864.08194816398,9,8,-1.0,0;1;2;3;4;6;7;8;9,0;1;3;4;6;7;8;9,True,10,0.3451612903225806,0.3451612903225806,0.28861192570869987,0.751710654936461,0.13,22.5
