random_seed,scenario_id,old_profit,new_profit,profit_abs_diff,old_emissions,new_emissions,emissions_abs_diff,old_investment_cost,new_investment_cost,investment_abs_diff,instance_fingerprint_match,status
101,NO_INVESTMENT,2221598.99342001,2221598.99342001,0.0,369767.997887861,369767.997887861,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
101,OPTIMIZED_INVESTMENT,2371052.3565378,2371052.3565378,0.0,216235.824199795,216235.824199795,0.0,160541.959378031,160541.959378031,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
202,NO_INVESTMENT,2201520.26884535,2201520.26884535,0.0,348165.95763897,348165.95763897,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
202,OPTIMIZED_INVESTMENT,2327946.4924759,2327946.4924759,0.0,254617.873913696,254617.873913696,0.0,111669.137440366,111669.137440366,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
303,NO_INVESTMENT,2097166.45165226,2097166.45165226,0.0,411810.333835335,411810.333835335,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
303,OPTIMIZED_INVESTMENT,2234567.0441681,2234567.0441681,0.0,242932.118183644,242932.118183644,0.0,245429.754102366,245429.754102366,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
404,NO_INVESTMENT,1514584.83679457,1514584.83679457,0.0,503937.846281267,503937.846281267,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
404,OPTIMIZED_INVESTMENT,1775776.82330118,1775776.82330118,0.0,239106.32016107,239106.32016107,0.0,302681.758766957,302681.758766957,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
505,NO_INVESTMENT,1764139.87627753,1764139.87627753,0.0,420296.710160906,420296.710160906,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
505,OPTIMIZED_INVESTMENT,1943512.15225311,1943512.15225311,0.0,246715.987314229,246715.987314229,0.0,191098.538818986,191098.538818986,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
606,NO_INVESTMENT,2051599.76691578,2051599.76691578,0.0,434381.236238928,434381.236238928,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
606,OPTIMIZED_INVESTMENT,2276604.85944484,2276604.85944484,0.0,212417.690595389,212417.690595389,0.0,217607.775418985,217607.775418985,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
707,NO_INVESTMENT,2428959.46364357,2428959.46364357,0.0,424487.129689964,424487.129689964,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
707,OPTIMIZED_INVESTMENT,2562933.77111338,2562933.77111338,0.0,235114.410038126,235114.410038126,0.0,215004.77255149,215004.77255149,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
808,NO_INVESTMENT,2591521.87944398,2591521.87944398,0.0,327682.136651273,327682.136651273,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
808,OPTIMIZED_INVESTMENT,2732061.90909456,2732061.90909456,0.0,175760.547125795,175760.547125795,0.0,172247.597102776,172247.597102776,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
909,NO_INVESTMENT,2125766.85608956,2125766.85608956,0.0,447984.387252778,447984.387252778,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
909,OPTIMIZED_INVESTMENT,2342419.31620575,2342419.31620575,0.0,280010.466657766,280010.466657766,0.0,239507.554572176,239507.554572176,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
1010,NO_INVESTMENT,2367928.67152007,2367928.67152007,0.0,405909.42106839,405909.42106839,0.0,0,0,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
1010,OPTIMIZED_INVESTMENT,2503040.51347255,2503040.51347255,0.0,280477.380094308,280477.380094308,0.0,111667.9176653,111667.9176653,0.0,True,CONSISTENT_WITHIN_NUMERIC_TOLERANCE
