random_seed,no_investment_profit,optimized_investment_profit,profit_change_absolute,profit_change_percent,no_investment_emissions,optimized_investment_emissions,emissions_change_absolute,emissions_reduction_percent,optimized_investment_cost,no_investment_wall_time,optimized_investment_wall_time,optimized_mean_positive_w,network_structure_changed
101,2221598.99342001,2371052.3565378,149453.36311778985,6.727288028147507,369767.997887861,216235.824199795,-153532.173688066,41.52121724028358,160541.959378031,mm:ss or m:ss): 0:00.17,mm:ss or m:ss): 0:16.56,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
202,2201520.26884535,2327946.4924759,126426.22363054985,5.742678158346354,348165.95763897,254617.873913696,-93548.08372527399,26.868819789176086,111669.137440366,mm:ss or m:ss): 0:00.07,mm:ss or m:ss): 0:13.93,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
303,2097166.45165226,2234567.0441681,137400.5925158402,6.551725658570813,411810.333835335,242932.118183644,-168878.215651691,41.008736735396745,245429.754102366,mm:ss or m:ss): 0:00.09,mm:ss or m:ss): 0:10.98,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
404,1514584.83679457,1775776.82330118,261191.98650660994,17.245120917715656,503937.846281267,239106.32016107,-264831.526120197,52.552418532261704,302681.758766957,mm:ss or m:ss): 0:00.05,mm:ss or m:ss): 0:13.59,UNAVAILABLE_FROM_FROZEN_INTERFACE,True
505,1764139.87627753,1943512.15225311,179372.27597557986,10.16769012409997,420296.710160906,246715.987314229,-173580.72284667703,41.29956734142019,191098.538818986,mm:ss or m:ss): 0:00.08,mm:ss or m:ss): 0:17.33,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
606,2051599.76691578,2276604.85944484,225005.09252905985,10.967299575555884,434381.236238928,212417.690595389,-221963.545643539,51.0987876836949,217607.775418985,mm:ss or m:ss): 0:00.23,mm:ss or m:ss): 0:43.85,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
707,2428959.46364357,2562933.77111338,133974.3074698099,5.5157078360147365,424487.129689964,235114.410038126,-189372.719651838,44.612122819872454,215004.77255149,mm:ss or m:ss): 0:00.14,mm:ss or m:ss): 0:19.75,UNAVAILABLE_FROM_FROZEN_INTERFACE,True
808,2591521.87944398,2732061.90909456,140540.02965058014,5.423069385033844,327682.136651273,175760.547125795,-151921.589525478,46.36248746362286,172247.597102776,mm:ss or m:ss): 0:00.47,mm:ss or m:ss): 0:37.57,UNAVAILABLE_FROM_FROZEN_INTERFACE,True
909,2125766.85608956,2342419.31620575,216652.46011619037,10.191731962306156,447984.387252778,280010.466657766,-167973.92059501196,37.49548541749327,239507.554572176,mm:ss or m:ss): 0:00.09,mm:ss or m:ss): 0:12.62,UNAVAILABLE_FROM_FROZEN_INTERFACE,False
1010,2367928.67152007,2503040.51347255,135111.8419524799,5.705908441310696,405909.42106839,280477.380094308,-125432.04097408202,30.901485519585535,111667.9176653,mm:ss or m:ss): 0:00.12,mm:ss or m:ss): 0:22.41,UNAVAILABLE_FROM_FROZEN_INTERFACE,True
