size_id,random_seed,scenario_id,solution_status,integer_solution,total_profit,carbon_emission,total_investment_cost,net_carbon_trading_cost,e_plus,e_minus,num_dc_open,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time,config_sha256,instance_fingerprint
10x30,101,NO_INVESTMENT,OPTIMAL,1,2221598.99342001,369767.997887861,0,539535.995775722,269767.997887861,0,7,1,0,0,23,0,mm:ss or m:ss): 0:00.17,2e60e37f8010d173bc942e607643ed92aa1306a1fc304bec5433a94155b51049,a414484d958a34a36a18b2099e61349e94dd91c1a1821132a2f2d4d2bd4c0256
10x30,101,OPTIMIZED_INVESTMENT,OPTIMAL,1,2371052.3565378,216235.824199795,160541.959378031,232471.648399591,116235.824199795,0,7,15,362,88,9920,5,mm:ss or m:ss): 0:16.56,23ef6767896b998b895d533b5ef10e2688b6d154acf21a07032e64b4643eea77,a414484d958a34a36a18b2099e61349e94dd91c1a1821132a2f2d4d2bd4c0256
10x30,202,NO_INVESTMENT,OPTIMAL,1,2201520.26884535,348165.95763897,0,496331.915277939,248165.95763897,0,7,1,0,0,17,0,mm:ss or m:ss): 0:00.07,b6d403c42cd532385193a5d31bcf88a95167ba6af9b9b35530731d3954f5347c,ab96559846b69ceb07e5b4a789c63dff25afad402a2c12ca8b8b1dd2c3577bac
10x30,202,OPTIMIZED_INVESTMENT,OPTIMAL,1,2327946.4924759,254617.873913696,111669.137440366,309235.747827392,154617.873913696,0,7,17,409,101,9070,0,mm:ss or m:ss): 0:13.93,f94d062e1ad4a03dcf713dd9a427bc6b2130787cb6f7430e1f8fd752da711c83,ab96559846b69ceb07e5b4a789c63dff25afad402a2c12ca8b8b1dd2c3577bac
10x30,303,NO_INVESTMENT,OPTIMAL,1,2097166.45165226,411810.333835335,0,623620.667670669,311810.333835335,0,9,1,0,0,11,0,mm:ss or m:ss): 0:00.09,f4102e4d47b150869b1a11f872eefb9c9f60d940ddccd09ec8d26de40cc6b2fb,2c67ebee14f90c7ae3ca8c9b2c97e84da6dcc0f1f0ba06975459ad3514540df5
10x30,303,OPTIMIZED_INVESTMENT,OPTIMAL,1,2234567.0441681,242932.118183644,245429.754102366,285864.236367288,142932.118183644,0,9,19,489,81,6858,11,mm:ss or m:ss): 0:10.98,57e5fb849c2ddd32971afa7c1b49ee2b8e87c3e8be89f33dc4d4f0b73305970d,2c67ebee14f90c7ae3ca8c9b2c97e84da6dcc0f1f0ba06975459ad3514540df5
10x30,404,NO_INVESTMENT,OPTIMAL,1,1514584.83679457,503937.846281267,0,807875.692562534,403937.846281267,0,9,1,0,0,11,0,mm:ss or m:ss): 0:00.05,b1c3c75733f2943325ff6be41b697bfe899ec12b0dba7d448019866ac5c43558,bdaa098e9dd064d8bf12007103ad21c04fddc3d3d4a47603dc66de22ee5a29bd
10x30,404,OPTIMIZED_INVESTMENT,OPTIMAL,1,1775776.82330118,239106.32016107,302681.758766957,278212.64032214,139106.32016107,0,6,16,387,93,8109,112,mm:ss or m:ss): 0:13.59,e57d7c30a10d7ffc7a55d9363d82ded375f42185ab8bef3495fb2c6f830d663e,bdaa098e9dd064d8bf12007103ad21c04fddc3d3d4a47603dc66de22ee5a29bd
10x30,505,NO_INVESTMENT,OPTIMAL,1,1764139.87627753,420296.710160906,0,640593.420321813,320296.710160906,0,9,1,0,0,14,0,mm:ss or m:ss): 0:00.08,6639a170e2c9a335e1c5192488a2150b8c7055ec0f7e42e3e10223ce9c51f52c,aaa4b57d00d5848c0997232aa4da8912984e9d3aa5fcda2f7f6b89aa89f86068
10x30,505,OPTIMIZED_INVESTMENT,OPTIMAL,1,1943512.15225311,246715.987314229,191098.538818986,293431.974628459,146715.987314229,0,9,32,778,182,14154,43,mm:ss or m:ss): 0:17.33,f48c222e4a7aead1887ca9e6a21986a9ead7ae9b0fb1acf33f99a37c98a2c7a6,aaa4b57d00d5848c0997232aa4da8912984e9d3aa5fcda2f7f6b89aa89f86068
10x30,606,NO_INVESTMENT,OPTIMAL,1,2051599.76691578,434381.236238928,0,668762.472477856,334381.236238928,0,7,1,0,0,47,1,mm:ss or m:ss): 0:00.23,abdb37b6ee76072862963d41ce42758edcc85c976ea4cb9498759dfe1648943a,14adecffa37f6d56f2d20a854fb179bf9a430fa3199702567c36cf41dd52f981
