Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1754915.369958,1696530.773281,1514584.836795,13.594289
1,1761545.798245,1713769.713194,1652389.941779,13.594289
2,1761545.798245,1724944.781589,1664835.277096,13.594289
3,1771994.623492,1732047.498233,1696021.899117,13.594289
4,1771994.623492,1746813.565874,1710530.957619,13.594289
5,1773808.265862,1756570.220301,1716048.322970,13.594289
6,1773974.748533,1761211.136581,1715111.437338,13.594289
7,1774137.790353,1758642.716663,1716242.195667,13.594289
8,1774298.814478,1759024.202870,1722477.097679,13.594290
9,1774298.814478,1761819.480167,1732571.296013,13.594290
10,1775582.183555,1764411.427888,1737179.304192,13.594290
11,1775582.183555,1765045.328276,1737342.345143,13.594290
12,1775776.823301,1763862.590669,1721323.173958,13.594290
13,1775776.823301,1764739.076532,1729830.389247,13.594290
14,1775776.823301,1766242.819887,1725358.547057,13.594290
15,1775776.823301,1764323.653924,1733342.255792,13.594290
