distance_km,seed,reported_total_profit,recomputed_total_profit,total_emission,investment_cost,carbon_trading_cost,wall_time_sec,best_w
0,101,1.75884e+08,1.75884e+08,15148.5,46.2989,1411.27,0.699596,0;0.0019550342130987292;0.00097751710654936461;0.0078201368523949169;0;0;0;0
0,202,1.75884e+08,1.75884e+08,15138.1,63.8361,1390.55,0.642051,0;0;0.0058651026392961877;0.0078201368523949169;0;0.013685239491691105;0.00097751710654936461;0
0,303,1.75884e+08,1.75884e+08,15182.3,9.78247,1478.95,0.638482,0.50048875855327468;0;0;0;0;0;0;0.0048875855327468231
0,404,1.75884e+08,1.75884e+08,15099.1,169.063,1312.43,0.664308,0;0.0078201368523949169;0.0029325513196480938;0.0087976539589442824;0;0.0019550342130987292;0.011730205278592375;0
0,505,1.75884e+08,1.75884e+08,15130.8,97.0502,1375.93,0.677756,0;0;0.0039100684261974585;0.0078201368523949169;0.011730205278592375;0;0;0
0,606,1.75884e+08,1.75884e+08,15192.7,0,1499.79,0.63673,0;0;0;0;0;0;0;0
0,707,1.75884e+08,1.75884e+08,15173.1,28.6742,1460.56,0.701169,0;0;0.0039100684261974585;0;0.0078201368523949169;0.0078201368523949169;0;0
0,808,1.75884e+08,1.75884e+08,15164.6,24.4859,1443.57,0.606947,0.1573802541544477;0;0;0.0058651026392961877;0;0;0;0
0,909,1.75884e+08,1.75884e+08,15190.3,0.549861,1494.82,0.681881,0.031280547409579668;0;0.00097751710654936461;0;0;0.0039100684261974585;0;0
0,1010,1.75884e+08,1.75884e+08,15142,51.9907,1398.23,0.705487,0;0;0.0019550342130987292;0.0078201368523949169;0;0.10166177908113393;0;0.0039100684261974585
5,101,1.7522e+08,1.7522e+08,15265.1,46.6902,1644.58,0.604242,0;0.0019550342130987292;0.00097751710654936461;0.0078201368523949169;0;0;0;0.00097751710654936461
5,202,1.7522e+08,1.7522e+08,15248.6,71.8054,1611.55,0.608837,0;0;0.0058651026392961877;0.0078201368523949169;0.00097751710654936461;0.2013685239491691;0.0039100684261974585;0
5,303,1.7522e+08,1.7522e+08,15301.3,9.78247,1716.9,0.652526,0.50048875855327468;0;0;0;0;0;0;0.0048875855327468231
5,404,1.7522e+08,1.7522e+08,15269.5,50.0393,1653.4,0.528909,0;0.00097751710654936461;0;0.0019550342130987292;0;0;0.0078201368523949169;0.0058651026392961877
5,505,1.7522e+08,1.7522e+08,15249.4,97.0502,1613.13,0.678006,0;0;0.0039100684261974585;0.0078201368523949169;0.011730205278592375;0;0;0
5,606,1.7522e+08,1.7522e+08,15287.9,13.737,1690.16,0.634772,0.00097751710654936461;0.0019550342130987292;0.0039100684261974585;0.0019550342130987292;0;0.56304985337243407;0;0
5,707,1.7522e+08,1.7522e+08,15266.6,62.5915,1647.48,0.626576,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.0078201368523949169;0;0.0078201368523949169
5,808,1.7522e+08,1.7522e+08,15275.4,36.5615,1665.17,0.616067,0.1573802541544477;0;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0.0078201368523949169
5,909,1.7522e+08,1.7522e+08,15244.8,81.6487,1603.85,0.663661,0.25024437927663734;0;0;0.0078201368523949169;0.00097751710654936461;0;0.0048875855327468231;0.0078201368523949169
5,1010,1.7522e+08,1.7522e+08,15294.4,14.4301,1703.03,0.68734,0.0078201368523949169;0;0;0;0;0.23460410557184752;0.0039100684261974585;0.0039100684261974585
10,101,1.74587e+08,1.74587e+08,14370.1,103.602,-145.518,0.642373,0.50048875855327468;0.0078201368523949169;0.0029325513196480938;0;0.0019550342130987292;0.57086999022482898;0.00097751710654936461;0.010752688172043012
10,202,1.74587e+08,1.74587e+08,14420.2,13.2777,-45.3476,0.631654,0.0078201368523949169;0.0039100684261974585;0;0.00097751710654936461;0;0;0.00097751710654936461;0
10,303,1.74587e+08,1.74587e+08,14404.3,49.7175,-77.1422,0.610861,0;0.0078201368523949169;0;0;0;0;0;0
10,404,1.74587e+08,1.74587e+08,14437.3,1.12302,-11.1599,0.680622,0.25024437927663734;0.00097751710654936461;0;0;0;0.0078201368523949169;0.00097751710654936461;0
10,505,1.74587e+08,1.74587e+08,14427.7,13.7669,-30.3544,0.652035,0;0;0.0039100684261974585;0;0.0039100684261974585;0;0;0
10,606,1.74587e+08,1.74587e+08,14420.7,27.0518,-44.3459,0.640528,0;0;0;0.0019550342130987292;0;0.19550342130987292;0;0.0078201368523949169
10,707,1.74587e+08,1.74587e+08,14386.6,66.1467,-112.432,0.630834,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.85239491691104596;0;0.0078201368523949169
10,808,1.74587e+08,1.74587e+08,14388.7,60.524,-108.336,0.609805,0.87683284457478006;0.0078201368523949169;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0
10,909,1.74587e+08,1.74587e+08,14442.8,0,-1.28003e-05,0.674675,0;0;0;0;0;0;0;0
10,1010,1.74587e+08,1.74587e+08,14375.8,105.07,-134.099,0.60826,0.12512218963831867;0.0078201368523949169;0;0.00097751710654936461;0.011730205278592375;0.23851417399804498;0.00097751710654936461;0.0048875855327468231
15,101,1.73967e+08,1.73967e+08,14515.9,45.3661,146.173,0.611325,0.0078201368523949169;0;0.00097751710654936461;0.0058651026392961877;0.00097751710654936461;0.070381231671554259;0.0019550342130987292;0.0078201368523949169
15,202,1.73967e+08,1.73967e+08,14527.1,34.684,168.43,0.578906,0;0;0.0019550342130987292;0.0078201368523949169;0;0.052785923753665691;0.00097751710654936461;0
15,303,1.73967e+08,1.73967e+08,14514,49.4864,142.374,0.614962,0;0;0.0078201368523949169;0.0039100684261974585;0;0.0019550342130987292;0;0.0039100684261974585
15,404,1.73967e+08,1.73967e+08,14481.9,125.947,78.0426,0.606257,0;0.0058651026392961877;0.010752688172043012;0;0.0097751710654936461;0.25024437927663734;0;0.00097751710654936461
15,505,1.73967e+08,1.73967e+08,14538.8,13.7669,191.844,0.639805,0;0;0.0039100684261974585;0;0.0039100684261974585;0;0;0
15,606,1.73967e+08,1.73967e+08,14531.8,27.0518,178.014,0.671768,0;0;0;0.0019550342130987292;0;0.19550342130987292;0;0.0078201368523949169
