distance_km,seed,v1_output_dir,v2_output_dir,network_match,assignment_match,best_w_match,status_match,v2_profit,v1_rounded_profit,v2_profit_rounded_to_v1,profit_rounding_consistency,v2_emission,v1_rounded_emission,emission_rounding_consistency,validation_status
0,101,D00/seed_101,D00/seed_101,True,True,True,True,175883835.6868163,175884000.0,175884000.0,True,15148.476065647532,15148.5,True,PASS
0,202,D00/seed_202,D00/seed_202,True,True,True,True,175883838.86438957,175884000.0,175884000.0,True,15138.118701914616,15138.1,True,PASS
0,303,D00/seed_303,D00/seed_303,True,True,True,True,175883804.52254045,175884000.0,175884000.0,True,15182.31641838189,15182.3,True,PASS
0,404,D00/seed_404,D00/seed_404,True,True,True,True,175883811.7602099,175884000.0,175884000.0,True,15099.057502497652,15099.1,True,PASS
0,505,D00/seed_505,D00/seed_505,True,True,True,True,175883820.27628234,175884000.0,175884000.0,True,15130.805700575995,15130.8,True,PASS
0,606,D00/seed_606,D00/seed_606,True,True,True,True,175883793.46471447,175884000.0,175884000.0,True,15192.736565804837,15192.7,True,PASS
0,707,D00/seed_707,D00/seed_707,True,True,True,True,175883804.01924017,175884000.0,175884000.0,True,15173.122217487933,15173.1,True,PASS
0,808,D00/seed_808,D00/seed_808,True,True,True,True,175883825.19394735,175884000.0,175884000.0,True,15164.628999169732,15164.6,True,PASS
0,909,D00/seed_909,D00/seed_909,True,True,True,True,175883797.88226667,175884000.0,175884000.0,True,15190.252859424822,15190.3,True,PASS
0,1010,D00/seed_1010,D00/seed_1010,True,True,True,True,175883843.03457496,175884000.0,175884000.0,True,15141.956279592952,15142.0,True,PASS
5,101,D05/seed_101,D05/seed_101,True,True,True,True,175219925.33398923,175220000.0,175220000.0,True,15265.1318297823,15265.1,True,PASS
5,202,D05/seed_202,D05/seed_202,True,True,True,True,175219933.25124127,175220000.0,175220000.0,True,15248.615625165561,15248.6,True,PASS
5,303,D05/seed_303,D05/seed_303,True,True,True,True,175219889.91662067,175220000.0,175220000.0,True,15301.294378272212,15301.3,True,PASS
5,404,D05/seed_404,D05/seed_404,True,True,True,True,175219913.16158453,175220000.0,175220000.0,True,15269.543476533632,15269.5,True,PASS
