random_seed,scenario_id,profit_before,profit_after,profit_difference,emission_before,emission_after,emission_difference,investment_cost_before,investment_cost_after,investment_cost_difference,net_carbon_cost_before,net_carbon_cost_after,net_carbon_cost_difference,num_dc_open_before,num_dc_open_after,num_dc_open_difference,best_w_before,best_w_after,best_w_exact_match,instance_fingerprint_before,instance_fingerprint_after,instance_fingerprint_match,raw_solver_file_sha_match,correction_scope
101,DELTA_00500_GAMMA_050,2803373.34125329,2803373.34125329,0.0,10601.7739551687,10601.7739551687,0.0,165860.743896564,165860.743896564,0.0,-178796.452089663,-178796.452089663,0.0,7,7,0.0,,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,False,,,True,True,derived_postprocessing_only
101,DELTA_01000_GAMMA_050,2658669.23539032,2658669.23539032,0.0,23387.8614426148,23387.8614426148,0.0,240638.388267564,240638.388267564,0.0,-153224.27711477,-153224.27711477,0.0,5,5,0.0,,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,False,,,True,True,derived_postprocessing_only
101,DELTA_02000_GAMMA_050,2459498.33721215,2459498.33721215,0.0,108174.245578017,108174.245578017,0.0,270157.691477728,270157.691477728,0.0,16348.4911560332,16348.4911560332,0.0,5,5,0.0,,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,False,,,True,True,derived_postprocessing_only
101,DELTA_03000_GAMMA_050,2371052.3565378,2371052.3565378,0.0,216235.824199795,216235.824199795,0.0,160541.959378031,160541.959378031,0.0,232471.648399591,232471.648399591,0.0,7,7,0.0,,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,False,,,True,True,derived_postprocessing_only
101,DELTA_05000_GAMMA_050,2303920.06056728,2303920.06056728,0.0,291693.427132323,291693.427132323,0.0,76623.8300266958,76623.8300266958,0.0,383386.854264647,383386.854264647,0.0,7,7,0.0,,0.185728250244379;0.146627565982405;0.187683284457478;0.10752688172043;0.271749755620723;0.0664711632453568;0.0263929618768328;0.290322580645161;0.158357771260997;0.182795698924731,False,,,True,True,derived_postprocessing_only
101,DELTA_10000_GAMMA_050,2261798.0890219,2261798.0890219,0.0,324721.43992235,324721.43992235,0.0,50005.1030756683,50005.1030756683,0.0,449442.879844701,449442.879844701,0.0,7,7,0.0,,0.0821114369501466;0.608015640273705;0.0625610948191593;0.103616813294233;0.0821114369501466;0.0869990224828935;0.10752688172043;0.178885630498534;0.594330400782014;0.579667644183773,False,,,True,True,derived_postprocessing_only
101,DELTA_15000_GAMMA_050,2244086.79567061,2244086.79567061,0.0,350430.004520659,350430.004520659,0.0,16234.8759818856,16234.8759818856,0.0,500860.009041318,500860.009041318,0.0,7,7,0.0,,0;0;0.0166177908113392;0.0312805474095797;0.0312805474095797;0.0312805474095797;0.0664711632453568;0.0909090909090909;0.164222873900293;0.500488758553275,False,,,True,True,derived_postprocessing_only
101,DELTA_03000_GAMMA_010,2939048.80701306,2939048.80701306,0.0,14006.5999444249,14006.5999444249,0.0,23374.2723024844,23374.2723024844,0.0,-171986.80011115,-171986.80011115,0.0,7,7,0.0,,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,False,,,True,True,derived_postprocessing_only
101,DELTA_03000_GAMMA_030,2809394.90305868,2809394.90305868,0.0,18246.8635695916,18246.8635695916,0.0,129445.33738978,129445.33738978,0.0,-163506.272860817,-163506.272860817,0.0,6,6,0.0,,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,False,,,True,True,derived_postprocessing_only
101,DELTA_03000_GAMMA_040,2632107.77830462,2632107.77830462,0.0,42632.0356149081,42632.0356149081,0.0,228671.695369314,228671.695369314,0.0,-114735.928770184,-114735.928770184,0.0,5,5,0.0,,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,False,,,True,True,derived_postprocessing_only
