sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
delta,00500,10x30,DELTA_00500_GAMMA_050,101,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2803373.34125329,10601.7739551687,165860.743896564,165860.743896564,0,0,89398.2260448313,-178796.452089663,7,2;3;4;5;6;7;9,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8770283479960898,0.8770283479960898,0.9632732858539309,0.997067448680352,0.270772238514174,32,752,0.21666666666666667,24183,309,39.052696605,39.052696605,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,101,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2658669.23539032,23387.8614426148,240638.388267564,240638.388267564,0,0,76612.1385573852,-153224.27711477,5,2;3;4;5;7,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7734115347018574,0.7734115347018574,0.8598240469208213,1.0,0.266862170087977,15,355,0.2111111111111111,9213,5,15.315292288,15.315292288,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,101,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2459498.33721215,108174.245578017,270157.691477728,270157.691477728,0,8174.24557801659,0,16348.4911560332,5,2;3;4;5;7,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4535679374389052,0.4535679374389052,0.567546432062561,0.81524926686217,0.175953079178886,17,404,0.20784313725490197,11693,1,21.251708099,21.251708099,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.5,10x30,DELTA_03000_GAMMA_050,101,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2371052.3565378,216235.824199795,160541.959378031,160541.959378031,0,116235.824199795,0,232471.648399591,7,0;2;3;4;5;6;7,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4260019550342131,0.4260019550342131,0.2980030721966206,0.860215053763441,0.167155425219941,15,362,0.19555555555555557,9920,5,16.684682991,16.684682991,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,101,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2303920.06056728,291693.427132323,76623.8300266958,76623.8300266958,0,191693.427132323,0,383386.854264647,7,0;2;3;4;5;6;7,0.185728250244379;0.146627565982405;0.187683284457478;0.10752688172043;0.271749755620723;0.0664711632453568;0.0263929618768328;0.290322580645161;0.158357771260997;0.182795698924731,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.16236559139784937,0.16236559139784937,0.16226783968719438,0.290322580645161,0.0263929618768328,18,436,0.1925925925925926,11579,5,18.509993337,18.509993337,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,101,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2261798.0890219,324721.43992235,50005.1030756683,50005.1030756683,0,224721.43992235,0,449442.879844701,7,0;2;3;4;5;6;7,0.0821114369501466;0.608015640273705;0.0625610948191593;0.103616813294233;0.0821114369501466;0.0869990224828935;0.10752688172043;0.178885630498534;0.594330400782014;0.579667644183773,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.24858260019550352,0.24858260019550352,0.100544616673649,0.608015640273705,0.0625610948191593,13,319,0.18205128205128204,11678,79,46.476048522,46.476048522,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,101,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2244086.79567061,350430.004520659,16234.8759818856,16234.8759818856,0,250430.004520659,0,500860.009041318,7,0;2;3;4;5;6;7,0;0;0.0166177908113392;0.0312805474095797;0.0312805474095797;0.0312805474095797;0.0664711632453568;0.0909090909090909;0.164222873900293;0.500488758553275,10,10,VALID_EXACT_LENGTH,result.csv:best_w,8,0.11656891495601175,0.0932551319648094,0.03826281245636086,0.500488758553275,0.0166177908113392,17,399,0.21764705882352942,12797,14,32.428505223,32.428505223,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,202,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2777274.13697337,9072.06597433072,178773.709395793,178773.709395793,0,0,90927.9340256693,-181855.868051339,8,0;1;2;5;6;7;8;9,0.999022482893451;0.976539589442815;0.970674486803519;0.856304985337243;0.868035190615836;0.989247311827957;0.948191593352884;0.952101661779081;0.977517106549365;0.993157380254154,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.9530791788856305,0.9530791788856305,0.9758064516129032,0.999022482893451,0.856304985337243,21,513,0.18571428571428572,11001,0,16.398650121,16.398650121,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,202,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2607402.81832896,22718.0534448576,302755.011791315,302755.011791315,0,0,77281.9465551424,-154563.893110285,7,0;1;2;5;6;7;9,0.811339198435973;0.973607038123167;0.90811339198436;0.468230694037146;0.913000977517107;0.551319648093842;0.949169110459433;0.964809384164223;0.957966764418377;0.998044965786901,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8495601173020529,0.8495601173020529,0.879486105292557,0.998044965786901,0.468230694037146,32,769,0.19895833333333332,18281,0,28.99041327,28.99041327,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,202,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2414268.24376786,148223.77146013,237443.170735672,237443.170735672,0,48223.77146013,0,96447.54292026,7,0;1;2;3;5;6;9,0.27761485826002;0.43010752688172;0.544477028347996;0.520039100684262;0.250244379276637;0.348973607038123;0.497556207233627;0.911045943304008;0.00977517106549365;0.874877810361681,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.46647116324535676,0.46647116324535676,0.4990923055439184,0.911045943304008,0.00977517106549365,21,512,0.1873015873015873,12169,1,17.176814637,17.176814637,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
