random_seed,metric,ordered_levels,direction_sequence,monotone_increasing,monotone_decreasing,nonmonotone,reversal_count,network_change_count
101,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
101,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
101,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,+++---,False,False,True,1,3
101,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
101,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,00000-,False,False,False,1,3
101,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+---+-,False,False,True,3,3
101,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
101,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,0-0+00,False,False,True,4,3
1010,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
1010,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
1010,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,++----,False,False,True,1,3
1010,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
1010,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,3
1010,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
1010,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
1010,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,0-0+00,False,False,True,4,3
202,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
202,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
202,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,++----,False,False,True,1,3
202,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,3
202,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,0000-0,False,False,False,2,3
202,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
202,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,3
202,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,+-0000,False,False,True,2,3
303,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,1
303,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,--++++,False,False,True,1,1
303,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-+----,False,False,True,2,1
303,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,--++++,False,False,True,1,1
303,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,1
303,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,++---+,False,False,True,2,1
303,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,++----,False,False,True,1,1
303,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,-+0000,False,False,True,2,1
404,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,5
404,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,--++++,False,False,True,1,5
404,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-++---,False,False,True,2,5
404,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,--++++,False,False,True,1,5
404,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,5
404,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,5
404,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,++----,False,False,True,1,5
404,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,+--++0,False,False,True,3,5
505,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
505,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
505,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-++--+,False,False,True,3,0
505,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
505,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,0000-+,False,False,True,2,0
505,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
505,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
505,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,0
606,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
606,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
606,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-++---,False,False,True,2,0
606,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
606,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,0000-+,False,False,True,2,0
606,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+----+,False,False,True,2,0
606,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
606,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,0
707,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,6
707,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,6
707,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-+---+,False,False,True,3,6
707,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,6
707,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,0000-+,False,False,True,2,6
707,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+----+,False,False,True,2,6
707,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+----+,False,False,True,2,6
707,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,0-++00,False,False,True,3,6
808,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
808,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
808,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-+----,False,False,True,2,0
808,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
808,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,00000-,False,False,False,1,0
808,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
808,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
808,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,0
909,total_profit,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
909,carbon_emission,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
909,total_investment_cost,0.5;00500;01000;02000;05000;10000;15000,-++---,False,False,True,2,0
909,net_carbon_trading_cost,0.5;00500;01000;02000;05000;10000;15000,-+++++,False,False,True,1,0
909,positive_w_count,0.5;00500;01000;02000;05000;10000;15000,00000-,False,False,False,1,0
909,mean_all_candidate_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
909,mean_open_dc_w,0.5;00500;01000;02000;05000;10000;15000,+-----,False,False,True,1,0
909,num_dc_open,0.5;00500;01000;02000;05000;10000;15000,000000,False,False,False,0,0
