order_id,size_id,scenario_id,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory,unique_key
1,10x30,DELTA_00500_GAMMA_050,101,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_00500_GAMMA_050,10x30|101|DELTA_00500_GAMMA_050
2,10x30,DELTA_01000_GAMMA_050,101,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_01000_GAMMA_050,10x30|101|DELTA_01000_GAMMA_050
3,10x30,DELTA_02000_GAMMA_050,101,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_02000_GAMMA_050,10x30|101|DELTA_02000_GAMMA_050
4,10x30,DELTA_03000_GAMMA_050,101,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_050,10x30|101|DELTA_03000_GAMMA_050
5,10x30,DELTA_05000_GAMMA_050,101,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_05000_GAMMA_050,10x30|101|DELTA_05000_GAMMA_050
6,10x30,DELTA_10000_GAMMA_050,101,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_10000_GAMMA_050,10x30|101|DELTA_10000_GAMMA_050
7,10x30,DELTA_15000_GAMMA_050,101,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_15000_GAMMA_050,10x30|101|DELTA_15000_GAMMA_050
8,10x30,DELTA_03000_GAMMA_010,101,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_010,10x30|101|DELTA_03000_GAMMA_010
9,10x30,DELTA_03000_GAMMA_030,101,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_030,10x30|101|DELTA_03000_GAMMA_030
10,10x30,DELTA_03000_GAMMA_040,101,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_040,10x30|101|DELTA_03000_GAMMA_040
11,10x30,DELTA_03000_GAMMA_060,101,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_060,10x30|101|DELTA_03000_GAMMA_060
12,10x30,DELTA_03000_GAMMA_070,101,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_070,10x30|101|DELTA_03000_GAMMA_070
13,10x30,DELTA_03000_GAMMA_090,101,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_101/DELTA_03000_GAMMA_090,10x30|101|DELTA_03000_GAMMA_090
14,10x30,DELTA_00500_GAMMA_050,202,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_00500_GAMMA_050,10x30|202|DELTA_00500_GAMMA_050
15,10x30,DELTA_01000_GAMMA_050,202,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_01000_GAMMA_050,10x30|202|DELTA_01000_GAMMA_050
16,10x30,DELTA_02000_GAMMA_050,202,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_02000_GAMMA_050,10x30|202|DELTA_02000_GAMMA_050
17,10x30,DELTA_03000_GAMMA_050,202,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_050,10x30|202|DELTA_03000_GAMMA_050
18,10x30,DELTA_05000_GAMMA_050,202,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_05000_GAMMA_050,10x30|202|DELTA_05000_GAMMA_050
19,10x30,DELTA_10000_GAMMA_050,202,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_10000_GAMMA_050,10x30|202|DELTA_10000_GAMMA_050
