sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
delta,00500,10x30,DELTA_00500_GAMMA_050,101,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2803373.34125329,10601.7739551687,165860.743896564,165860.743896564,0,0,89398.2260448313,-178796.452089663,7,2;3;4;5;6;7;9,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8770283479960898,0.8770283479960898,0.9632732858539309,0.997067448680352,0.270772238514174,32,752,0.21666666666666667,24183,309,39.052696605,39.052696605,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,101,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2658669.23539032,23387.8614426148,240638.388267564,240638.388267564,0,0,76612.1385573852,-153224.27711477,5,2;3;4;5;7,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7734115347018574,0.7734115347018574,0.8598240469208213,1.0,0.266862170087977,15,355,0.2111111111111111,9213,5,15.315292288,15.315292288,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,101,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2459498.33721215,108174.245578017,270157.691477728,270157.691477728,0,8174.24557801659,0,16348.4911560332,5,2;3;4;5;7,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4535679374389052,0.4535679374389052,0.567546432062561,0.81524926686217,0.175953079178886,17,404,0.20784313725490197,11693,1,21.251708099,21.251708099,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,03000,10x30,DELTA_03000_GAMMA_050,101,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2371052.3565378,216235.824199795,160541.959378031,160541.959378031,0,116235.824199795,0,232471.648399591,7,0;2;3;4;5;6;7,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4260019550342131,0.4260019550342131,0.2980030721966206,0.860215053763441,0.167155425219941,15,362,0.19555555555555557,9920,5,16.684682991,16.684682991,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,101,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2303920.06056728,291693.427132323,76623.8300266958,76623.8300266958,0,191693.427132323,0,383386.854264647,7,0;2;3;4;5;6;7,0.185728250244379;0.146627565982405;0.187683284457478;0.10752688172043;0.271749755620723;0.0664711632453568;0.0263929618768328;0.290322580645161;0.158357771260997;0.182795698924731,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.16236559139784937,0.16236559139784937,0.16226783968719438,0.290322580645161,0.0263929618768328,18,436,0.1925925925925926,11579,5,18.509993337,18.509993337,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,101,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2261798.0890219,324721.43992235,50005.1030756683,50005.1030756683,0,224721.43992235,0,449442.879844701,7,0;2;3;4;5;6;7,0.0821114369501466;0.608015640273705;0.0625610948191593;0.103616813294233;0.0821114369501466;0.0869990224828935;0.10752688172043;0.178885630498534;0.594330400782014;0.579667644183773,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.24858260019550352,0.24858260019550352,0.100544616673649,0.608015640273705,0.0625610948191593,13,319,0.18205128205128204,11678,79,46.476048522,46.476048522,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,101,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2244086.79567061,350430.004520659,16234.8759818856,16234.8759818856,0,250430.004520659,0,500860.009041318,7,0;2;3;4;5;6;7,0;0;0.0166177908113392;0.0312805474095797;0.0312805474095797;0.0312805474095797;0.0664711632453568;0.0909090909090909;0.164222873900293;0.500488758553275,10,10,VALID_EXACT_LENGTH,result.csv:best_w,8,0.11656891495601175,0.0932551319648094,0.03826281245636086,0.500488758553275,0.0166177908113392,17,399,0.21764705882352942,12797,14,32.428505223,32.428505223,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.1,10x30,DELTA_03000_GAMMA_010,101,3000,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2939048.80701306,14006.5999444249,23374.2723024844,23374.2723024844,0,0,85993.4000555751,-171986.80011115,7,2;3;4;5;6;7;9,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8510263929618769,0.8510263929618769,0.94065074710236,0.997067448680352,0.497556207233627,37,867,0.21891891891891893,21460,16,26.51976394,26.51976394,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.3,10x30,DELTA_03000_GAMMA_030,101,3000,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2809394.90305868,18246.8635695916,129445.33738978,129445.33738978,0,0,81753.1364304084,-163506.272860817,6,2;3;4;5;7;9,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8526881720430108,0.8526881720430108,0.9227761485826004,0.996089931573803,0.579667644183773,21,497,0.2111111111111111,12530,11,17.76878578,17.76878578,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.4,10x30,DELTA_03000_GAMMA_040,101,3000,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2632107.77830462,42632.0356149081,228671.695369314,228671.695369314,0,0,57367.9643850919,-114735.928770184,5,2;3;4;5;7,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.6416422287390029,0.6416422287390029,0.7049853372434016,0.995112414467253,0.310850439882698,15,354,0.21333333333333335,10597,2,17.216465499,17.216465499,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
