random_seed,rq2_total_profit,rq1_total_profit,total_profit_absolute_difference,rq2_carbon_emission,rq1_carbon_emission,carbon_emission_absolute_difference,rq2_total_investment_cost,rq1_total_investment_cost,total_investment_cost_absolute_difference,rq2_net_carbon_trading_cost,rq1_net_carbon_trading_cost,net_carbon_trading_cost_absolute_difference,rq2_num_dc_open,rq1_num_dc_open,num_dc_open_absolute_difference,rq2_open_dc_set,rq1_open_dc_set,instance_fingerprint_match,best_w_exact_match,notes
101,2371052.3565378,2371052.3565378,0.0,216235.824199795,216235.824199795,0.0,160541.959378031,160541.959378031,0.0,232471.648399591,232471.648399591,0.0,7,7,0.0,0;2;3;4;5;6;7,0;2;3;4;5;6;7,False,False,RQ1 optimized-investment baseline comparison; not substituted
202,2327946.4924759,2327946.4924759,0.0,254617.873913696,254617.873913696,0.0,111669.137440366,111669.137440366,0.0,309235.747827392,309235.747827392,0.0,7,7,0.0,0;1;2;5;6;7;9,0;1;2;5;6;7;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
303,2234567.0441681,2234567.0441681,0.0,242932.118183644,242932.118183644,0.0,245429.754102366,245429.754102366,0.0,285864.236367288,285864.236367288,0.0,9,9,0.0,0;1;2;3;4;5;6;8;9,0;1;2;3;4;5;6;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
404,1775776.82330118,1775776.82330118,0.0,239106.32016107,239106.32016107,0.0,302681.758766957,302681.758766957,0.0,278212.64032214,278212.64032214,0.0,6,6,0.0,0;2;4;7;8;9,0;2;4;7;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
505,1943512.15225311,1943512.15225311,0.0,246715.987314229,246715.987314229,0.0,191098.538818986,191098.538818986,0.0,293431.974628459,293431.974628459,0.0,9,9,0.0,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
606,2276604.85944484,2276604.85944484,0.0,212417.690595389,212417.690595389,0.0,217607.775418985,217607.775418985,0.0,224835.381190779,224835.381190779,0.0,7,7,0.0,0;1;2;3;4;7;9,0;1;2;3;4;7;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
707,2562933.77111338,2562933.77111338,0.0,235114.410038126,235114.410038126,0.0,215004.77255149,215004.77255149,0.0,270228.820076251,270228.820076251,0.0,8,8,0.0,0;1;2;3;4;5;6;9,0;1;2;3;4;5;6;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
808,2732061.90909456,2732061.90909456,0.0,175760.547125795,175760.547125795,0.0,172247.597102776,172247.597102776,0.0,151521.09425159,151521.09425159,0.0,5,5,0.0,1;4;5;8;9,1;4;5;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
909,2342419.31620575,2342419.31620575,0.0,280010.466657766,280010.466657766,0.0,239507.554572176,239507.554572176,0.0,360020.933315533,360020.933315533,0.0,9,9,0.0,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
1010,2503040.51347255,2503040.51347255,0.0,280477.380094308,280477.380094308,0.0,111667.9176653,111667.9176653,0.0,360954.760188615,360954.760188615,0.0,8,8,0.0,0;1;3;4;6;7;8;9,0;1;3;4;6;7;8;9,False,False,RQ1 optimized-investment baseline comparison; not substituted
