random_seed,scenario_id,screening_total_profit,formal_total_profit,profit_absolute_difference,screening_carbon_emission,formal_carbon_emission,carbon_emission_absolute_difference,screening_total_investment_cost,formal_total_investment_cost,investment_cost_absolute_difference,screening_net_carbon_trading_cost,formal_net_carbon_trading_cost,net_carbon_trading_cost_absolute_difference,screening_num_dc_open,formal_num_dc_open,num_dc_open_match,screening_open_dc_set,formal_open_dc_set,open_dc_set_match,screening_best_w,formal_best_w,best_w_exact_match,screening_instance_fingerprint,formal_instance_fingerprint,instance_fingerprint_match,comparison_status,notes
101,DELTA_03000_GAMMA_050,2371052.3565378,2371052.3565378,0.0,216235.824199795,216235.824199795,0.0,160541.959378031,160541.959378031,0.0,232471.648399591,232471.648399591,0.0,7,7,True,0;2;3;4;5;6;7,0;2;3;4;5;6;7,True,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,True,65c944e9fcc4ef3ce75c06b9920915d614f2e60e4fbed56c8c716a5b95dab1b4,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_050,1943512.15225311,1943512.15225311,0.0,246715.987314229,246715.987314229,0.0,191098.538818986,191098.538818986,0.0,293431.974628459,293431.974628459,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,True,79fba9aaf2fdafaa361626ed0fc09013b762f02cd28f435c5e8ffc669cf6a3d3,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_050,2342419.31620575,2342419.31620575,0.0,280010.466657766,280010.466657766,0.0,239507.554572176,239507.554572176,0.0,360020.933315533,360020.933315533,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.732160312805474;0.359726295210166;0.00782013685239492;0.358748778103617;0.324535679374389;0.349951124144673;0.313782991202346;0.220918866080156;0.263929618768328;0.423264907135875,0.732160312805474;0.359726295210166;0.00782013685239492;0.358748778103617;0.324535679374389;0.349951124144673;0.313782991202346;0.220918866080156;0.263929618768328;0.423264907135875,True,767696324d108c33d88d7795c380710ae6949aba89e40b6a8a978ea35d94a9f1,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_00500_GAMMA_050,2803373.34125329,2803373.34125329,0.0,10601.7739551687,10601.7739551687,0.0,165860.743896564,165860.743896564,0.0,-178796.452089663,-178796.452089663,0.0,7,7,True,2;3;4;5;6;7;9,2;3;4;5;6;7;9,True,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,True,f73439e3b7af39aa8dc5c1db5438932881f9ea8d224bf6ecc1a7ed7a214d9196,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_00500_GAMMA_050,2440907.59180517,2440907.59180517,0.0,9075.23055347409,9075.23055347409,0.0,186214.867065004,186214.867065004,0.0,-181849.538893052,-181849.538893052,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.795698924731183;0.990224828934506;0.980449657869013;0.287390029325513;0.994134897360704;0.979472140762463;0.997067448680352;0.909090909090909;0.992179863147605;0.996089931573803,0.795698924731183;0.990224828934506;0.980449657869013;0.287390029325513;0.994134897360704;0.979472140762463;0.997067448680352;0.909090909090909;0.992179863147605;0.996089931573803,True,49b9895e05587068e6119c85c7e588fd54264af230c8b5df7ac4cf83d67463f5,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_00500_GAMMA_050,2912197.73220233,2912197.73220233,0.0,19733.6933474085,19733.6933474085,0.0,195134.660110038,195134.660110038,0.0,-160532.613305183,-160532.613305183,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.967741935483871;0.901270772238514;0.965786901270772;0.930596285434995;0.96871945259042;0.990224828934506;0.936461388074291;0.983382209188661;0.953079178885631;0.982404692082111,0.967741935483871;0.901270772238514;0.965786901270772;0.930596285434995;0.96871945259042;0.990224828934506;0.936461388074291;0.983382209188661;0.953079178885631;0.982404692082111,True,67fde08421033a2c439d1941dc1e3b4cb885155d06bd1e6c352d99742ef9bb32,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_01000_GAMMA_050,2658669.23539032,2658669.23539032,0.0,23387.8614426148,23387.8614426148,0.0,240638.388267564,240638.388267564,0.0,-153224.27711477,-153224.27711477,0.0,5,5,True,2;3;4;5;7,2;3;4;5;7,True,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,True,976f88f98e337d9b55fabbfa05691e9bbac3e67def10582e736e937b73b42e55,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_01000_GAMMA_050,2261853.74916223,2261853.74916223,0.0,42253.1964068081,42253.1964068081,0.0,291763.770361742,291763.770361742,0.0,-115493.607186384,-115493.607186384,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.424242424242424;0.950146627565982;0.951124144672532;0.319648093841642;0.610948191593353;0.958944281524927;0.989247311827957;0.608015640273705;0.978494623655914;0.593352883675464,0.424242424242424;0.950146627565982;0.951124144672532;0.319648093841642;0.610948191593353;0.958944281524927;0.989247311827957;0.608015640273705;0.978494623655914;0.593352883675464,True,54ba796f3c6f244a1e53c06a9fa4667f1b3b41d4a496aa9881f9a6289b3b4218,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_01000_GAMMA_050,2722311.1653007,2722311.1653007,0.0,50537.7965997366,50537.7965997366,0.0,310323.525562455,310323.525562455,0.0,-98924.4068005268,-98924.4068005268,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.963831867057674;0.930596285434995;0.725317693059629;0.747800586510264;0.458455522971652;0.989247311827957;0.873900293255132;0.312805474095797;0.681329423264907;0.993157380254154,0.963831867057674;0.930596285434995;0.725317693059629;0.747800586510264;0.458455522971652;0.989247311827957;0.873900293255132;0.312805474095797;0.681329423264907;0.993157380254154,True,2f25d65f201edbbe79400d0a5fedce5d1261e7019f7ab2a91d8cc61f6eb4fd39,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_02000_GAMMA_050,2459498.33721215,2459498.33721215,0.0,108174.245578017,108174.245578017,0.0,270157.691477728,270157.691477728,0.0,16348.4911560332,16348.4911560332,0.0,5,5,True,2;3;4;5;7,2;3;4;5;7,True,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,True,83b7b5678e4f6922aa48fdd9084f556679ff00593684d017c0b04baf7061fa1c,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
