size_id,scenario_id,screening_dimension,screening_level,random_seed,delta,investment_exponent,outer_status,inner_bp_status,has_integer_solution,outcome,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,best_w,w_vector_expected_length,w_vector_normalization_status,algorithm_commit,formal_tag,config_sha256,instance_fingerprint,demand_source,investment_recomputed,investment_abs_diff,user_time_sec,system_time_sec,wall_time_sec,max_rss_kb,sensitivity_dimension,sensitivity_level,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,w_vector_candidate_dc,w_vector_length,w_vector_raw_source
10x30,DELTA_03000_GAMMA_010,gamma,0.1,101,3000,0.1,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2939048.80701306,14006.5999444249,23374.2723024844,0,85993.4000555751,-171986.80011115,7,37,1110,867,243,0.21891891891891893,21460,16,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,8d6bcc55b45a72114506112fae5204588934dae1884fbbe35a4065bb0cc3aa70,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,23374.2723024844,1.81898940354586e-11,178.47,2.9,26.52,16100,gamma,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_030,gamma,0.3,101,3000,0.3,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2809394.90305868,18246.8635695916,129445.33738978,0,81753.1364304084,-163506.272860817,6,21,630,497,133,0.2111111111111111,12530,11,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,432d8e423d4881a8aa7c3f828a099c680dd8fb9e997762e669c13aedd3bcd39f,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,129445.33738978,3.34694050252438e-10,120.5,1.83,17.77,16072,gamma,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_040,gamma,0.4,101,3000,0.4,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2632107.77830462,42632.0356149081,228671.695369314,0,57367.9643850919,-114735.928770184,5,15,450,354,96,0.21333333333333335,10597,2,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,4d1f1e3aaf5744dca48b0e0751460805b8eb49b8d4884f1ebfd8896fb63aa1c6,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,228671.695369314,3.78349795937538e-10,114.92,1.35,17.22,16080,gamma,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_060,gamma,0.6,101,3000,0.6,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2270390.41224872,323954.464075531,42947.8738449352,223954.464075531,0,447908.928151062,7,13,390,321,69,0.17692307692307693,10258,48,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,9ed506cb05b502fc7c12aa6779cda7c0df1925d1fc4e3ce74d4a2d4869aee3f6,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,42947.873844935,2.03726813197136e-10,135.63,1.55,27.74,16956,gamma,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_070,gamma,0.7,101,3000,0.7,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2232858.88322458,359190.079646201,9926.80163264562,259190.079646201,0,518380.159292402,7,12,360,294,66,0.18333333333333332,9333,0,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,c224f279457aa78bc7e37b1e048bda908fd5ea3707500c601b9b1204ddbfd266,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,9926.80163264562,3.63797880709171e-12,136.97,1.41,21.98,15680,gamma,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_090,gamma,0.9,101,3000,0.9,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2223286.06245517,368432.198981702,988.031033544368,268432.198981702,0,536864.397963404,7,11,330,259,71,0.21515151515151515,6851,2,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,316e68254709d5ca48186e30d281af81a4c5cc5144f5c36b0b6541a1018901b4,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,988.031033544369,6.82121026329696e-13,119.96,1.11,20.95,15668,gamma,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_010,gamma,0.1,202,3000,0.1,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2930747.34778126,9893.23700455003,27783.1186022667,0,90106.76299545,-180213.5259909,8,39,1170,910,260,0.2222222222222222,19691,1,0.999022482893451;0.991202346041056;0.939393939393939;0.578690127077224;0.56891495601173;0.871945259042033;0.996089931573803;0.949169110459433;0.992179863147605;0.98533724340176,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,67cf5f46a809a623607f01c1848c7afa48166ad109016f0f418cbcebc30827e1,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,27783.1186022667,4.36557456851006e-11,183.05,2.92,27.66,16408,gamma,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.999022482893451;0.991202346041056;0.939393939393939;0.578690127077224;0.56891495601173;0.871945259042033;0.996089931573803;0.949169110459433;0.992179863147605;0.98533724340176,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_030,gamma,0.3,202,3000,0.3,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2783977.93321029,15147.7784915367,158396.208154441,0,84852.2215084633,-169704.443016927,8,40,1200,944,256,0.21333333333333335,22751,0,0.898338220918866;0.974584555229717;0.971652003910068;0.43010752688172;0.684261974584555;0.786901270772238;0.998044965786901;0.972629521016618;0.776148582600195;0.994134897360704,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,fcd1b7607232a1cfaa11c915db45699253fd79556f4e19c92d65f246b0c8887a,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,158396.208154441,2.3283064365387e-10,207.08,3.27,31.0,16472,gamma,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.898338220918866;0.974584555229717;0.971652003910068;0.43010752688172;0.684261974584555;0.786901270772238;0.998044965786901;0.972629521016618;0.776148582600195;0.994134897360704,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_040,gamma,0.4,202,3000,0.4,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2559880.60582887,61696.4123995986,265860.312199009,0,38303.5876004014,-76607.1752008027,7,19,570,469,101,0.17719298245614035,11891,5,0.659824046920821;0.779081133919844;0.587487781036168;0.490713587487781;0.670576735092864;0.532746823069404;0.953079178885631;0.790811339198436;0.422287390029326;0.963831867057674,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,5051912c838037e880d74ac20e1adfe78f59845125b573a058cc25d6609b794d,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,265860.312199009,2.3283064365387e-10,113.99,2.01,17.41,16056,gamma,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.659824046920821;0.779081133919844;0.587487781036168;0.490713587487781;0.670576735092864;0.532746823069404;0.953079178885631;0.790811339198436;0.422287390029326;0.963831867057674,10,result.csv:best_w
10x30,DELTA_03000_GAMMA_060,gamma,0.6,202,3000,0.6,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2240447.65346603,283889.350919866,89799.0639979445,183889.350919866,0,367778.701839732,7,34,1020,817,203,0.19901960784313724,18687,1,0.0987292277614858;0.187683284457478;0.125122189638319;0.127077223851417;0.269794721407625;0.141739980449658;0.192570869990225;0.13782991202346;0.535679374389052;0.258064516129032,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,b307c4e680eb630fc3195d70a91974a092be18be022e93c2ba99e4d2efe84ec4,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,report.txt D_j open DCs; closed DCs D=0,89799.0639979445,2.91038304567337e-11,180.39,2.87,28.36,15960,gamma,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,normal_or_early_stop,0.0987292277614858;0.187683284457478;0.125122189638319;0.127077223851417;0.269794721407625;0.141739980449658;0.192570869990225;0.13782991202346;0.535679374389052;0.258064516129032,10,result.csv:best_w
