Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2738176.905265,2655106.907041,2367928.671520,19.077371
1,2741600.282189,2678609.305555,2583455.683519,19.077371
2,2757673.079246,2698065.825185,2626821.458444,19.077371
3,2758511.936688,2720201.055969,2637783.653108,19.077371
4,2758511.936688,2731530.121158,2676035.649031,19.077371
5,2771298.787817,2738839.410760,2691327.839632,19.077371
6,2771298.787817,2745899.150928,2708371.052189,19.077371
7,2771298.787817,2757916.002798,2734436.858062,19.077371
8,2776956.408115,2764002.552830,2727198.945583,19.077371
9,2779443.411691,2767573.369405,2753675.520062,19.077372
10,2779443.411691,2768334.679544,2737913.419597,19.077372
11,2779443.411691,2768797.314553,2742764.487224,19.077372
12,2779443.411691,2765475.364520,2694486.519108,19.077372
13,2779443.411691,2768507.155808,2741838.067741,19.077372
14,2779443.411691,2768930.013919,2742991.308054,19.077372
15,2779443.411691,2771337.566880,2750231.593600,19.077372
16,2780853.211749,2771223.432449,2750643.418558,19.077372
17,2780853.211749,2773387.700877,2737235.343937,19.077372
18,2780897.719030,2776323.261235,2755332.809520,19.077372
