scenario_id,delta,gamma,reported,recomputed,abs_diff,pass,instance_fingerprint
DELTA_00500_GAMMA_050,500,0.5,165860.743896564,165860.743896564,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_01000_GAMMA_050,1000,0.5,240638.388267564,240638.388267564,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_02000_GAMMA_050,2000,0.5,270157.691477728,270157.691477728,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_010,3000,0.1,23374.2723024844,23374.2723024844,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_030,3000,0.3,129445.33738978,129445.33738978,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_040,3000,0.4,228671.695369314,228671.695369314,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_050,3000,0.5,160541.959378031,160541.959378031,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_060,3000,0.6,42947.8738449352,42947.873844935,2.0372681319713593e-10,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_070,3000,0.7,9926.80163264562,9926.80163264562,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_03000_GAMMA_090,3000,0.9,988.031033544368,988.031033544369,1.0231815394945443e-12,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_05000_GAMMA_050,5000,0.5,76623.8300266958,76623.8300266957,1.0186340659856796e-10,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_10000_GAMMA_050,10000,0.5,50005.1030756683,50005.1030756685,1.964508555829525e-10,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
DELTA_15000_GAMMA_050,15000,0.5,16234.8759818856,16234.8759818856,0.0,True,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8
