Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2221598.993420,1009489.512095,200000.000000,20.739054
1,2222295.146988,1420844.379575,299660.030122,20.739054
2,2222295.146988,1616339.214796,223549.969188,20.739054
3,2222295.146988,1747123.736612,636391.213030,20.739054
4,2222295.146988,1917098.743972,1336758.118009,20.739054
5,2222295.146988,1996103.463657,1582984.229203,20.739054
6,2222429.458323,2080819.571397,1480050.554050,20.739055
7,2222429.458323,2126257.629680,1790900.414540,20.739055
8,2222459.319448,2143602.932970,1880461.385419,20.739055
9,2222596.940855,2148933.214473,1702701.113823,20.739055
10,2223286.062455,2178282.630033,2000259.539039,20.739055
