Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2358571.715515,2288157.565071,2184579.174793,17.208901
1,2361578.153364,2302692.397879,2251749.764000,17.208901
2,2361578.153364,2324473.431143,2262197.631624,17.208901
3,2364188.894214,2336782.864796,2285595.584480,17.208901
4,2368864.711134,2347533.409786,2313870.134370,17.208901
5,2368864.711134,2352998.293061,2335360.776401,17.208901
6,2368864.711134,2357460.084462,2290376.430832,17.208901
7,2370457.115764,2359709.796203,2331283.020080,17.208901
8,2370457.115764,2359528.056109,2329484.462921,17.208902
9,2370457.115764,2357681.560221,2310616.099724,17.208902
10,2370457.115764,2361897.504500,2321833.646122,17.208902
11,2370555.033905,2363352.426244,2313943.977581,17.208902
12,2370555.033905,2364240.099816,2341308.755040,17.208902
13,2370635.393325,2364174.432238,2314749.371794,17.208902
14,2371052.356538,2365243.612055,2331415.599077,17.208902
