Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2221598.993420,1778506.897060,736419.535575,32.833264
1,2235833.981140,1921093.228850,1008660.431047,32.833264
2,2235833.981140,1966279.351776,1669231.445579,32.833264
3,2235833.981140,2007117.502463,1813303.921114,32.833264
4,2235833.981140,2055946.267948,1880916.404845,32.833264
5,2236461.499637,2097548.925253,1985189.232896,32.833264
6,2239417.261738,2155280.039312,2030027.028808,32.833264
7,2239417.261738,2176503.184133,1998856.765647,32.833264
8,2240271.067325,2203992.087232,2075196.504597,32.833264
9,2240271.067325,2191031.927299,1692138.742769,32.833264
10,2242072.311183,2224998.456186,2127318.746315,32.833264
11,2242229.830600,2222624.799423,1840152.798683,32.833264
12,2243371.907219,2234708.244643,2149709.510543,32.833264
13,2244076.503816,2220329.259640,1875685.049300,32.833264
14,2244086.795671,2228429.841614,2130825.614165,32.833264
15,2244086.795671,2229360.501010,2141880.570591,32.833265
16,2244086.795671,2230051.034954,2187110.642633,32.833265
