size_id,scenario_id,screening_dimension,screening_level,random_seed,delta,investment_exponent,outer_status,inner_bp_status,has_integer_solution,outcome,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,best_w,w_vector_expected_length,w_vector_normalization_status,algorithm_commit,formal_tag,config_sha256,instance_fingerprint,demand_source,investment_recomputed,investment_abs_diff,user_time_sec,system_time_sec,wall_time_sec,max_rss_kb
10x30,DELTA_03000_GAMMA_010,gamma,0.1,101,3000,0.1,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2939048.80701306,14006.5999444249,23374.2723024844,0,85993.4000555751,-171986.80011115,7,37,1110,867,243,0.21891891891891893,21460,16,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,13f21ffda1ea7fd2376c5c022dab6f7e5412cf58fbd8749b8c551a67ce7fb78f,13f21ffda1ea7fd2376c5c022dab6f7e5412cf58fbd8749b8c551a67ce7fb78f,report.txt D_j open DCs; closed DCs D=0,23374.2723024844,1.81898940354586e-11,179.12,2.65,26.47,16260
10x30,DELTA_03000_GAMMA_020,gamma,0.2,101,3000,0.2,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2911516.64327482,8664.48055777271,61592.3382747863,0,91335.5194422273,-182671.038884455,7,43,1290,1001,289,0.224031007751938,25994,91,0.295210166177908;0.767350928641251;0.988269794721408;0.98533724340176;0.842619745845552;0.992179863147605;0.981427174975562;0.995112414467253;0.902248289345064;0.990224828934506,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,06c6780e404082c6b46b59a19b4dbc27e78c922bf877e0e57c72bed634247527,06c6780e404082c6b46b59a19b4dbc27e78c922bf877e0e57c72bed634247527,report.txt D_j open DCs; closed DCs D=0,61592.3382747862,5.0931703299284e-11,220.88,3.19,33.51,15988
10x30,DELTA_03000_GAMMA_030,gamma,0.3,101,3000,0.3,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2809394.90305868,18246.8635695916,129445.33738978,0,81753.1364304084,-163506.272860817,6,21,630,497,133,0.2111111111111111,12530,11,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82f9d7eb4df44e90170be6f7232aba933c2f7ee70041a9a1d6db95060f13bb3a,82f9d7eb4df44e90170be6f7232aba933c2f7ee70041a9a1d6db95060f13bb3a,report.txt D_j open DCs; closed DCs D=0,129445.33738978,3.34694050252438e-10,122.25,1.74,18.11,15584
10x30,DELTA_03000_GAMMA_040,gamma,0.4,101,3000,0.4,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2632107.77830462,42632.0356149081,228671.695369314,0,57367.9643850919,-114735.928770184,5,15,450,354,96,0.21333333333333335,10597,2,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,8150a1bef63aec8f3f71aeb4fc9b2968b74d28cce09d8e1963e38c24d843362e,8150a1bef63aec8f3f71aeb4fc9b2968b74d28cce09d8e1963e38c24d843362e,report.txt D_j open DCs; closed DCs D=0,228671.695369314,3.78349795937538e-10,116.04,1.15,17.32,16012
10x30,DELTA_03000_GAMMA_060,gamma,0.6,101,3000,0.6,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2270390.41224872,323954.464075531,42947.8738449352,223954.464075531,0,447908.928151062,7,13,390,321,69,0.17692307692307693,10258,48,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,0287743ae3ddf05f3a33cb4be52aabfb263f61e076772c6a718c19983acac9cb,0287743ae3ddf05f3a33cb4be52aabfb263f61e076772c6a718c19983acac9cb,report.txt D_j open DCs; closed DCs D=0,42947.873844935,2.03726813197136e-10,135.89,1.04,27.35,16788
10x30,DELTA_03000_GAMMA_070,gamma,0.7,101,3000,0.7,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2232858.88322458,359190.079646201,9926.80163264562,259190.079646201,0,518380.159292402,7,12,360,294,66,0.18333333333333332,9333,0,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,a516a74f89cf00221e680b93653affa143ceeb4e7eac9259fb3205f276313fb3,a516a74f89cf00221e680b93653affa143ceeb4e7eac9259fb3205f276313fb3,report.txt D_j open DCs; closed DCs D=0,9926.80163264562,3.63797880709171e-12,138.62,1.1,22.29,15776
10x30,DELTA_03000_GAMMA_080,gamma,0.8,101,3000,0.8,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2224519.57270544,367683.518689859,1253.15605329847,267683.518689859,0,535367.037379719,7,11,330,263,67,0.20303030303030303,8012,1,0.00782013685239492;0;0;0;0.00195503421309873;0;0;0.0127077223851417;0;0,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,9a7271217d4ab645c538b860a1f17fabeae87e4926d1ea27217053124ba898f8,9a7271217d4ab645c538b860a1f17fabeae87e4926d1ea27217053124ba898f8,report.txt D_j open DCs; closed DCs D=0,1253.15605329846,1.25055521493778e-11,136.33,0.84,22.05,15696
10x30,DELTA_03000_GAMMA_090,gamma,0.9,101,3000,0.9,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2223286.06245517,368432.198981702,988.031033544368,268432.198981702,0,536864.397963404,7,11,330,259,71,0.21515151515151515,6851,2,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,e4c269978e2e219a0e005347255ae375ac7559bd52dd9973c3286f19a7ba7a87,e4c269978e2e219a0e005347255ae375ac7559bd52dd9973c3286f19a7ba7a87,report.txt D_j open DCs; closed DCs D=0,988.031033544369,6.82121026329696e-13,119.25,0.96,21.06,15844
10x30,DELTA_03000_GAMMA_010,gamma,0.1,505,3000,0.1,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2590452.78359494,11933.4487249128,30954.8365270267,0,88066.5512750872,-176133.102550174,9,50,1500,1195,305,0.20333333333333334,24869,72,0.996089931573803;0.951124144672532;0.946236559139785;0.192570869990225;0.990224828934506;0.999022482893451;0.990224828934506;0.958944281524927;0.921798631476051;0.996089931573803,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,425df1054f9c0e9c5eddcbddef0f51028923d3debc4982021c0ee8e058d92b1e,425df1054f9c0e9c5eddcbddef0f51028923d3debc4982021c0ee8e058d92b1e,report.txt D_j open DCs; closed DCs D=0,30954.8365270267,1.09139364212751e-11,207.73,3.72,30.5,16612
10x30,DELTA_03000_GAMMA_020,gamma,0.2,505,3000,0.2,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2547766.81516066,10429.9807158425,74019.2228913393,0,89570.0192841575,-179140.038568315,9,50,1500,1212,288,0.192,24061,43,0.989247311827957;0.981427174975562;0.992179863147605;0.976539589442815;0.92375366568915;0.997067448680352;0.990224828934506;0.999022482893451;0.977517106549365;0.834799608993157,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,7b708300d9fcf48f7c8ae9800b062eeab14bb12567d590f4d5d5aee57c7f3c1d,7b708300d9fcf48f7c8ae9800b062eeab14bb12567d590f4d5d5aee57c7f3c1d,report.txt D_j open DCs; closed DCs D=0,74019.2228913393,0,210.16,3.55,31.4,16220
