screening_dimension,level,flags,basis
delta,1000,,predeclared boundary rule
delta,10000,,predeclared boundary rule
delta,15000,,predeclared boundary rule
delta,2000,,predeclared boundary rule
delta,3000,,predeclared boundary rule
delta,500,,predeclared boundary rule
delta,5000,,predeclared boundary rule
delta,7500,,predeclared boundary rule
gamma,0.1,,predeclared boundary rule
gamma,0.2,,predeclared boundary rule
gamma,0.3,,predeclared boundary rule
gamma,0.4,,predeclared boundary rule
gamma,0.5,,predeclared boundary rule
gamma,0.6,,predeclared boundary rule
gamma,0.7,,predeclared boundary rule
gamma,0.8,,predeclared boundary rule
gamma,0.9,,predeclared boundary rule
