parameter,level,seed,open_dc_set,changed_vs_baseline
delta,3000,101,COUNT:7,False
delta,500,101,COUNT:7,False
delta,1000,101,COUNT:5,True
delta,2000,101,COUNT:5,True
gamma,0.1,101,COUNT:7,False
gamma,0.2,101,COUNT:7,False
gamma,0.3,101,COUNT:6,True
gamma,0.4,101,COUNT:5,True
gamma,0.6,101,COUNT:7,False
gamma,0.7,101,COUNT:7,False
gamma,0.8,101,COUNT:7,False
gamma,0.9,101,COUNT:7,False
delta,5000,101,COUNT:7,False
delta,7500,101,COUNT:7,False
delta,10000,101,COUNT:7,False
delta,15000,101,COUNT:7,False
delta,3000,505,COUNT:9,False
delta,500,505,COUNT:9,False
delta,1000,505,COUNT:9,False
delta,2000,505,COUNT:9,False
gamma,0.1,505,COUNT:9,False
gamma,0.2,505,COUNT:9,False
gamma,0.3,505,COUNT:9,False
gamma,0.4,505,COUNT:9,False
gamma,0.6,505,COUNT:9,False
gamma,0.7,505,COUNT:9,False
gamma,0.8,505,COUNT:9,False
gamma,0.9,505,COUNT:9,False
delta,5000,505,COUNT:9,False
delta,7500,505,COUNT:9,False
delta,10000,505,COUNT:9,False
delta,15000,505,COUNT:9,False
delta,3000,909,COUNT:9,False
delta,500,909,COUNT:9,False
delta,1000,909,COUNT:9,False
delta,2000,909,COUNT:9,False
gamma,0.1,909,COUNT:9,False
gamma,0.2,909,COUNT:9,False
gamma,0.3,909,COUNT:9,False
gamma,0.4,909,COUNT:9,False
gamma,0.6,909,COUNT:9,False
gamma,0.7,909,COUNT:9,False
gamma,0.8,909,COUNT:9,False
gamma,0.9,909,COUNT:9,False
delta,5000,909,COUNT:9,False
delta,7500,909,COUNT:9,False
delta,10000,909,COUNT:9,False
delta,15000,909,COUNT:9,False
