order_id,size_id,scenario_id,screening_dimension,level,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory
1,10x30,BASELINE_DELTA_03000_GAMMA_050,delta,3000,101,3000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/BASELINE_DELTA_03000_GAMMA_050
2,10x30,DELTA_00500_GAMMA_050,delta,500,101,500,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_00500_GAMMA_050
3,10x30,DELTA_01000_GAMMA_050,delta,1000,101,1000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_01000_GAMMA_050
4,10x30,DELTA_02000_GAMMA_050,delta,2000,101,2000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_02000_GAMMA_050
5,10x30,DELTA_05000_GAMMA_050,delta,5000,101,5000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_05000_GAMMA_050
6,10x30,DELTA_07500_GAMMA_050,delta,7500,101,7500,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_07500_GAMMA_050
7,10x30,DELTA_10000_GAMMA_050,delta,10000,101,10000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_10000_GAMMA_050
8,10x30,DELTA_15000_GAMMA_050,delta,15000,101,15000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_15000_GAMMA_050
9,10x30,DELTA_03000_GAMMA_010,gamma,0.1,101,3000,0.1,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_010
10,10x30,DELTA_03000_GAMMA_020,gamma,0.2,101,3000,0.2,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_020
11,10x30,DELTA_03000_GAMMA_030,gamma,0.3,101,3000,0.3,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_030
12,10x30,DELTA_03000_GAMMA_040,gamma,0.4,101,3000,0.4,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_040
13,10x30,DELTA_03000_GAMMA_060,gamma,0.6,101,3000,0.6,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_060
14,10x30,DELTA_03000_GAMMA_070,gamma,0.7,101,3000,0.7,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_070
15,10x30,DELTA_03000_GAMMA_080,gamma,0.8,101,3000,0.8,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_080
16,10x30,DELTA_03000_GAMMA_090,gamma,0.9,101,3000,0.9,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_101/DELTA_03000_GAMMA_090
17,10x30,BASELINE_DELTA_03000_GAMMA_050,delta,3000,505,3000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/BASELINE_DELTA_03000_GAMMA_050
