screening_dimension,candidate_level,selection_status,reason
delta,500,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,1000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,2000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,3000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,5000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,7500,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,10000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
delta,15000,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.1,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.2,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.3,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.4,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.5,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.6,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.7,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.8,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
gamma,0.9,INPUT_FOR_USER_SELECTION,candidate pool; no formal level frozen
