screening_dimension,level,n,completion_rate,mean_profit,sample_sd_profit,min_profit,max_profit,mean_emission,mean_investment,mean_net_carbon_cost,mean_open_dc,mean_all_w,mean_max_w,mean_wall_time_sec,mean_actual_bp_calls,mean_cache_hit_rate,mean_cg_iterations,mean_branch_nodes
delta,1000,3,1.0,2547611.3832844165,249510.80719081385,2261853.74916223,2722311.1653007,38726.2848163865,280908.56139725365,-122547.43036722693,7.666666666666667,0.7598240469208213,0.9941348973607037,16.51,511.6666666666667,0.1897119341563786,10514.0,43.333333333333336
delta,10000,3,1.0,2085395.28038952,240285.25498229676,1811725.44050581,2261798.0890219,386501.610999661,46544.07522227663,573003.2219993226,8.333333333333334,0.16731834473769958,0.5656565656565656,25.976666666666667,606.6666666666666,0.1884791751458418,12163.0,112.66666666666667
delta,15000,3,1.0,2064894.7419690099,240152.65118968734,1792020.36999504,2244086.79567061,404036.2642398433,31935.68305725463,608072.5284796867,8.333333333333334,0.07109807754969047,0.25741283805799936,23.10333333333333,611.0,0.18987279499613466,12192.333333333334,72.66666666666667
delta,2000,3,1.0,2316463.49361558,245342.49495194055,2033170.9199056,2459498.33721215,138412.57125981935,306489.02975352865,76825.14251963863,7.666666666666667,0.5153796024763766,0.9257086999022484,14.93,427.0,0.17893972403776326,9351.666666666666,32.333333333333336
delta,3000,3,1.0,2218994.60833222,239003.9758146259,1943512.15225311,2371052.3565378,247654.09272393,197049.35092306434,295308.185447861,8.333333333333334,0.3787227109807755,0.8113391984359727,15.706666666666667,569.0,0.1877999194847021,10924.666666666666,26.333333333333332
delta,500,3,1.0,2718826.221753597,246758.50678480233,2440907.59180517,2912197.73220233,13136.89928535043,182403.42369053533,-173726.20142929934,8.333333333333334,0.9090583251873574,0.9947865754317367,33.846666666666664,975.0,0.20266666666666666,21807.666666666668,157.66666666666666
delta,5000,3,1.0,2139846.9848470464,239734.26506717034,1864723.5825578,2303920.06056728,332729.396587829,105905.7323698486,465458.79317565804,8.333333333333334,0.20430107526881713,0.372759856630824,16.73,539.3333333333334,0.18364197530864199,11069.0,85.0
delta,7500,3,1.0,2102443.4582144134,240176.91861504965,1828186.9717324,2275243.63653506,364635.054456394,79422.77694019847,529270.1089127873,8.333333333333334,0.16692733789507974,0.5089605734767023,23.916666666666664,823.6666666666666,0.18684303350970016,15957.333333333334,121.33333333333333
gamma,0.1,3,1.0,2877036.17133299,261158.5991225384,2590452.78359494,3101606.92339097,10999.72591514612,28940.0308924066,-178000.54816970768,8.333333333333334,0.904887585532747,0.998370804822418,29.933333333333334,1085.3333333333333,0.20875075075075075,22528.333333333332,74.0
gamma,0.2,3,1.0,2830922.27885954,252689.00563836485,2547766.81516066,3033483.37814314,12479.060456241203,70747.55488618364,-175041.87908751768,8.333333333333334,0.9149234278266537,0.9980449657869013,30.136666666666667,1035.6666666666667,0.2035418674488442,22399.333333333332,106.66666666666667
gamma,0.3,3,1.0,2722680.0251371064,256911.708985931,2433631.67532621,2925013.49702643,17946.6065530951,161523.01350405833,-164106.78689381,8.0,0.8732811990876508,0.9954382535027697,22.79,757.3333333333334,0.20248015873015873,15537.0,70.33333333333333
gamma,0.4,3,1.0,2501714.030211523,258489.83305974,2203998.13191335,2669036.1804166,56660.04203094346,287923.8502512377,-86679.9159381131,7.666666666666667,0.6866405995438254,0.992831541218638,16.976666666666667,525.3333333333334,0.18265114379084968,10851.333333333334,38.333333333333336
gamma,0.5,3,1.0,2218994.60833222,239003.9758146259,1943512.15225311,2371052.3565378,247654.09272393,197049.35092306434,295308.185447861,8.333333333333334,0.3787227109807755,0.8113391984359727,15.706666666666667,569.0,0.1877999194847021,10924.666666666666,26.333333333333332
gamma,0.6,3,1.0,2099649.6481044968,236597.050796947,1829579.89396957,2270390.41224872,361851.7463554433,81644.71247269427,523703.49271088635,8.333333333333334,0.17722385141739985,0.461062235255784,20.52,672.3333333333334,0.18751968061178587,12793.333333333334,111.0
gamma,0.7,3,1.0,2053602.9950343699,238731.8004972956,1782609.76352038,2232858.88322458,412101.57239677134,27078.728312586874,624203.144793543,8.333333333333334,0.11515151515151516,0.376018246985989,18.713333333333335,480.0,0.1862020202020202,9437.0,48.0
gamma,0.8,3,1.0,2039145.1571277268,241764.11118762792,1765689.78290667,2224519.57270544,409402.7432599977,4592.72776172036,618805.4865199956,8.333333333333334,0.012316715542522002,0.0671228413163898,15.333333333333334,273.0,0.17272727272727273,5412.333333333333,1.6666666666666667
gamma,0.9,3,1.0,2038489.8055096732,241744.74007672846,1764905.9245094,2223286.06245517,411228.536550504,1591.7344330353126,622457.0731010076,8.333333333333334,0.021733463668947538,0.19811013359400456,13.17,269.3333333333333,0.18383838383838383,4669.333333333333,4.0
