size_id,scenario_id,screening_dimension,screening_level,random_seed,delta,investment_exponent,outer_status,inner_bp_status,has_integer_solution,outcome,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,best_w,w_vector_expected_length,w_vector_normalization_status,algorithm_commit,formal_tag,config_sha256,instance_fingerprint,demand_source,investment_recomputed,investment_abs_diff,user_time_sec,system_time_sec,wall_time_sec,max_rss_kb
10x30,BASELINE_DELTA_03000_GAMMA_050,delta,3000,101,3000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2371052.3565378,216235.824199795,160541.959378031,116235.824199795,0,232471.648399591,7,15,450,362,88,0.19555555555555557,9920,5,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,65c944e9fcc4ef3ce75c06b9920915d614f2e60e4fbed56c8c716a5b95dab1b4,65c944e9fcc4ef3ce75c06b9920915d614f2e60e4fbed56c8c716a5b95dab1b4,report.txt D_j open DCs; closed DCs D=0,160541.959378031,4.94765117764473e-10,109.9,1.3,16.97,15364
10x30,DELTA_00500_GAMMA_050,delta,500,101,500,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2803373.34125329,10601.7739551687,165860.743896564,0,89398.2260448313,-178796.452089663,7,32,960,752,208,0.21666666666666667,24183,309,0.873900293255132;0.270772238514174;0.95405669599218;0.995112414467253;0.842619745845552;0.993157380254154;0.965786901270772;0.995112414467253;0.882697947214076;0.997067448680352,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,f73439e3b7af39aa8dc5c1db5438932881f9ea8d224bf6ecc1a7ed7a214d9196,f73439e3b7af39aa8dc5c1db5438932881f9ea8d224bf6ecc1a7ed7a214d9196,report.txt D_j open DCs; closed DCs D=0,165860.743896564,3.20142135024071e-10,235.08,2.71,39.23,16280
10x30,DELTA_01000_GAMMA_050,delta,1000,101,1000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2658669.23539032,23387.8614426148,240638.388267564,0,76612.1385573852,-153224.27711477,5,15,450,355,95,0.2111111111111111,9213,5,0.435972629521017;0.266862170087977;0.955034213098729;0.860215053763441;0.789833822091887;0.694037145650049;0.951124144672532;1;0.882697947214076;0.898338220918866,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,976f88f98e337d9b55fabbfa05691e9bbac3e67def10582e736e937b73b42e55,976f88f98e337d9b55fabbfa05691e9bbac3e67def10582e736e937b73b42e55,report.txt D_j open DCs; closed DCs D=0,240638.388267564,2.3283064365387e-10,103.42,1.23,15.39,16084
10x30,DELTA_02000_GAMMA_050,delta,2000,101,2000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2459498.33721215,108174.245578017,270157.691477728,8174.24557801659,0,16348.4911560332,5,17,510,404,106,0.20784313725490197,11693,1,0.58455522971652;0.175953079178886;0.785923753665689;0.530791788856305;0.373411534701857;0.332355816226784;0.229716520039101;0.81524926686217;0.285434995112414;0.422287390029326,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,83b7b5678e4f6922aa48fdd9084f556679ff00593684d017c0b04baf7061fa1c,83b7b5678e4f6922aa48fdd9084f556679ff00593684d017c0b04baf7061fa1c,report.txt D_j open DCs; closed DCs D=0,270157.691477728,3.49245965480804e-10,142.37,1.52,21.24,16084
10x30,DELTA_03000_GAMMA_010,gamma,0.1,101,3000,0.1,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2939048.80701306,14006.5999444249,23374.2723024844,0,85993.4000555751,-171986.80011115,7,37,1110,867,243,0.21891891891891893,21460,16,0.497556207233627;0.52297165200391;0.95405669599218;0.96969696969697;0.865102639296188;0.987292277614858;0.821114369501466;0.997067448680352;0.905180840664712;0.990224828934506,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,13f21ffda1ea7fd2376c5c022dab6f7e5412cf58fbd8749b8c551a67ce7fb78f,13f21ffda1ea7fd2376c5c022dab6f7e5412cf58fbd8749b8c551a67ce7fb78f,report.txt D_j open DCs; closed DCs D=0,23374.2723024844,1.81898940354586e-11,179.12,2.65,26.47,16260
10x30,DELTA_03000_GAMMA_020,gamma,0.2,101,3000,0.2,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2911516.64327482,8664.48055777271,61592.3382747863,0,91335.5194422273,-182671.038884455,7,43,1290,1001,289,0.224031007751938,25994,91,0.295210166177908;0.767350928641251;0.988269794721408;0.98533724340176;0.842619745845552;0.992179863147605;0.981427174975562;0.995112414467253;0.902248289345064;0.990224828934506,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,06c6780e404082c6b46b59a19b4dbc27e78c922bf877e0e57c72bed634247527,06c6780e404082c6b46b59a19b4dbc27e78c922bf877e0e57c72bed634247527,report.txt D_j open DCs; closed DCs D=0,61592.3382747862,5.0931703299284e-11,220.88,3.19,33.51,15988
10x30,DELTA_03000_GAMMA_030,gamma,0.3,101,3000,0.3,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2809394.90305868,18246.8635695916,129445.33738978,0,81753.1364304084,-163506.272860817,6,21,630,497,133,0.2111111111111111,12530,11,0.764418377321603;0.579667644183773;0.98533724340176;0.946236559139785;0.812316715542522;0.836754643206256;0.763440860215054;0.996089931573803;0.882697947214076;0.959921798631476,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82f9d7eb4df44e90170be6f7232aba933c2f7ee70041a9a1d6db95060f13bb3a,82f9d7eb4df44e90170be6f7232aba933c2f7ee70041a9a1d6db95060f13bb3a,report.txt D_j open DCs; closed DCs D=0,129445.33738978,3.34694050252438e-10,122.25,1.74,18.11,15584
10x30,DELTA_03000_GAMMA_040,gamma,0.4,101,3000,0.4,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2632107.77830462,42632.0356149081,228671.695369314,0,57367.9643850919,-114735.928770184,5,15,450,354,96,0.21333333333333335,10597,2,0.592375366568915;0.427174975562072;0.990224828934506;0.686217008797654;0.542521994134897;0.310850439882698;0.843597262952102;0.995112414467253;0.629521016617791;0.398826979472141,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,8150a1bef63aec8f3f71aeb4fc9b2968b74d28cce09d8e1963e38c24d843362e,8150a1bef63aec8f3f71aeb4fc9b2968b74d28cce09d8e1963e38c24d843362e,report.txt D_j open DCs; closed DCs D=0,228671.695369314,3.78349795937538e-10,116.04,1.15,17.32,16012
10x30,DELTA_03000_GAMMA_060,gamma,0.6,101,3000,0.6,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2270390.41224872,323954.464075531,42947.8738449352,223954.464075531,0,447908.928151062,7,13,390,321,69,0.17692307692307693,10258,48,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,0287743ae3ddf05f3a33cb4be52aabfb263f61e076772c6a718c19983acac9cb,0287743ae3ddf05f3a33cb4be52aabfb263f61e076772c6a718c19983acac9cb,report.txt D_j open DCs; closed DCs D=0,42947.873844935,2.03726813197136e-10,135.89,1.04,27.35,16788
10x30,DELTA_03000_GAMMA_070,gamma,0.7,101,3000,0.7,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2232858.88322458,359190.079646201,9926.80163264562,259190.079646201,0,518380.159292402,7,12,360,294,66,0.18333333333333332,9333,0,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,a516a74f89cf00221e680b93653affa143ceeb4e7eac9259fb3205f276313fb3,a516a74f89cf00221e680b93653affa143ceeb4e7eac9259fb3205f276313fb3,report.txt D_j open DCs; closed DCs D=0,9926.80163264562,3.63797880709171e-12,138.62,1.1,22.29,15776
