Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1904911.892718,1821325.715753,1732506.267581,17.342422
1,1911546.319197,1843890.394043,1779865.003884,17.342422
2,1915052.611201,1858117.757920,1757341.317777,17.342422
3,1915052.611201,1872900.963511,1799847.423599,17.342422
4,1925819.553901,1890744.799795,1834027.647586,17.342422
5,1927908.994700,1899474.022480,1861120.790992,17.342422
6,1927908.994700,1907638.708226,1839895.613884,17.342422
7,1927908.994700,1910363.012794,1866273.195750,17.342422
8,1928136.797362,1913362.076659,1877996.261686,17.342422
9,1928557.092309,1913950.437728,1871031.075968,17.342423
10,1933152.282337,1914850.688396,1874001.137653,17.342423
11,1933152.282337,1918337.412333,1895600.534362,17.342423
12,1934707.637839,1921392.802018,1884076.042133,17.342423
13,1934707.637839,1918275.538071,1881732.586492,17.342423
14,1934846.976883,1921938.810487,1894592.092155,17.342423
15,1934846.976883,1920442.603643,1886924.728548,17.342423
16,1934846.976883,1926815.870453,1903873.224037,17.342423
17,1937097.442878,1927933.995680,1907574.291274,17.342432
18,1939677.720266,1929709.532600,1911502.067465,17.342432
19,1939881.346034,1929588.778922,1879927.633840,17.342432
20,1939881.346034,1928289.403560,1892593.185111,17.342432
21,1942930.644464,1930464.129784,1911254.955536,17.342432
22,1942930.644464,1930283.454973,1905958.892764,17.342432
23,1942930.644464,1933841.596110,1918877.180931,17.342432
24,1942930.644464,1935061.094737,1916905.276077,17.342432
25,1942930.644464,1937171.767166,1923996.451608,17.342432
26,1943414.826698,1936545.654433,1912028.458524,17.342432
27,1943414.826698,1932908.550727,1888280.600920,17.342432
28,1943414.826698,1937468.786344,1917895.960535,17.342432
29,1943416.063779,1937288.797320,1912310.914157,17.342432
30,1943512.152253,1934952.578783,1891838.998619,17.342432
31,1943512.152253,1933281.042337,1900595.154096,17.342432
