Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1764139.876278,1414601.461918,1055021.587569,15.759167
1,1764139.876278,1463772.890500,1145378.706828,15.759167
2,1764139.876278,1518048.606934,1316935.115560,15.759167
3,1764661.559824,1567562.715239,1412528.400072,15.759167
4,1769370.314978,1627631.558034,1504224.932869,15.759167
5,1790192.557042,1691561.526586,1583723.754999,15.759167
6,1792064.161576,1717568.489915,1554309.311933,15.759168
7,1793109.437042,1738261.693150,1668915.898232,15.759168
8,1795629.284246,1758108.405569,1653555.691452,15.759168
9,1795629.284246,1757970.149075,1688385.074143,15.759168
10,1796786.852701,1769553.827175,1725780.084098,15.759168
11,1796786.852701,1773300.895123,1731880.161151,15.759168
12,1796786.852701,1773273.030974,1645342.836988,15.759168
13,1802954.677544,1773140.096025,1716131.257025,15.759168
14,1802954.677544,1771467.574006,1708539.135331,15.759168
15,1806185.334286,1771474.777592,1693161.700591,15.759168
16,1808025.119242,1782758.854496,1733891.100094,15.759168
17,1809707.764782,1790058.187157,1745170.238225,15.759176
18,1810103.778818,1791833.142747,1746701.739296,15.759176
19,1810901.548071,1789493.218115,1623834.907422,15.759176
20,1810901.548071,1793633.231828,1746323.048600,15.759176
21,1810901.548071,1798300.758556,1762885.119921,15.759176
22,1810916.520272,1796634.405681,1748238.343436,15.759176
23,1810916.520272,1799103.644046,1735532.144219,15.759176
24,1810922.691546,1801418.414904,1769256.414683,15.759176
25,1811725.440506,1800104.381186,1758786.634069,15.759176
26,1811725.440506,1795869.617188,1735013.366031,15.759176
