random_seed,carbon_price,carbon_cap,source_formal_task_id,result_origin,solver_run_performed,source_carbon_price,source_carbon_cap,source_total_profit,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,w_vector_candidate_dc,num_dc_open,notes
101,2,0,seed_101_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2371052.3565378,2171052.3565378,216235.824199795,160541.959378031,216235.824199795,0,432471.64839959,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
101,2,40000,seed_101_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2371052.3565378,2251052.3565378,216235.824199795,160541.959378031,176235.824199795,0,352471.64839959,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
101,2,100000,seed_101_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2371052.3565378,2371052.3565378,216235.824199795,160541.959378031,116235.824199795,0,232471.64839959,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
101,2,200000,seed_101_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2371052.3565378,2571052.3565378,216235.824199795,160541.959378031,16235.824199794995,0,32471.64839958999,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
101,2,350000,seed_101_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2371052.3565378,2871052.3565378,216235.824199795,160541.959378031,0,133764.175800205,-267528.35160041,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
202,2,0,seed_202_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2327946.4924759,2127946.4924759,254617.873913696,111669.137440366,254617.873913696,0,509235.747827392,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
202,2,40000,seed_202_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2327946.4924759,2207946.4924759,254617.873913696,111669.137440366,214617.873913696,0,429235.747827392,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
202,2,100000,seed_202_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2327946.4924759,2327946.4924759,254617.873913696,111669.137440366,154617.873913696,0,309235.747827392,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
202,2,200000,seed_202_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2327946.4924759,2527946.4924759,254617.873913696,111669.137440366,54617.87391369601,0,109235.74782739201,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
202,2,350000,seed_202_PRICE_02_CAP_100000,ANALYTICALLY_DERIVED,false,2,100000,2327946.4924759,2827946.4924759,254617.873913696,111669.137440366,0,95382.126086304,-190764.252172608,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,7,Derived from formal carbon-price=2 solver result; not an independent GA-BP run.
