random_seed,carbon_price,carbon_cap,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,net_carbon_trading_cost,e_plus,e_minus,num_dc_open,open_dc_set,num_retailers_served,retailer_service_set,w_vector_candidate_dc,w_vector_length,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,algorithm_commit,formal_tag,base_instance_fingerprint,run_config_fingerprint
101,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2371052.3565378,216235.824199795,160541.959378031,232471.648399591,116235.824199795,0,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.42600195503421306,0.42600195503421306,NA_NOT_AVAILABLE,0.860215053763441,0.167155425219941,15,450,362,88,0.19555555555555557,9920,5,18.119290667,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,703f788392f95e158c0ec7895ad67a622d3f0b980597b8d113309b112051a686
202,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2327946.4924759,254617.873913696,111669.137440366,309235.747827392,154617.873913696,0,7,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,10,10,0.3717497556207234,0.3717497556207234,NA_NOT_AVAILABLE,0.794721407624633,0.171065493646139,17,510,409,101,0.1980392156862745,9070,0,14.567097692,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,3dcad348f1e1581e77ca1631cb2e642a8cae80702c37a4a83c1c8d47edeb9406
303,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2234567.0441681,242932.118183644,245429.754102366,285864.236367288,142932.118183644,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.341153470185728;0.560117302052786;0.274682306940371;0.438905180840665;0.545454545454545;0.349951124144673;0.21505376344086;0.915933528836755;0.173020527859238;0.619745845552297,10,10,0.44340175953079175,0.44340175953079175,NA_NOT_AVAILABLE,0.915933528836755,0.173020527859238,19,570,489,81,0.14210526315789473,6858,11,11.603514802,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,abe81ef71c4313e2656ffbd8ae3b00d49758c075ef199d395090bd1eed3f199c
404,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,1775776.82330118,239106.32016107,302681.758766957,278212.64032214,139106.32016107,0,6,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.499511241446725;0.411534701857283;0.467253176930596;0.67644183773216;0.256109481915934;0.345063538611926;0.916911045943304;0.76930596285435;0.178885630498534;0.565004887585533,10,10,0.5086021505376345,0.5086021505376345,NA_NOT_AVAILABLE,0.916911045943304,0.178885630498534,16,480,387,93,0.19375,8109,112,14.259059396,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,beb9b8eec8cdd7a98c7ed5f11ae64d91188bcddbd7554d69118479be2592eeb0,22aa5dd0b9a4345fc26b3f50f1563bf5dd5fbc19bead688df75967705e358923
505,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,1943512.15225311,246715.987314229,191098.538818986,293431.974628459,146715.987314229,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.3746823069403714,0.3746823069403714,NA_NOT_AVAILABLE,0.841642228739003,0.072336265884653,32,960,778,182,0.18958333333333333,14154,43,17.9434859,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,612e74898a13b4c418d420a93ebfa51384b6ab608557b3bf4cb62c4307de25c2
606,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2276604.85944484,212417.690595389,217607.775418985,224835.381190779,112417.690595389,0,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.669599217986315;0.30791788856305;0.163245356793744;0.433040078201369;0.124144672531769;0.449657869012708;0.316715542521994;0.205278592375367;0.974584555229717;0.410557184750733,10,10,0.40547409579667654,0.40547409579667654,NA_NOT_AVAILABLE,0.974584555229717,0.124144672531769,29,870,680,190,0.21839080459770116,29310,241,48.008517292,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,05d06aa885718934c6231a9e0d368fdd1cb530c184651ae47868434c9b4048a2,4157c9c81ce3e60b117227be9ded2ab09096847408ac9b6f2d7bd7f5e55db5ac
707,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2562933.77111338,235114.410038126,215004.77255149,270228.820076251,135114.410038126,0,8,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.500488758553275;0.183773216031281;0.497556207233627;0.312805474095797;0.567937438905181;0.221896383186706;0.300097751710655;0.813294232649071;0.447702834799609;0.441837732160313,10,10,0.42873900293255157,0.42873900293255157,NA_NOT_AVAILABLE,0.813294232649071,0.183773216031281,24,720,613,107,0.1486111111111111,12986,8,20.891912873,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,46f8b2f8541a57c176b0f78efd5eb97a7124d03ca59aa99f8ee865b2a2d349fb,5d5dd62d5d32410fe65b0bf33c27da048c828942c02e08508a345512e572c4b0
808,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2732061.90909456,175760.547125795,172247.597102776,151521.09425159,75760.5471257948,0,5,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.43108504398827;0.231671554252199;0.151515151515152;0.144672531769306;0.540566959921799;0.545454545454545;0.801564027370479;0.951124144672532;0.287390029325513;0.193548387096774,10,10,0.42785923753665694,0.42785923753665694,NA_NOT_AVAILABLE,0.951124144672532,0.144672531769306,16,480,409,71,0.14791666666666667,20694,45,42.179443327,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,9fcbbe87b1a2dde42d83b56184b3d7db484c0bda8dca6dd595eae592af060ffd,b80b0e430a05341b957e4e7fa2f4276ebfb01fbd9c7e7b11b2c86ca16b0652d3
909,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2342419.31620575,280010.466657766,239507.554572176,360020.933315533,180010.466657766,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.732160312805474;0.359726295210166;0.00782013685239492;0.358748778103617;0.324535679374389;0.349951124144673;0.313782991202346;0.220918866080156;0.263929618768328;0.423264907135875,10,10,0.33548387096774196,0.33548387096774196,NA_NOT_AVAILABLE,0.732160312805474,0.00782013685239492,23,690,567,123,0.1782608695652174,8700,31,13.05771607,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,44146361311bed9d5f0fff52de988f0018bb6734fff25d702d4c9a1972ee028b,178ba0962e7a89949499d2be3532d7a076df394db3e1ecf44575af737ed02f09
1010,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2503040.51347255,280477.380094308,111667.9176653,360954.760188615,180477.380094308,0,8,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.165200391006843;0.378299120234604;0.391006842619746;0.213098729227761;0.358748778103617;0.751710654936461;0.231671554252199;0.283479960899316;0.350928641251222;0.327468230694037,10,10,0.3451612903225806,0.3451612903225806,NA_NOT_AVAILABLE,0.751710654936461,0.165200391006843,25,750,639,111,0.148,12444,63,26.095770845,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,395d29410b460f276154b999ead93075222606c1869b6f8866e042c105bea456,88d55cab79d0e3521950c14669b63f3dcf51bf609136a3150c531a998c5ddd87
