random_seed,carbon_price,carbon_cap,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,net_carbon_trading_cost,e_plus,e_minus,num_dc_open,open_dc_set,num_retailers_served,retailer_service_set,w_vector_candidate_dc,w_vector_length,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,algorithm_commit,formal_tag,base_instance_fingerprint,run_config_fingerprint
202,0,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2780762.6480185,412489.184907846,0,0,312489.184907846,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0;0;0;0.0312805474095797;0;0;0;0;0;0,10,1,0.0312805474095797,0.0031280547409579702,NA_NOT_AVAILABLE,0.0312805474095797,0.0312805474095797,11,330,264,66,0.2,6107,7,13.006527661,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,5024d7c0b60691657bedde69d73c7f3bd358d0118752c77ef14e487ac48864a9
202,6,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2430856.36292409,7470.02037910237,776258.0504893,-555179.877725386,0,92529.9796208976,4,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.795698924731183;0.998044965786901;0.8455522971652;0.247311827956989;0.0957966764418377;0.253176930596285;0.990224828934506;0.232649071358749;0.259042033235582;1,10,10,0.5717497556207233,0.5717497556207233,NA_NOT_AVAILABLE,1.0,0.0957966764418377,36,1080,866,214,0.19814814814814816,40604,8,106.650765969,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,c241993fe4e7d4a36972cf67c1fb80ad295d4b2b703b6e125f0b81ba9cd78f41
202,20,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,3785918.58564136,0,721859.556081035,-2000000,0,100000,3,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.145650048875855;0.185728250244379;1;0.988269794721408;0.441837732160313;0.202346041055718;1;0.148582600195503;0.606060606060606;1,10,10,0.5718475073313781,0.5718475073313781,NA_NOT_AVAILABLE,1.0,0.145650048875855,50,1500,1194,306,0.204,85281,26,231.109333309,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,e0921eecda77f0fca8c19afcd8f2aad13a68c14e70581d510f595ce30a0f5b26
101,0,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2790440.18483477,401559.498212007,0,0,301559.498212007,0,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0;0;0;0;0;0;0;0;0;0,10,0,0,0.0,NA_NOT_AVAILABLE,0.0,0,11,330,267,63,0.19090909090909092,8527,154,18.744946984,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,2a9ee9d49485d072d7b337de43c9e39dac933d2388d4c514a8b3a2db4959c26b
101,1,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2526701.83302076,319980.793730004,32899.8144905445,219980.793730004,219980.793730004,0,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.165200391006843;0.926686217008798;0.0625610948191593;0.164222873900293;0.115347018572825;0.0664711632453568;0.0684261974584555;0.274682306940371;0.156402737047898;0.581622678396872,10,10,0.25816226783968715,0.25816226783968715,NA_NOT_AVAILABLE,0.926686217008798,0.0625610948191593,12,360,295,65,0.18055555555555555,7653,19,13.096505119,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,a0b219b39ab3bda1430099089121a248588da8ef512cf44d70e2c3e79876fbc8
101,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2371052.3565378,216235.824199795,160541.959378031,232471.648399591,116235.824199795,0,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.42600195503421306,0.42600195503421306,NA_NOT_AVAILABLE,0.860215053763441,0.167155425219941,15,450,362,88,0.19555555555555557,9920,5,18.119290667,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,703f788392f95e158c0ec7895ad67a622d3f0b980597b8d113309b112051a686
101,4,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2367102.42174218,27111.9732851685,576098.149379601,-291552.106859326,0,72888.0267148315,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.428152492668622;0.180840664711632;0.971652003910068;0.505376344086022;0.234604105571848;0.690127077223851;0.356793743890518;0.995112414467253;0.210166177908113;0.958944281524927,10,10,0.5531769305962854,0.5531769305962854,NA_NOT_AVAILABLE,0.995112414467253,0.180840664711632,20,600,470,130,0.21666666666666667,18538,29,54.976471003,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,1f8d65ece1959177432695666cdf0605ba946d738796b4d12b0e62d1a96e27b8
101,6,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2550504.88509627,7755.13224676723,582733.71795174,-553469.206519397,0,92244.8677532328,3,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.291300097751711;0.266862170087977;0.993157380254154;0.363636363636364;0.263929618768328;0.374389051808407;0.826001955034213;1;0.505376344086022;0.0234604105571848,10,10,0.49081133919843606,0.49081133919843606,NA_NOT_AVAILABLE,1.0,0.0234604105571848,32,960,773,187,0.19479166666666667,46150,3,121.806493059,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,fac895e89b47c99693c4ac536cdfdefa0364153b799cf7127f2d749610df1079
101,10,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2940754.06618345,658.761564679723,581304.725939727,-993412.384353203,0,99341.2384353203,2,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.592375366568915;0.266862170087977;0.994134897360704;0.357771260997067;0.544477028347996;0.494623655913978;0.520039100684262;1;0.755620723362659;0.273704789833822,10,10,0.5799608993157379,0.5799608993157379,NA_NOT_AVAILABLE,1.0,0.266862170087977,31,930,739,191,0.2053763440860215,57512,36,160.200430261,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,4acc7008555cefec3def9fa433b6e8c3e05b38458bc7bd3ad6d4a1f7f70449eb
101,20,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,3927901.4878766,1028.89062525859,580166.421479118,-1979422.18749483,0,98971.1093747414,2,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.715542521994135;0.550342130987292;0.993157380254154;0.963831867057674;0.35386119257087;0.580645161290323;0.0909090909090909;0.999022482893451;0.639296187683284;0,10,9,0.6540675572933637,0.5886608015640273,NA_NOT_AVAILABLE,0.999022482893451,0.0909090909090909,36,1080,843,237,0.21944444444444444,75173,116,228.03587947,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,f3056e2f8b858682e12c9131bf048c17a408af5184d196f77b510a92a3aa2eb0
