random_seed,carbon_price,baseline_price,profit_difference,emission_difference,investment_difference,net_carbon_cost_difference,num_dc_open_difference,retailer_service_set_difference
101,0,2,419387.8282969701,185323.674012212,-160541.959378031,-232471.648399591,0,NA_NOT_AVAILABLE
101,1,2,155649.4764829604,103744.969530209,-127642.1448874865,-12490.854669587017,0,NA_NOT_AVAILABLE
101,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
101,4,2,-3949.93479561992,-189123.8509146265,415556.19000157004,-524023.755258917,-3,NA_NOT_AVAILABLE
101,6,2,179452.5285584703,-208480.69195302777,422191.75857370906,-785940.854918988,-4,NA_NOT_AVAILABLE
101,10,2,569701.7096456503,-215577.06263511526,420762.7665616961,-1225884.032752794,-5,NA_NOT_AVAILABLE
101,20,2,1556849.1313388003,-215206.9335745364,419624.4621010871,-2211893.835894421,-5,NA_NOT_AVAILABLE
202,0,2,452816.15554259997,157871.31099414997,-111669.137440366,-309235.747827392,2,NA_NOT_AVAILABLE
202,1,2,177403.40566028003,76980.523964469,-69521.5349299277,-77637.349949227,2,NA_NOT_AVAILABLE
202,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
202,4,2,-66372.36884348979,-210527.98607558772,502254.632251007,-532876.196474959,-3,NA_NOT_AVAILABLE
202,6,2,102909.87044819025,-247147.85353459363,664588.9130489341,-864415.6255527779,-3,NA_NOT_AVAILABLE
202,10,2,492050.57244307036,-252269.73007962218,696806.01154271,-1285754.3094866541,-3,NA_NOT_AVAILABLE
202,20,2,1457972.09316546,-254617.873913696,610190.4186406691,-2309235.747827392,-4,NA_NOT_AVAILABLE
303,0,2,550635.1396059599,219530.35890658599,-245429.754102366,-285864.236367288,0,NA_NOT_AVAILABLE
303,1,2,224103.18115010997,139237.187229963,-205171.8234215726,-3694.9309536810033,0,NA_NOT_AVAILABLE
303,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
303,4,2,-144042.4512090301,-169006.6058623189,437976.967690761,-390162.18708198797,-2,NA_NOT_AVAILABLE
303,6,2,3092.8404762195423,-240414.6448834548,573037.28949149,-870759.396566153,-5,NA_NOT_AVAILABLE
303,10,2,407150.3388001099,-242531.11488412315,580074.929837862,-1281854.2033720799,-5,NA_NOT_AVAILABLE
303,20,2,1407747.7824984598,-242826.9664767454,581384.5214151631,-2283761.2022293177,-5,NA_NOT_AVAILABLE
404,0,2,673128.51613805,366830.18282409606,-302681.758766957,-278212.64032214,3,NA_NOT_AVAILABLE
404,1,2,248619.96531251003,194480.089756257,-227071.32158914156,55373.76959518698,3,NA_NOT_AVAILABLE
404,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
404,4,2,13572.887123370077,-204485.4406300062,526247.809690984,-539729.1221978851,0,NA_NOT_AVAILABLE
404,6,2,185269.94927403005,-234795.50007346936,541484.5326743231,-852347.719796536,-2,NA_NOT_AVAILABLE
404,10,2,585227.4584141399,-237612.95067616735,552423.7223461451,-1263278.945473113,-2,NA_NOT_AVAILABLE
404,20,2,1500029.8762093901,-238901.92377016513,446221.573075069,-2274124.71250404,-3,NA_NOT_AVAILABLE
505,0,2,502120.35413786024,224039.91435070403,-191098.538818986,-293431.974628459,0,NA_NOT_AVAILABLE
505,1,2,191204.51634779014,82291.47537300803,-121260.2784058192,-64424.51194122201,0,NA_NOT_AVAILABLE
505,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
505,4,2,-111853.23649608996,-173068.8630092918,487168.82589317195,-398843.47740871005,0,NA_NOT_AVAILABLE
505,6,2,34994.31904074014,-239288.8282527697,505076.86372006394,-848869.020259703,-5,NA_NOT_AVAILABLE
505,10,2,431302.67432750016,-246467.60123682427,482701.6457046099,-1290948.113854412,-6,NA_NOT_AVAILABLE
505,20,2,1426793.76627242,-246354.23458080422,482459.311682282,-2286196.919959959,-6,NA_NOT_AVAILABLE
606,0,2,479354.80103916023,274131.148674409,-217607.775418985,-224835.381190779,2,NA_NOT_AVAILABLE
606,1,2,167207.42831759015,110829.89529958303,-157068.7335465501,-1587.795295807009,0,NA_NOT_AVAILABLE
606,2,2,0.0,0.0,0.0,0.0,0,NA_NOT_AVAILABLE
606,4,2,5264.465738900006,-206730.0095712687,336889.04819307505,-602084.657094298,-5,NA_NOT_AVAILABLE
