order_id,random_seed,carbon_price,scenario_id,status,validation_status,completion_marker,output_directory,notes
1,202,0,PRICE_00_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_202/PRICE_00_CAP_100000,
2,202,6,PRICE_06_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_202/PRICE_06_CAP_100000,
3,202,20,PRICE_20_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_202/PRICE_20_CAP_100000,
4,101,0,PRICE_00_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_00_CAP_100000,
5,101,1,PRICE_01_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_01_CAP_100000,
6,101,2,PRICE_02_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_02_CAP_100000,
7,101,4,PRICE_04_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_04_CAP_100000,
8,101,6,PRICE_06_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_06_CAP_100000,
9,101,10,PRICE_10_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_10_CAP_100000,
10,101,20,PRICE_20_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/formal_70runs_resumable_20260803_152114/runs/seed_101/PRICE_20_CAP_100000,
