random_seed,carbon_cap,baseline_cap,total_profit,baseline_profit,observed_profit_change,expected_profit_change,profit_identity_difference,profit_identity_match,carbon_emission,baseline_carbon_emission,carbon_emission_difference,carbon_emission_match,total_investment_cost,baseline_total_investment_cost,investment_cost_difference,investment_cost_match,best_w,baseline_best_w,best_w_length,baseline_best_w_length,best_w_max_absolute_difference,best_w_match,open_dc_set,baseline_open_dc_set,open_dc_set_match,num_dc_open,baseline_num_dc_open,num_dc_open_match,retailer_service_set,baseline_retailer_service_set,retailer_service_set_match,pricing_decisions_match,assignment_signature_match,e_plus,e_minus,net_carbon_trading_cost,identity_validation_status,decision_invariance_status,notes
101,0,100000,2171052.3565378,2371052.3565378,-200000.0,-200000.0,0.0,TRUE,216235.824199795,216235.824199795,0.0,TRUE,160541.959378031,160541.959378031,0.0,TRUE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,7,7,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,216235.824199795,0,432471.648399591,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
101,40000,100000,2251052.3565378,2371052.3565378,-120000.0,-120000.0,0.0,TRUE,216235.824199795,216235.824199795,0.0,TRUE,160541.959378031,160541.959378031,0.0,TRUE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,7,7,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,176235.824199795,0,352471.648399591,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
101,100000,100000,2371052.3565378,2371052.3565378,0.0,0.0,0.0,TRUE,216235.824199795,216235.824199795,0.0,TRUE,160541.959378031,160541.959378031,0.0,TRUE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,7,7,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,116235.824199795,0,232471.648399591,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
101,200000,100000,2571052.3565378,2371052.3565378,200000.0,200000.0,0.0,TRUE,216235.824199795,216235.824199795,0.0,TRUE,160541.959378031,160541.959378031,0.0,TRUE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,7,7,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,16235.8241997955,0,32471.648399591,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
101,350000,100000,2871052.3565378,2371052.3565378,500000.0,500000.0,0.0,TRUE,216235.824199795,216235.824199795,0.0,TRUE,160541.959378031,160541.959378031,0.0,TRUE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,7,7,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,0,133764.175800205,-267528.351600409,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
505,0,100000,1743512.15225311,1943512.15225311,-200000.0,-200000.0,0.0,TRUE,246715.987314229,246715.987314229,0.0,TRUE,191098.538818986,191098.538818986,0.0,TRUE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,9,9,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,246715.987314229,0,493431.974628459,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
505,40000,100000,1823512.15225311,1943512.15225311,-120000.0,-120000.0,0.0,TRUE,246715.987314229,246715.987314229,0.0,TRUE,191098.538818986,191098.538818986,0.0,TRUE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,9,9,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,206715.987314229,0,413431.974628459,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
505,100000,100000,1943512.15225311,1943512.15225311,0.0,0.0,0.0,TRUE,246715.987314229,246715.987314229,0.0,TRUE,191098.538818986,191098.538818986,0.0,TRUE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,9,9,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,146715.987314229,0,293431.974628459,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
505,200000,100000,2143512.15225311,1943512.15225311,200000.0,200000.0,0.0,TRUE,246715.987314229,246715.987314229,0.0,TRUE,191098.538818986,191098.538818986,0.0,TRUE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,9,9,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,46715.9873142295,0,93431.9746284589,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
505,350000,100000,2443512.15225311,1943512.15225311,500000.0,500000.0,0.0,TRUE,246715.987314229,246715.987314229,0.0,TRUE,191098.538818986,191098.538818986,0.0,TRUE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,10,0.0,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,9,9,TRUE,30,30,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,0,103284.012685771,-206568.025371541,TRUE,PARTIAL_NA_AVAILABLE_FIELDS_MATCH,"Open DC, pricing and assignment structures unavailable as authoritative fields; not inferred from w."
