random_seed,carbon_cap,baseline_cap,total_profit,baseline_profit,observed_profit_change,expected_profit_change,profit_identity_difference,carbon_emission_match,investment_cost_match,best_w_match,open_dc_set_match,num_dc_open_match,retailer_service_set_match,pricing_decisions_match,assignment_signature_match,e_plus,e_minus,net_carbon_trading_cost,identity_validation_status,notes
101,0,100000,2171052.3565378,2371052.3565378,-200000.0,-200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,216235.824199795,0,432471.648399591,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
101,40000,100000,2251052.3565378,2371052.3565378,-120000.0,-120000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,176235.824199795,0,352471.648399591,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
101,100000,100000,2371052.3565378,2371052.3565378,0.0,0.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,116235.824199795,0,232471.648399591,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
101,200000,100000,2571052.3565378,2371052.3565378,200000.0,200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,16235.8241997955,0,32471.648399591,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
101,350000,100000,2871052.3565378,2371052.3565378,500000.0,500000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,0,133764.175800205,-267528.351600409,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
505,0,100000,1743512.15225311,1943512.15225311,-200000.0,-200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,246715.987314229,0,493431.974628459,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
505,40000,100000,1823512.15225311,1943512.15225311,-120000.0,-120000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,206715.987314229,0,413431.974628459,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
505,100000,100000,1943512.15225311,1943512.15225311,0.0,0.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,146715.987314229,0,293431.974628459,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
505,200000,100000,2143512.15225311,1943512.15225311,200000.0,200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,46715.9873142295,0,93431.9746284589,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
505,350000,100000,2443512.15225311,1943512.15225311,500000.0,500000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,0,103284.012685771,-206568.025371541,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
909,0,100000,2142419.31620575,2342419.31620575,-200000.0,-200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,280010.466657766,0,560020.933315533,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
909,40000,100000,2222419.31620575,2342419.31620575,-120000.0,-120000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,240010.466657766,0,480020.933315533,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
909,100000,100000,2342419.31620575,2342419.31620575,0.0,0.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,180010.466657766,0,360020.933315533,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
909,200000,100000,2542419.31620575,2342419.31620575,200000.0,200000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,80010.4666577665,0,160020.933315533,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
909,350000,100000,2842419.31620575,2342419.31620575,500000.0,500000.0,0.0,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,TRUE,TRUE,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,0,69989.5333422335,-139979.066684467,RECORDED_TRUE_IDENTITY,Decision fields unavailable in normalized source; not coerced to FALSE.
