random_seed,scenario_id,carbon_price,carbon_cap,size_id,outer_solution_status,final_inner_bp_status,integer_solution,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,open_dc_count,retailer_service_set,w_vector,max_w,actual_bp_calls,fitness_requests,cache_hit_rate,base_instance_fingerprint,run_config_fingerprint,config_sha256
101,PRICE_0200_CAP_000000,2.0,0,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2171052.3565378,216235.824199795,160541.959378031,216235.824199795,0,432471.648399591,7,30,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.860215053763441,362,450,0.19555555555555557,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,24a848d1c4578e9d6a297438e0b82f8d23e33c6dd5771e5c14a5aadc96985e6f,24a848d1c4578e9d6a297438e0b82f8d23e33c6dd5771e5c14a5aadc96985e6f
101,PRICE_0200_CAP_040000,2.0,40000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2251052.3565378,216235.824199795,160541.959378031,176235.824199795,0,352471.648399591,7,30,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.860215053763441,362,450,0.19555555555555557,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,4101ed15a3fefbea13d17fc42a19a45ef124665adc73ae2d96dcb1415cde92e3,4101ed15a3fefbea13d17fc42a19a45ef124665adc73ae2d96dcb1415cde92e3
101,PRICE_0200_CAP_100000,2.0,100000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2371052.3565378,216235.824199795,160541.959378031,116235.824199795,0,232471.648399591,7,30,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.860215053763441,362,450,0.19555555555555557,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,2f217f1b0d57c81a0047bdf4b7931a03af6439ce3c9f3b0d07f65a7eab7967ac,2f217f1b0d57c81a0047bdf4b7931a03af6439ce3c9f3b0d07f65a7eab7967ac
101,PRICE_0200_CAP_200000,2.0,200000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2571052.3565378,216235.824199795,160541.959378031,16235.8241997955,0,32471.648399591,7,30,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.860215053763441,362,450,0.19555555555555557,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,3897c205009cf2cb2df07140036db9c7c19e0415c0e116f8aa7fb343aa2f7066,3897c205009cf2cb2df07140036db9c7c19e0415c0e116f8aa7fb343aa2f7066
101,PRICE_0200_CAP_350000,2.0,350000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2871052.3565378,216235.824199795,160541.959378031,0,133764.175800205,-267528.351600409,7,30,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.860215053763441,362,450,0.19555555555555557,96e994e59b95e1d15f25058d7381cbcbd025222a6543765725119749e29d1cd3,157fdb08b71a7c286a630fe200888a423e694962cfc2ae1341cbc90bf7aa1bdb,157fdb08b71a7c286a630fe200888a423e694962cfc2ae1341cbc90bf7aa1bdb
505,PRICE_0200_CAP_000000,2.0,0,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,1743512.15225311,246715.987314229,191098.538818986,246715.987314229,0,493431.974628459,9,30,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.841642228739003,778,960,0.18958333333333333,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,56f35bebaab0da63892d48604643e22b0ab154db656f8e25f664764cc97d824b,56f35bebaab0da63892d48604643e22b0ab154db656f8e25f664764cc97d824b
505,PRICE_0200_CAP_040000,2.0,40000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,1823512.15225311,246715.987314229,191098.538818986,206715.987314229,0,413431.974628459,9,30,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.841642228739003,778,960,0.18958333333333333,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,ffb91763e719f8112ec5b1cc0f8d546097c5d09d1609a67efb5e6cbd0d42063a,ffb91763e719f8112ec5b1cc0f8d546097c5d09d1609a67efb5e6cbd0d42063a
505,PRICE_0200_CAP_100000,2.0,100000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,1943512.15225311,246715.987314229,191098.538818986,146715.987314229,0,293431.974628459,9,30,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.841642228739003,778,960,0.18958333333333333,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,631d8990c43ba91b16beaccf18bdbe8c27a8299086a8fbfc031196110252877f,631d8990c43ba91b16beaccf18bdbe8c27a8299086a8fbfc031196110252877f
505,PRICE_0200_CAP_200000,2.0,200000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2143512.15225311,246715.987314229,191098.538818986,46715.9873142295,0,93431.9746284589,9,30,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.841642228739003,778,960,0.18958333333333333,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,0a2d9720e711870113dc06b50a223bc04de3948f7ec4b225c219500fa808d590,0a2d9720e711870113dc06b50a223bc04de3948f7ec4b225c219500fa808d590
505,PRICE_0200_CAP_350000,2.0,350000,10x30,HEURISTIC_BEST_FOUND,OPTIMAL,1,2443512.15225311,246715.987314229,191098.538818986,0,103284.012685771,-206568.025371541,9,30,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.841642228739003,778,960,0.18958333333333333,96b575f77e2a905127d968e2c5d7a885faa40c4c984f66d9d1df2b50b92be62a,9eb2b10eb237e2e60c93379469ef1ff42da29dd44e2c19728a0997ebc5968901,9eb2b10eb237e2e60c93379469ef1ff42da29dd44e2c19728a0997ebc5968901
