level,n,completion_rate,total_profit_mean,total_profit_sd,total_profit_min,total_profit_max,carbon_emission_mean,carbon_emission_sd,total_investment_cost_mean,total_investment_cost_sd,net_carbon_trading_cost_mean,e_plus_mean,e_minus_mean,open_dc_count_mean,retailer_service_set_mean,max_w_mean,actual_bp_calls_mean,cache_hit_rate_mean
0.0,3,1.0,2728195.39269246,257153.90477086027,2445632.50639097,2948513.48685164,467243.61804160033,64000.300590298866,0.0,0.0,0.0,367243.61804160033,0.0,8.333333333333334,30.0,0.0,270.3333333333333,0.1808080808080808
1.0,3,1.0,2414932.3597264234,244322.91850651227,2134716.6686009,2583378.57755761,351849.55227366864,47595.46055509618,51637.634908256536,18475.081341509114,251849.55227366867,251849.55227366867,0.0,8.333333333333334,30.0,0.9566634082763117,492.3333333333333,0.17962962962962964
2.0,3,1.0,2218994.60833222,239003.9758146259,1943512.15225311,2371052.3565378,247654.09272393,31897.66898192238,197049.35092306434,39817.71502252394,295308.185447861,147654.09272393,0.0,8.333333333333334,30.0,0.8113391984359727,569.0,0.1877999194847021
4.0,3,1.0,2144166.78575856,278733.43153565336,1831658.91575702,2367102.42174218,54650.27785173757,24415.107006421316,670724.586317357,91089.57036531175,-181398.88859304966,0.0,45349.72214826244,7.0,30.0,0.9947865754317367,606.0,0.19425287356321838
6.0,3,1.0,2311017.303087447,297128.827444446,1978506.47129385,2550504.88509627,6395.6896389787535,2077.0741091578993,707562.2302386203,130893.91921025187,-561625.8621661277,0.0,93604.31036102127,3.6666666666666665,29.666666666666668,0.9983708048224177,774.0,0.1849328093306288
8.0,3,1.0,2496741.07982063,299071.33672614413,2163947.21949036,2743011.969109,3653.840642038886,3742.6114511495243,721760.5360396099,122892.96987130711,-770769.274863689,0.0,96346.15935796114,3.3333333333333335,29.666666666666668,0.9990224828934506,854.0,0.19306836480749523
10.0,3,1.0,2697431.2793365535,291182.79451322637,2374814.82658061,2940754.06618345,960.4442165730874,901.5846070868128,701875.3070159396,136786.37123888984,-990395.5578342694,0.0,99039.55578342693,3.0,29.333333333333332,1.0,942.3333333333334,0.1880778289810548
12.0,3,1.0,2907049.5787955,295036.12091737206,2576279.53578756,3143072.38503515,549.720774770865,769.8409782472503,703551.3232000053,137252.60467417323,-1193403.35070275,0.0,99450.27922522914,3.0,29.333333333333332,0.9996741609644837,961.6666666666666,0.18765827779895206
16.0,3,1.0,3281818.333184663,303550.0229848262,2944109.31724074,3531956.79939396,682.067991831638,861.8926762168943,707144.3367991127,144808.76179256692,-1589086.9121306934,0.0,99317.93200816837,3.0,29.333333333333332,0.9996741609644837,1016.6666666666666,0.20064117601063414
20.0,3,1.0,3684480.466006187,285451.83618203533,3370305.91852553,3927901.4878766,562.2836977360466,405.42022067136793,700889.848684632,136458.0393161613,-1988754.3260452766,0.0,99437.71630226393,3.0,29.333333333333332,0.9996741609644837,790.6666666666666,0.20013227513227513
