order_id,random_seed,scenario_id,status,validation_status,completion_marker,output_directory,notes
1,101,PRICE_0200_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0200_CAP_100000,
2,101,PRICE_0000_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0000_CAP_100000,
3,101,PRICE_0100_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0100_CAP_100000,
4,101,PRICE_0400_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0400_CAP_100000,
5,101,PRICE_0600_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0600_CAP_100000,
6,101,PRICE_0800_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0800_CAP_100000,
7,101,PRICE_1000_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_1000_CAP_100000,
8,101,PRICE_1200_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_1200_CAP_100000,
9,101,PRICE_1600_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_1600_CAP_100000,
10,101,PRICE_2000_CAP_100000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_2000_CAP_100000,
11,101,PRICE_0200_CAP_000000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0200_CAP_000000,
12,101,PRICE_0200_CAP_040000,COMPLETED,PASS,COMPLETED.ok,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part4_carbon_policy/RQ3_price_cap/screening_42runs_resumable_20260803_121854/runs/seed_101/PRICE_0200_CAP_040000,
