Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.75884e+08,1.749e+08,1.73939e+08,0.0683403
1,1.75884e+08,1.75079e+08,1.74544e+08,0.121015
2,1.75884e+08,1.75214e+08,1.74724e+08,0.186168
3,1.75884e+08,1.75391e+08,1.74746e+08,0.249726
4,1.75884e+08,1.75484e+08,1.74801e+08,0.309655
5,1.75884e+08,1.75529e+08,1.7487e+08,0.371491
6,1.75884e+08,1.75616e+08,1.75205e+08,0.42912
7,1.75884e+08,1.75709e+08,1.75386e+08,0.498674
8,1.75884e+08,1.75766e+08,1.75463e+08,0.556296
9,1.75884e+08,1.75794e+08,1.75514e+08,0.615887
10,1.75884e+08,1.7583e+08,1.75532e+08,0.666249
