distance_km,random_seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,mean_w_open_dcs,demand_weighted_mean_w,max_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
0,101,D00/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.685836,11,261,69,1538,0,6,0.00179211,0.00285228,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10213e+07,46.2989,1411.27,1.75884e+08,1.75884e+08,0,658.817,3.95221,10099.2,4386.5,15148.5,-1.81899e-12,14442.8,705.633,0,1411.27,0;0.00195503;0.000977517;0.00782014;0;0;0;0
0,202,D00/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.650349,11,259,71,1529,0,6,0.00244379,0.00356691,0.0136852,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.45394e+07,8.10213e+07,63.8361,1390.55,1.75884e+08,1.75884e+08,5.96046e-08,658.387,3.94927,10087.2,4388.58,15138.1,0,14442.8,695.276,0,1390.55,0;0;0.0058651;0.00782014;0;0.0136852;0.000977517;0
0,303,D00/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.647733,11,275,55,1648,0,6,0.000814598,0.000472792,0.500489,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10214e+07,9.78247,1478.95,1.75884e+08,1.75884e+08,2.98023e-08,659.462,3.95894,10120.9,4397.95,15182.3,1.81899e-12,14442.8,739.474,0,1478.95,0.500489;0;0;0;0;0;0;0.00488759
0,404,D00/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.650907,11,267,63,1589,0,6,0.00521342,0.00658323,0.0117302,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.45394e+07,8.10212e+07,169.063,1312.43,1.75884e+08,1.75884e+08,2.98023e-08,656.559,3.93773,10071.7,4366.86,15099.1,0,14442.8,656.215,0,1312.43,0;0.00782014;0.00293255;0.00879765;0;0.00195503;0.0117302;0
0,505,D00/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.684879,11,276,54,1643,0,6,0.00391007,0.00374727,0.0117302,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.45394e+07,8.10213e+07,97.0502,1375.93,1.75884e+08,1.75884e+08,-2.98023e-08,657.419,3.94666,10082.3,4387.16,15130.8,0,14442.8,687.963,0,1375.93,0;0;0.00391007;0.00782014;0.0117302;0;0;0
0,606,D00/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.674772,11,257,73,1533,0,6,0,0,0,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10214e+07,0,1499.79,1.75884e+08,1.75884e+08,0,660,3.96141,10128.4,4400.42,15192.7,0,14442.8,749.894,0,1499.79,0;0;0;0;0;0;0;0
0,707,D00/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.646945,11,264,66,1538,0,6,0.00195503,0.00122341,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10213e+07,28.6742,1460.56,1.75884e+08,1.75884e+08,-2.98023e-08,658.71,3.9553,10111.5,4398.94,15173.1,0,14442.8,730.279,0,1460.56,0;0;0.00391007;0;0.00782014;0.00782014;0;0
0,808,D00/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.608363,11,251,79,1492,0,6,0.000977517,0.0017142,0.15738,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10213e+07,24.4859,1443.57,1.75884e+08,1.75884e+08,0,659.355,3.95612,10109.2,4392.14,15164.6,-1.81899e-12,14442.8,721.786,0,1443.57,0.15738;0;0;0.0058651;0;0;0;0
0,909,D00/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.674189,11,275,55,1649,0,6,0.00016292,0.000186719,0.0312805,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10214e+07,0.549861,1494.82,1.75884e+08,1.75884e+08,2.98023e-08,659.892,3.96068,10126,4400.42,15190.3,-3.63798e-12,14442.8,747.41,0,1494.82,0.0312805;0;0.000977517;0;0;0.00391007;0;0
0,1010,D00/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.700672,11,278,52,1660,0,6,0.00228087,0.00303727,0.101662,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.45394e+07,8.10213e+07,51.9907,1398.23,1.75884e+08,1.75884e+08,5.96046e-08,658.495,3.9509,10092.1,4387.4,15142,-1.81899e-12,14442.8,699.113,0,1398.23,0;0;0.00195503;0.00782014;0;0.101662;0;0.00391007
5,101,D05/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.621083,11,259,71,1540,0,6,0.00195503,0.00294683,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,46.6902,1644.58,1.7522e+08,1.7522e+08,-2.98023e-08,658.71,3.95171,10097.7,4504.75,15265.1,0,14442.8,822.289,0,1644.58,0;0.00195503;0.000977517;0.00782014;0;0;0;0.000977517
5,202,D05/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.67102,11,259,71,1550,0,6,0.00309547,0.00410947,0.201369,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.52033e+07,8.16852e+07,71.8054,1611.55,1.7522e+08,1.7522e+08,-2.98023e-08,657.957,3.9469,10082.3,4504.41,15248.6,1.81899e-12,14442.8,805.773,0,1611.55,0;0;0.0058651;0.00782014;0.000977517;0.201369;0.00391007;0
5,303,D05/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.638674,11,273,57,1629,0,6,0.000814598,0.000472792,0.500489,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52034e+07,8.16853e+07,9.78247,1716.9,1.7522e+08,1.7522e+08,2.98023e-08,659.462,3.95894,10120.9,4516.93,15301.3,1.81899e-12,14442.8,858.451,0,1716.9,0.500489;0;0;0;0;0;0;0.00488759
5,404,D05/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.669401,11,268,62,1599,0,6,0.00276963,0.0026167,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,50.0393,1653.4,1.7522e+08,1.7522e+08,5.96046e-08,658.172,3.95071,10101.8,4505.58,15269.5,-1.81899e-12,14442.8,826.701,0,1653.4,0;0.000977517;0;0.00195503;0;0;0.00782014;0.0058651
5,505,D05/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.680497,11,279,51,1654,0,6,0.00391007,0.00374727,0.0117302,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.52033e+07,8.16852e+07,97.0502,1613.13,1.7522e+08,1.7522e+08,0,657.419,3.94666,10082.3,4505.76,15249.4,1.81899e-12,14442.8,806.567,0,1613.13,0;0;0.00391007;0.00782014;0.0117302;0;0;0
5,606,D05/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.682777,11,262,68,1553,0,6,0.00130336,0.00169823,0.56305,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,13.737,1690.16,1.7522e+08,1.7522e+08,2.98023e-08,659.14,3.95529,10111.3,4513.57,15287.9,3.63798e-12,14442.8,845.08,0,1690.16,0.000977517;0.00195503;0.00391007;0.00195503;0;0.56305;0;0
5,707,D05/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.644688,11,264,66,1563,0,6,0.00391007,0.00273978,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,62.5915,1647.48,1.7522e+08,1.7522e+08,0,657.419,3.94852,10097.3,4507.96,15266.6,0,14442.8,823.738,0,1647.48,0;0.00391007;0.00391007;0;0.00782014;0.00782014;0;0.00782014
5,808,D05/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.635643,11,257,73,1518,0,6,0.00228087,0.00207474,0.15738,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,36.5615,1665.17,1.7522e+08,1.7522e+08,2.98023e-08,658.495,3.95274,10100.6,4512.38,15275.4,-1.81899e-12,14442.8,832.587,0,1665.17,0.15738;0;0.00391007;0.00195503;0;0.0703812;0;0.00782014
