dc_index,dc_id,market_index,market_id,physical_distance_km,transport_cost_coefficient,transport_emission_coefficient
0,C01,0,C01,15,5.8500000000000005,0.0010494
0,C01,1,C02,299.202,116.688858,0.020932171919999999
0,C01,2,C03,95.671000000000006,37.311768000000001,0.0066931431600000006
0,C01,3,C04,136.15299999999999,53.099670000000003,0.009525263879999999
0,C01,4,C05,179.239,69.903092999999998,0.01253956044
0,C01,5,C06,217.90600000000001,84.983300999999997,0.015244703760000001
0,C01,6,C07,466.44999999999999,181.91538299999999,0.032632842000000002
0,C01,7,C08,101.831,39.713973000000003,0.0071240967600000003
0,C01,8,M09,176.94900000000001,69.010187999999999,0.012379352040000001
0,C01,9,M10,121.325,47.316828000000001,0.0084878969999999995
0,C01,10,M11,232.89599999999999,90.829479000000006,0.01629340416
0,C01,11,M12,191.46600000000001,74.671857000000003,0.013394961360000001
0,C01,12,M13,151.82400000000001,59.211243000000003,0.010621607040000001
0,C01,13,M14,350.464,136.68096,0.02451846144
0,C01,14,M15,331.99900000000002,129.47957099999999,0.023226650040000001
1,C02,0,C01,295.93799999999999,115.41562500000001,0.020703822479999998
1,C02,1,C02,15,5.8500000000000005,0.0010494
1,C02,2,C03,215.17099999999999,83.916807000000006,0.01505336316
1,C02,3,C04,185.517,72.351708000000002,0.01297876932
1,C02,4,C05,272.23500000000001,106.171572,0.019045560600000001
1,C02,5,C06,413.43900000000002,161.24124900000001,0.028924192440000003
1,C02,6,C07,170.18100000000001,66.370512000000005,0.01190586276
1,C02,7,C08,282.82799999999997,110.302764,0.019786646879999998
1,C02,8,M09,129.149,50.367915000000004,0.009035264040000001
1,C02,9,M10,236.32499999999999,92.166788999999994,0.016533296999999999
1,C02,10,M11,149.428,58.276764,0.010453982880000001
1,C02,11,M12,326.86200000000002,127.476219,0.022867265520000003
1,C02,12,M13,200.417,78.162629999999993,0.01402117332
1,C02,13,M14,101.608,39.627042000000003,0.0071084956800000001
1,C02,14,M15,401.74099999999999,156.67887300000001,0.028105800359999999
2,C03,0,C01,94.432000000000002,36.828479999999999,0.0066064627200000002
2,C03,1,C02,214.66399999999999,83.718959999999996,0.015017893439999999
2,C03,2,C03,15,5.8500000000000005,0.0010494
2,C03,3,C04,42.165999999999997,16.444739999999999,0.0029499333599999999
2,C03,4,C05,143.58600000000001,55.998657000000001,0.010045276560000002
2,C03,5,C06,215.624,84.093282000000002,0.01508505504
2,C03,6,C07,381.911,148.94548499999999,0.026718493560000001
2,C03,7,C08,73.436999999999998,28.640312999999999,0.00513765252
2,C03,8,M09,92.411000000000001,36.040329,0.0064650735600000004
2,C03,9,M10,104.401,40.716428999999998,0.0073038939600000002
2,C03,10,M11,158.71299999999999,61.897992000000002,0.011103561479999999
2,C03,11,M12,158.73400000000001,61.906221000000002,0.011105030640000001
