distance_km,seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,termination_reason,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,open_dc_indices,open_dc_ids,num_served_markets,served_market_indices,served_market_ids,num_unserved_markets,unserved_market_indices,unserved_market_ids,mean_w_open_dcs,demand_weighted_mean_w,max_w,min_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
0,101,D00/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.69959634199999998,11,261,69,1538,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.001792114695340502,0.0028522760105446684,0.0078201368523949169,0,277769320,16748517.634408602,4144519.6412631874,56481869.050370775,24539417.374014713,81021286.424385488,46.298898525630385,1411.2663592072859,175883835.6868163,175883835.6868163,0,658.81720430107521,3.952206102846719,10099.204276390794,4386.5023788528151,15148.476065647532,-1.8189894035458565e-12,14442.842886043889,705.63317960364293,0,1411.2663592072859,0;0.0019550342130987292;0.00097751710654936461;0.0078201368523949169;0;0;0;0
0,202,D00/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.64205125699999999,11,259,71,1529,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0024437927663734115,0.0035669131430632788,0.013685239491691105,0,277769320,16748516.774193548,4144519.6353929243,56481845.049402319,24539421.526341017,81021266.575743333,63.836052752077485,1390.5516317414549,175883838.86438957,175883838.86438951,5.9604644775390625e-08,658.38709677419354,3.9492709759681968,10087.203792159693,4388.5785420047614,15138.118701914616,0,14442.842886043889,695.27581587072746,0,1390.5516317414549,0;0;0.0058651026392961877;0.0078201368523949169;0;0.013685239491691105;0.00097751710654936461;0
0,303,D00/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.63848215900000005,11,275,55,1648,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.00081459758879113718,0.00047279242827014551,0.50048875855327468,0,277769320,16748518.924731184,4144519.6547268489,56481912.529843435,24539440.271461297,81021352.801304728,9.7824688677674825,1478.9470646760019,175883804.52254045,175883804.52254042,2.9802322387695312e-08,659.46236559139788,3.9589379225467418,10120.944012721875,4397.9511021460721,15182.31641838189,1.8189894035458565e-12,14442.842886043889,739.47353233800095,0,1478.9470646760019,0.50048875855327468;0;0;0;0;0;0;0.0048875855327468231
0,404,D00/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.66430841399999996,11,267,63,1589,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0052134245682632779,0.0065832287339318857,0.011730205278592375,0,277769320,16748513.118279571,4144519.6123151733,56481814.042476393,24539378.089859799,81021192.132336199,169.06263128638261,1312.4292329075251,175883811.76020989,175883811.76020986,2.9802322387695312e-08,656.5591397849463,3.9377321199939477,10071.700329195239,4366.8603013974734,15099.057502497652,0,14442.842886043889,656.21461645376257,0,1312.4292329075251,0;0.0078201368523949169;0.0029325513196480938;0.0087976539589442824;0;0.0019550342130987292;0.011730205278592375;0
0,505,D00/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.67775648499999996,11,276,54,1643,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0039100684261974585,0.0037472721851007011,0.011730205278592375,0,277769320,16748514.838709679,4144519.6301650708,56481835.203267701,24539418.687184665,81021253.89045237,97.050162602726829,1375.9256290642115,175883820.27628234,175883820.27628237,-2.9802322387695312e-08,657.41935483870964,3.9466570538928512,10082.280724852699,4387.1589638306941,15130.805700575995,0,14442.842886043889,687.96281453210577,0,1375.9256290642115,0;0;0.0039100684261974585;0.0078201368523949169;0.011730205278592375;0;0;0
0,606,D00/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.63673029999999997,11,257,73,1533,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0,0,0,0,277769320,16748520,4144519.6596777067,56481927.344408773,24539445.21697114,81021372.56137991,0,1499.7873595218953,175883793.46471447,175883793.46471447,0,660,3.9614133471162365,10128.351295390681,4400.4238570670395,15192.736565804837,0,14442.842886043889,749.89367976094763,0,1499.7873595218953,0;0;0;0;0;0;0;0
0,707,D00/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.70116931000000005,11,264,66,1538,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0019550342130987292,0.0012234052007131587,0.0078201368523949169,0,277769320,16748517.419354839,4144519.6474521291,56481893.670971565,24539442.254582439,81021335.925554007,28.674170955024493,1460.5586628880883,175883804.01924017,175883804.0192402,-2.9802322387695312e-08,658.70967741935488,3.9553005687320848,10111.514576783775,4398.9426627160719,15173.122217487933,0,14442.842886043889,730.27933144404415,0,1460.5586628880883,0;0;0.0039100684261974585;0;0.0078201368523949169;0.0078201368523949169;0;0
0,808,D00/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.60694732200000001,11,251,79,1492,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.00097751710654936461,0.001714201942220968,0.1573802541544477,0,277769320,16748518.709677419,4144519.6490853881,56481888.994842954,24539428.652318578,81021317.647161528,24.48590039809477,1443.5722262516865,175883825.19394735,175883825.19394735,0,659.35483870967744,3.9561171969328282,10109.176512478502,4392.1415307846191,15164.628999169732,-1.8189894035458565e-12,14442.842886043889,721.78611312584326,0,1443.5722262516865,0.1573802541544477;0;0;0.0058651026392961877;0;0;0;0
0,909,D00/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.68188102299999998,11,275,55,1649,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.00016291951775822744,0.00018671910279849691,0.031280547409579668,0,277769320,16748519.784946237,4144519.6582032964,56481922.593524195,24539445.21697114,81021367.810495332,0.5498605821345609,1494.8199467618651,175883797.88226667,175883797.88226664,2.9802322387695312e-08,659.89247311827955,3.9606761431269719,10125.975853096374,4400.4238570670395,15190.252859424822,-3.637978807091713e-12,14442.842886043889,747.40997338093257,0,1494.8199467618651,0.031280547409579668;0;0.00097751710654936461;0;0;0.0039100684261974585;0;0
0,1010,D00/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.70548659000000002,11,278,52,1660,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,13,8;10;12;13;2;3;4;9;11;1;6;7;14,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,2,0;5,C01;C06,0.0022808732486151841,0.0030372747378410682,0.10166177908113393,0,277769320,16748516.989247311,4144519.6386451088,56481854.858232901,24539419.174359847,81021274.032592744,51.990712000522365,1398.2267870981268,175883843.03457496,175883843.0345749,5.9604644775390625e-08,658.49462365591398,3.9508970658820894,10092.108207450783,4387.4025514203713,15141.956279592952,-1.8189894035458565e-12,14442.842886043889,699.1133935490634,0,1398.2267870981268,0;0;0.0019550342130987292;0.0078201368523949169;0;0.10166177908113393;0;0.0039100684261974585
