distance_km,metric,n,mean_display,sample_sd_display,median_display,min_display,max_display,source
0,reported_total_profit,10,1.75884e+08,17.8006,1.75884e+08,1.75884e+08,1.75884e+08,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
0,total_emission,10,15156.1,29.8767,15156.6,15099.1,15192.7,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
0,total_transport_cost,10,8.10213e+07,57.6884,8.10213e+07,8.10212e+07,8.10214e+07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
0,investment_cost,10,49.1731,51.9192,37.4865,0,169.063,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
0,carbon_trading_cost,10,1426.61,59.7535,1427.42,1312.43,1499.79,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
0,wall_time_sec,10,0.665441,0.0333161,0.671032,0.606947,0.705487,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,reported_total_profit,10,1.7522e+08,13.7558,1.7522e+08,1.7522e+08,1.7522e+08,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,total_emission,10,15270.3,19.6523,15268.1,15244.8,15301.3,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,total_transport_cost,10,8.16852e+07,37.9901,8.16852e+07,8.16852e+07,8.16853e+07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,investment_cost,10,48.4336,30.2105,48.3648,9.78247,97.0502,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,carbon_trading_cost,10,1654.93,39.3047,1650.44,1603.85,1716.9,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
5,wall_time_sec,10,0.630093,0.0456949,0.630674,0.528909,0.68734,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,reported_total_profit,10,1.74587e+08,15.9048,1.74587e+08,1.74587e+08,1.74587e+08,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,total_emission,10,14407.4,25.9941,14412.2,14370.1,14442.8,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,total_transport_cost,10,7.68403e+07,50.0126,7.68403e+07,7.68402e+07,7.68404e+07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,investment_cost,10,44.028,39.4373,38.3847,0,105.07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,carbon_trading_cost,10,-70.8735,51.9882,-61.2449,-145.518,-1.28003e-05,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
10,wall_time_sec,10,0.638165,0.0255853,0.636091,0.60826,0.680622,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,reported_total_profit,10,1.73967e+08,14.4424,1.73967e+08,1.73967e+08,1.73967e+08,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,total_emission,10,14520.5,23.3296,14521.5,14481.9,14552.9,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,total_transport_cost,10,7.7461e+07,44.9194,7.7461e+07,7.74609e+07,7.74611e+07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,investment_cost,10,43.3754,37.5834,40.025,0.310569,125.947,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,carbon_trading_cost,10,155.291,46.6593,157.302,78.0426,220.181,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
15,wall_time_sec,10,0.620927,0.0418138,0.626518,0.533699,0.671768,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,reported_total_profit,10,1.73346e+08,15.1682,1.73346e+08,1.73346e+08,1.73346e+08,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,total_emission,10,14640.1,19.8177,14644.1,14608.4,14660.6,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,total_transport_cost,10,7.80817e+07,38.396,7.80817e+07,7.80816e+07,7.80817e+07,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,investment_cost,10,27.3236,25.0824,23.4667,0.776837,66.1467,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,carbon_trading_cost,10,394.434,39.6353,402.477,331.107,435.465,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
20,wall_time_sec,10,0.64194,0.020821,0.639081,0.606922,0.674201,P5_FORMAL_RESULTS_SUMMARY_BY_DISTANCE_HIGH_PRECISION.csv
