distance_km,seed,reported_total_profit_difference,revenue_difference,total_transport_cost_difference,supplier_dc_transport_cost_difference,dc_market_transport_cost_difference,investment_cost_difference,carbon_trading_cost_difference,total_emission_difference,transport_emission_difference,num_open_dcs_difference,num_served_markets_difference,mean_w_open_dcs_difference,demand_weighted_mean_w_difference
0,101,1296474.0855368972,5642890.0,4181049.3435829133,9082524.554675788,-4901475.211092871,-57.30299444418828,1556.7839567414412,778.3919783707206,776.7214494605832,0.0,1.0,-0.002280873248615184,-0.002096019358170489
0,202,1296487.1089298427,5642890.0,4180933.4346538186,9082444.068310887,-4901510.633657064,50.558323566816306,1435.8992458553803,717.9496229276901,718.7669849101603,0.0,1.0,0.001466275659824047,0.001783963540266995
0,303,1296457.412276268,5642890.0,4181051.018834889,9082516.300569437,-4901465.281734541,-39.93507235254243,1556.0892952745417,778.0446476372708,777.5590754552504,0.0,1.0,-0.0004887585532746823,-0.0026169444467547156
0,404,1296482.037727356,5642890.0,4180825.6710950583,9082402.484589905,-4901576.813494857,167.93961261706667,1323.5891593350425,661.7945796675212,664.8852055272309,0.0,1.0,0.004887585532746823,0.006120314098160432
0,505,1296484.0032173991,5642890.0,4180905.327163264,9082446.398173735,-4901541.071010467,83.28329287835598,1406.2799889659582,703.1399944829791,704.7132396446832,0.0,1.0,0.002606712284131639,0.0027263634875072016
0,606,1296456.4850180745,5642890.0,4181037.5580955297,9082542.87199089,-4901505.313895356,-27.051767471225133,1544.1332486417414,772.0666243208707,770.8287057618181,0.0,1.0,-0.0016291951775822744,-0.001106700537693245
0,707,1296438.048186034,5642890.0,4181065.9800588638,9082545.361285448,-4901479.381226588,-37.47250560656224,1572.9908187811598,786.4954093905799,785.0396874289763,0.0,1.0,-0.0019550342130987292,-0.0023732203474149797
0,808,1296457.6965633035,5642890.0,4181045.7594505847,9082518.736966625,-4901472.97751604,-36.03805730610849,1551.9079931790839,775.9539965895419,774.9293832879175,0.0,1.0,-0.0013033561420658195,-0.00247229575506843
0,909,1296478.1966791153,5642890.0,4180990.6223508418,9082507.449942455,-4901516.8275916055,0.5498605821345609,1494.81995956213,747.409979781065,747.3608334248911,0.0,1.0,0.00016291951775822744,0.00018671910279849691
0,1010,1296494.3199886978,5642890.0,4181025.1045299172,9082500.153708965,-4901475.049179051,-53.07954565969963,1532.3260561863754,766.1630280931877,764.6019229598678,0.0,1.0,-0.0021179537308569562,-0.00152124704924272
5,101,632563.732709825,5642890.0,4844959.521155104,9082521.591762714,-4237562.070607603,-56.91169568947758,1790.0954850109774,895.0477425054887,893.4852355619842,0.0,1.0,-0.002117953730856957,-0.0020014608725164597
5,202,632581.4957815409,5642890.0,4844831.943452045,9082434.263740033,-4237602.320287988,58.52762532176034,1656.8930923572698,828.4465461786349,829.696384024026,0.0,1.0,0.0021179537308569567,0.0023265174488899124
5,303,632542.8063564897,5642890.0,4844965.624754667,9082516.300569437,-4237550.675814759,-39.93507235254243,1794.0452150551864,897.0226075275932,896.5370353455728,0.0,1.0,-0.0004887585532746823,-0.0026169444467547156
5,404,632583.439101994,5642890.0,4844840.041276336,9082462.765099816,-4237622.723823488,48.916289898481395,1664.5611074070039,832.2805537035019,833.7452961651616,0.0,1.0,0.0024437927663734115,0.00215378157777354
5,505,632570.1454018652,5642890.0,4844819.184978813,9082446.398173735,-4237627.213194914,83.28329287835598,1643.487804514345,821.7439022571725,823.3171474188784,0.0,1.0,0.002606712284131639,0.0027263634875072016
5,606,632575.7260653675,5642890.0,4844906.312750533,9082508.674864948,-4237602.362114407,-13.31479421040096,1734.5052281301796,867.2526140650898,866.8810332658359,0.0,1.0,-0.00032583903551645487,0.0005915308390259464
5,707,632540.5626688898,5642890.0,4844932.142462894,9082516.837182954,-4237584.694720056,-3.555191917545919,1759.9090222692794,879.9545111346397,879.7958894463791,0.0,1.0,0.0,-0.0008568438259463182
5,808,632547.3695472479,5642890.0,4844945.738009393,9082501.596500933,-4237555.85849154,-23.962412488777225,1773.509364440888,886.754682220444,886.5936627010851,0.0,1.0,0.0,-0.0021117527534561882
5,909,632611.4173699021,5642890.0,4844780.846853152,9082422.246308208,-4237641.399455044,81.64873363924534,1603.85039572174,801.92519786087,804.1480845929709,0.0,1.0,0.003584229390681003,0.003906616256771789
5,1010,632550.4267159998,5642890.0,4845005.256285742,9082550.160454571,-4237544.9041688405,-90.64016240692503,1837.1299455736043,918.5649727868022,916.3528008758985,0.0,1.0,-0.003095470837406321,-0.00353630409789031
15,101,-620690.3046810627,0.0,620747.0208320767,17.01356878876686,620730.0072632991,-58.2357904319029,291.69047143071657,145.84523571535829,145.0854160398667,0.0,0.0,-0.001140436624307593,-0.0027874380482748183
15,202,-620692.0340944827,0.0,620671.7069559991,-24.432122871279716,620696.1390788667,21.406249946871718,213.77784453297863,106.88892226648932,107.42847799561423,0.0,0.0,0.0008145975887911374,-2.8186193037122885e-05
15,303,-620676.1354481876,0.0,620678.0917308629,-44.88013985008001,620722.9718707204,-0.23109520936531425,219.51654339279048,109.75827169639524,110.6208654435286,0.0,0.0,0.0013033561420658195,-0.0005042486005396719
15,404,-620670.8769057989,0.0,620551.6781992465,-84.16005267947912,620635.8382519186,124.8244050239627,89.2025008212222,44.6012504106111,47.414099629790144,0.0,0.0,0.0042359074617139125,0.0046981498080908525
15,505,-620679.048240155,0.0,620679.048240155,0.0,620679.0482401662,0.0,222.1982401677451,111.09912008387255,111.09912008387073,0.0,0.0,0.0,0.0
15,606,-620679.2094804943,0.0,620679.2094805241,0.0,620679.2094805278,0.0,222.3594805290304,111.1797402645152,111.17974026451702,0.0,0.0,0.0,0.0
15,707,-620678.6193436384,0.0,620678.6193436533,0.0,620678.619343657,0.0,221.76934365161287,110.88467182580644,110.88467182580644,0.0,0.0,0.0,0.0
15,808,-620682.1172695756,0.0,620674.6698235273,2.1049066856503487,620672.5649168417,7.662706798480748,217.60456274516037,108.80228137258018,108.9099117645419,0.0,0.0,0.00016291951775822744,-3.0467331432467576e-05
15,909,-620677.3415148556,0.0,620677.2467908561,-1.8337373435497284,620679.0805282071,0.3105687756386175,220.18094610080516,110.09047305040258,110.19839542741647,0.0,0.0,0.00016291951775822744,6.172878827749405e-05
15,1010,-620697.9304065704,0.0,620795.2177968025,50.84575696289539,620744.3720398247,-102.26278753882472,343.34319404801863,171.67159702400932,169.18389839454903,0.0,0.0,-0.0037471489084392306,-0.004239080895550742
20,101,-1241367.8223290443,0.0,1241417.6996486485,46.982694417238235,1241370.7169542387,-53.33449116737419,507.45682016268256,253.72841008134128,251.99982432891557,0.0,0.0,-0.00260671228413164,-0.001665060107569415
20,202,-1241371.2437343597,0.0,1241350.9165958613,-24.432122871279716,1241375.34871874,21.406249946871718,436.13748440395284,218.06874220197642,218.6082979310977,0.0,0.0,0.0008145975887911374,-2.8186193037122885e-05
20,303,-1241365.2034871876,0.0,1241383.2609569132,-16.658722817897797,1241399.9196797349,-16.551020015331858,468.0545071915076,234.0272535957538,234.78047846020854,0.0,0.0,0.001140436624307592,-0.0010574082266961936
20,404,-1241359.9788328111,0.0,1241360.1090724915,1.2214067876338959,1241358.887665704,-0.3461820877486088,446.62501487991176,223.31250743995588,223.20453624601942,0.0,0.0,-0.00016291951775822744,-7.669752639334642e-05
20,505,-1241358.09648031,0.0,1241358.0964803249,0.0,1241358.0964803323,0.0,444.3964803354902,222.1982401677451,222.19824016774146,0.0,0.0,0.0,0.0
20,606,-1241364.0882112682,0.0,1241386.5923945457,20.035829842090607,1241366.556564711,-23.800845198930286,474.189056497009,237.0945282485045,236.44619726944438,0.0,0.0,-0.0009775171065493646,-0.0006604756833572436
20,707,-1241357.2386873066,0.0,1241357.2386873066,0.0,1241357.2386873066,0.0,443.538687303233,221.7693436516165,221.76934365161287,0.0,0.0,0.0,0.0
20,808,-1241357.3462793827,0.0,1241357.346279353,0.0,1241357.346279353,0.0,443.6462793548417,221.82313967742084,221.82313967741902,0.0,0.0,0.0,0.0
20,909,-1241352.3821122944,0.0,1241347.3235473484,-9.777762994170189,1241357.1013103426,6.353828761212315,432.3282835466016,216.1641417733008,216.8117736692493,0.0,0.0,0.0009775171065493646,0.00040031020589666915
20,1010,-1241369.6264289916,0.0,1241465.4241862893,49.18603013455868,1241416.238156151,-100.77173228625836,556.6981612266645,278.34908061333226,275.8620931431251,0.0,0.0,-0.0037471489084392306,-0.003878329705238594
