parameter,v1_value,v2_value,comparison_status
population_size,30,30,PASS
max_generation,50,50,PASS
crossover_rate,0.7,0.7,PASS
mutation_rate,-1,-1,PASS
elitism,true,true,PASS
chromosome_length,10,10,PASS
early_stop,true,true,PASS
convergence_generations,10,10,PASS
convergence_tolerance,0.001,0.001,PASS
pricing_algorithm,0,0,PASS
pricing_max_cols_per_dc,3,3,PASS
pricing_adaptive_cols,false,false,PASS
rc_eps,1e-6,1e-6,PASS
max_cg_iterations,2000,2000,PASS
max_branch_nodes,10000,10000,PASS
bp_time_limit_sec,600,600,PASS
bp_relative_gap,0,0,PASS
parallel_fitness,true,true,PASS
num_threads,8,8,PASS
parallel_pricing,false,false,PASS
cplex_threads,1,1,PASS
use_sqrt_investment,true,true,PASS
use_invest_in_column,true,true,PASS
investment_exponent,0.5,0.5,PASS
delta,3000,3000,PASS
transport_cost_mode,EXPLICIT_ARC_COST,EXPLICIT_ARC_COST,PASS
carbon_price,2,2,PASS
carbon_quota,14442.842886043889,14442.842886043889,PASS
output_directory,formal_distance_20260804_120000,formal_distance_high_precision_20260804_130000,EXPERIMENT_SPECIFIC
execution_code_commit,bd2c35d6a,1566b7fca4d9311e1fe8195834ea46c770b75445,EXPECTED_VERSION_CHANGE
result_version,ROUNDED_OUTPUT_V1,HIGH_PRECISION_V2,EXPECTED_VERSION_CHANGE
numeric_output_precision,default stream,max_digits10,EXPECTED_VERSION_CHANGE
timestamp,20260804_120000,20260804_130000,EXPECTED_VERSION_CHANGE
