arc_type,origin_id,destination_id,is_intracity,physical_distance_km,transport_rate_cny_per_tonne_km,transport_cost_coefficient_cny_per_tonne,transport_emission_factor_tco2e_per_tonne_km,transport_emission_coefficient_tco2e_per_tonne,solver_cost_field,solver_emission_field,mapping_status
supplier_dc,S1,C01,False,324.967,0.39,126.73713,6.996e-05,0.02273469132,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C02,False,58.846,0.39,22.949939999999998,6.996e-05,0.00411686616,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C03,False,236.018,0.39,92.04702,6.996e-05,0.01651181928,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C04,False,207.519,0.39,80.93241,6.996e-05,0.01451802924,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C05,False,285.56,0.39,111.36840000000001,6.996e-05,0.0199777776,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C06,False,426.765,0.39,166.43835,6.996e-05,0.0298564794,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C07,False,153.083,0.39,59.70237,6.996e-05,0.01070968668,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
supplier_dc,S1,C08,False,290.655,0.39,113.35544999999999,6.996e-05,0.0203342238,piecewise_distance_tariff,b_j,EMISSION_RESOLVED
dc_market,C01,C01,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C02,False,299.202,0.39,116.68878000000001,6.996e-05,0.02093217192,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C03,False,95.671,0.39,37.311690000000006,6.996e-05,0.006693143160000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C04,False,136.153,0.39,53.099669999999996,6.996e-05,0.009525263879999999,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C05,False,179.239,0.39,69.90321,6.996e-05,0.01253956044,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C06,False,217.906,0.39,84.98334,6.996e-05,0.01524470376,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C07,False,466.45,0.39,181.9155,6.996e-05,0.032632842,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,C08,False,101.831,0.39,39.714090000000006,6.996e-05,0.00712409676,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M09,False,176.949,0.39,69.01011000000001,6.996e-05,0.012379352040000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M10,False,121.325,0.39,47.316750000000006,6.996e-05,0.008487897,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M11,False,232.896,0.39,90.82943999999999,6.996e-05,0.01629340416,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M12,False,191.466,0.39,74.67174,6.996e-05,0.01339496136,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M13,False,151.824,0.39,59.211360000000006,6.996e-05,0.010621607040000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M14,False,350.464,0.39,136.68096,6.996e-05,0.02451846144,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C01,M15,False,331.999,0.39,129.47961,6.996e-05,0.02322665004,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C01,False,295.938,0.39,115.41582,6.996e-05,0.02070382248,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C02,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C03,False,215.171,0.39,83.91669,6.996e-05,0.01505336316,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C04,False,185.517,0.39,72.35163,6.996e-05,0.01297876932,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C05,False,272.235,0.39,106.17165000000001,6.996e-05,0.0190455606,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C06,False,413.439,0.39,161.24121000000002,6.996e-05,0.028924192440000003,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C07,False,170.181,0.39,66.37059,6.996e-05,0.01190586276,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,C08,False,282.828,0.39,110.30292,6.996e-05,0.019786646879999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M09,False,129.149,0.39,50.36811,6.996e-05,0.009035264040000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M10,False,236.325,0.39,92.16675,6.996e-05,0.016533297,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M11,False,149.428,0.39,58.276920000000004,6.996e-05,0.01045398288,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M12,False,326.862,0.39,127.47618000000001,6.996e-05,0.022867265520000003,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M13,False,200.417,0.39,78.16263000000001,6.996e-05,0.01402117332,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M14,False,101.608,0.39,39.627120000000005,6.996e-05,0.00710849568,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M15,False,401.741,0.39,156.67899,6.996e-05,0.02810580036,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
