formula,distance_km,quantity_tonne,expected,resolved,absolute_error,relative_error,status
transport_cost,0,1,0.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,0,1,0.0,0.0,0,0,PASS
inventory_emission,0,1,0.00055,0.00055,0,0,PASS
transport_cost,0,100,0.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,0,100,0.0,0.0,0,0,PASS
inventory_emission,0,100,0.055,0.055,0,0,PASS
transport_cost,0,1000,0.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,0,1000,0.0,0.0,0,0,PASS
inventory_emission,0,1000,0.55,0.55,0,0,PASS
transport_cost,5,1,1.9500000000000002,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,5,1,0.0003498,0.0003498,0,0,PASS
inventory_emission,5,1,0.00055,0.00055,0,0,PASS
transport_cost,5,100,195.00000000000003,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,5,100,0.03498,0.03498,0,0,PASS
inventory_emission,5,100,0.055,0.055,0,0,PASS
transport_cost,5,1000,1950.0000000000002,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,5,1000,0.3498,0.3498,0,0,PASS
inventory_emission,5,1000,0.55,0.55,0,0,PASS
transport_cost,10,1,3.9000000000000004,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,10,1,0.0006996,0.0006996,0,0,PASS
inventory_emission,10,1,0.00055,0.00055,0,0,PASS
transport_cost,10,100,390.00000000000006,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,10,100,0.06996,0.06996,0,0,PASS
inventory_emission,10,100,0.055,0.055,0,0,PASS
transport_cost,10,1000,3900.0000000000005,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,10,1000,0.6996,0.6996,0,0,PASS
inventory_emission,10,1000,0.55,0.55,0,0,PASS
transport_cost,15,1,5.8500000000000005,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,15,1,0.0010494,0.0010494,0,0,PASS
inventory_emission,15,1,0.00055,0.00055,0,0,PASS
transport_cost,15,100,585.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,15,100,0.10494,0.10494,0,0,PASS
inventory_emission,15,100,0.055,0.055,0,0,PASS
transport_cost,15,1000,5850.000000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,15,1000,1.0494,1.0494,0,0,PASS
inventory_emission,15,1000,0.55,0.55,0,0,PASS
transport_cost,20,1,7.800000000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,20,1,0.0013992,0.0013992,0,0,PASS
inventory_emission,20,1,0.00055,0.00055,0,0,PASS
transport_cost,20,100,780.0000000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,20,100,0.13992,0.13992,0,0,PASS
inventory_emission,20,100,0.055,0.055,0,0,PASS
transport_cost,20,1000,7800.000000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,20,1000,1.3992,1.3992,0,0,PASS
inventory_emission,20,1000,0.55,0.55,0,0,PASS
transport_cost,42.166,1,16.44474,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,42.166,1,0.00294993336,0.00294993336,0,0,PASS
inventory_emission,42.166,1,0.00055,0.00055,0,0,PASS
transport_cost,42.166,100,1644.474,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,42.166,100,0.294993336,0.294993336,0,0,PASS
inventory_emission,42.166,100,0.055,0.055,0,0,PASS
transport_cost,42.166,1000,16444.739999999998,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,42.166,1000,2.9499333599999997,2.9499333599999997,0,0,PASS
inventory_emission,42.166,1000,0.55,0.55,0,0,PASS
transport_cost,100,1,39.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,100,1,0.0069960000000000005,0.0069960000000000005,0,0,PASS
inventory_emission,100,1,0.00055,0.00055,0,0,PASS
transport_cost,100,100,3900.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,100,100,0.6996,0.6996,0,0,PASS
inventory_emission,100,100,0.055,0.055,0,0,PASS
transport_cost,100,1000,39000.0,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,100,1000,6.996,6.996,0,0,PASS
inventory_emission,100,1000,0.55,0.55,0,0,PASS
transport_cost,299.202,1,116.68878000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,299.202,1,0.02093217192,0.02093217192,0,0,PASS
inventory_emission,299.202,1,0.00055,0.00055,0,0,PASS
transport_cost,299.202,100,11668.878,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,299.202,100,2.093217192,2.093217192,0,0,PASS
inventory_emission,299.202,100,0.055,0.055,0,0,PASS
transport_cost,299.202,1000,116688.78000000001,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,299.202,1000,20.93217192,20.93217192,0,0,PASS
inventory_emission,299.202,1000,0.55,0.55,0,0,PASS
transport_cost,466.45,1,181.9155,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,466.45,1,0.032632842,0.032632842,0,0,PASS
inventory_emission,466.45,1,0.00055,0.00055,0,0,PASS
transport_cost,466.45,100,18191.55,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,466.45,100,3.2632842,3.2632842,0,0,PASS
inventory_emission,466.45,100,0.055,0.055,0,0,PASS
transport_cost,466.45,1000,181915.5,NA_INCOMPATIBLE,NA,NA,BLOCKED
transport_emission,466.45,1000,32.632842000000004,32.632842000000004,0,0,PASS
inventory_emission,466.45,1000,0.55,0.55,0,0,PASS
