dc_index,dc_id,market_index,market_id,distance_km,transport_cost_coefficient,transport_emission_coefficient
0,C01,0,C01,10,3.9,0.0006996
0,C01,1,C02,299.202,116.689,0.0209322
0,C01,2,C03,95.671,37.3118,0.00669314
0,C01,3,C04,136.153,53.0997,0.00952526
0,C01,4,C05,179.239,69.9031,0.0125396
0,C01,5,C06,217.906,84.9833,0.0152447
0,C01,6,C07,466.45,181.915,0.0326328
0,C01,7,C08,101.831,39.714,0.0071241
0,C01,8,M09,176.949,69.0102,0.0123794
0,C01,9,M10,121.325,47.3168,0.0084879
0,C01,10,M11,232.896,90.8295,0.0162934
0,C01,11,M12,191.466,74.6719,0.013395
0,C01,12,M13,151.824,59.2112,0.0106216
0,C01,13,M14,350.464,136.681,0.0245185
0,C01,14,M15,331.999,129.48,0.0232267
1,C02,0,C01,295.938,115.416,0.0207038
1,C02,1,C02,10,3.9,0.0006996
1,C02,2,C03,215.171,83.9168,0.0150534
1,C02,3,C04,185.517,72.3517,0.0129788
1,C02,4,C05,272.235,106.172,0.0190456
1,C02,5,C06,413.439,161.241,0.0289242
1,C02,6,C07,170.181,66.3705,0.0119059
1,C02,7,C08,282.828,110.303,0.0197866
1,C02,8,M09,129.149,50.3679,0.00903526
1,C02,9,M10,236.325,92.1668,0.0165333
1,C02,10,M11,149.428,58.2768,0.010454
1,C02,11,M12,326.862,127.476,0.0228673
1,C02,12,M13,200.417,78.1626,0.0140212
1,C02,13,M14,101.608,39.627,0.0071085
1,C02,14,M15,401.741,156.679,0.0281058
2,C03,0,C01,94.432,36.8285,0.00660646
2,C03,1,C02,214.664,83.719,0.0150179
2,C03,2,C03,10,3.9,0.0006996
2,C03,3,C04,42.166,16.4447,0.00294993
2,C03,4,C05,143.586,55.9987,0.0100453
2,C03,5,C06,215.624,84.0933,0.0150851
2,C03,6,C07,381.911,148.945,0.0267185
2,C03,7,C08,73.437,28.6403,0.00513765
2,C03,8,M09,92.411,36.0403,0.00646507
2,C03,9,M10,104.401,40.7164,0.00730389
2,C03,10,M11,158.713,61.898,0.0111036
2,C03,11,M12,158.734,61.9062,0.011105
2,C03,12,M13,92.517,36.0817,0.00647249
2,C03,13,M14,256.376,99.9866,0.0179361
2,C03,14,M15,295.525,115.255,0.0206749
3,C04,0,C01,130.468,50.8827,0.00912754
3,C04,1,C02,185.449,72.325,0.012974
3,C04,2,C03,41.136,16.0428,0.00287787
3,C04,3,C04,10,3.9,0.0006996
3,C04,4,C05,183.192,71.4448,0.0128161
3,C04,5,C06,255.229,99.5395,0.0178558
3,C04,6,C07,343.537,133.979,0.0240338
3,C04,7,C08,117.359,45.7699,0.00821044
3,C04,8,M09,58.053,22.6409,0.00406139
3,C04,9,M10,119.154,46.4702,0.00833601
3,C04,10,M11,129.462,50.49,0.00905716
3,C04,11,M12,198.339,77.3524,0.0138758
3,C04,12,M13,121.865,47.5272,0.00852568
