dc_id,market_id,distance_0,distance_10,cost_0,cost_10,emission_0,emission_10,changed
C01,C01,0,10,0,3.9,0,0.0006996,true
C01,C02,299.202,299.202,116.689,116.689,0.0209322,0.0209322,false
C01,C03,95.671,95.671,37.3118,37.3118,0.00669314,0.00669314,false
C01,C04,136.153,136.153,53.0997,53.0997,0.00952526,0.00952526,false
C01,C05,179.239,179.239,69.9031,69.9031,0.0125396,0.0125396,false
C01,C06,217.906,217.906,84.9833,84.9833,0.0152447,0.0152447,false
C01,C07,466.45,466.45,181.915,181.915,0.0326328,0.0326328,false
C01,C08,101.831,101.831,39.714,39.714,0.0071241,0.0071241,false
C01,M09,176.949,176.949,69.0102,69.0102,0.0123794,0.0123794,false
C01,M10,121.325,121.325,47.3168,47.3168,0.0084879,0.0084879,false
C01,M11,232.896,232.896,90.8295,90.8295,0.0162934,0.0162934,false
C01,M12,191.466,191.466,74.6719,74.6719,0.013395,0.013395,false
C01,M13,151.824,151.824,59.2112,59.2112,0.0106216,0.0106216,false
C01,M14,350.464,350.464,136.681,136.681,0.0245185,0.0245185,false
C01,M15,331.999,331.999,129.48,129.48,0.0232267,0.0232267,false
C02,C01,295.938,295.938,115.416,115.416,0.0207038,0.0207038,false
C02,C02,0,10,0,3.9,0,0.0006996,true
C02,C03,215.171,215.171,83.9168,83.9168,0.0150534,0.0150534,false
C02,C04,185.517,185.517,72.3517,72.3517,0.0129788,0.0129788,false
C02,C05,272.235,272.235,106.172,106.172,0.0190456,0.0190456,false
C02,C06,413.439,413.439,161.241,161.241,0.0289242,0.0289242,false
C02,C07,170.181,170.181,66.3705,66.3705,0.0119059,0.0119059,false
C02,C08,282.828,282.828,110.303,110.303,0.0197866,0.0197866,false
C02,M09,129.149,129.149,50.3679,50.3679,0.00903526,0.00903526,false
C02,M10,236.325,236.325,92.1668,92.1668,0.0165333,0.0165333,false
C02,M11,149.428,149.428,58.2768,58.2768,0.010454,0.010454,false
C02,M12,326.862,326.862,127.476,127.476,0.0228673,0.0228673,false
C02,M13,200.417,200.417,78.1626,78.1626,0.0140212,0.0140212,false
C02,M14,101.608,101.608,39.627,39.627,0.0071085,0.0071085,false
C02,M15,401.741,401.741,156.679,156.679,0.0281058,0.0281058,false
C03,C01,94.432,94.432,36.8285,36.8285,0.00660646,0.00660646,false
C03,C02,214.664,214.664,83.719,83.719,0.0150179,0.0150179,false
C03,C03,0,10,0,3.9,0,0.0006996,true
C03,C04,42.166,42.166,16.4447,16.4447,0.00294993,0.00294993,false
C03,C05,143.586,143.586,55.9987,55.9987,0.0100453,0.0100453,false
C03,C06,215.624,215.624,84.0933,84.0933,0.0150851,0.0150851,false
C03,C07,381.911,381.911,148.945,148.945,0.0267185,0.0267185,false
C03,C08,73.437,73.437,28.6403,28.6403,0.00513765,0.00513765,false
C03,M09,92.411,92.411,36.0403,36.0403,0.00646507,0.00646507,false
