distance_km,dc_id,mean_w,sample_sd,open_frequency
0,C01,0.0689149560117302,0.1594237201301308,0.0
0,C02,0.0009775171065493646,0.002481516163526852,1.0
0,C03,0.0020527859237536657,0.00203225364998536,1.0
0,C04,0.004594330400782014,0.004018534661015536,1.0
0,C05,0.0019550342130987292,0.004223356597202906,1.0
0,C06,0.012903225806451613,0.03151320019368524,0.0
0,C07,0.001270772238514174,0.003687887602977103,1.0
0,C08,0.0008797653958944282,0.001868964535640272,1.0
5,C01,0.0916911045943304,0.16795148593774387,0.0
5,C02,0.0008797653958944282,0.0013395115536718452,1.0
5,C03,0.0022482893450635386,0.002259829375614168,1.0
5,C04,0.0037145650048875855,0.003622532970918813,1.0
5,C05,0.002150537634408602,0.004142130617678906,1.0
5,C06,0.10772238514173998,0.18305647455152396,0.0
5,C07,0.0020527859237536657,0.0028573686892660478,1.0
5,C08,0.0039100684261974585,0.0034174286352888616,1.0
10,C01,0.17605083088954057,0.295846215763481,0.0
10,C02,0.0040078201368523945,0.0035827479980198008,1.0
10,C03,0.001466275659824047,0.0019138709880206469,1.0
10,C04,0.0005865102639296188,0.0008243148022595971,1.0
10,C05,0.002541544477028348,0.004126722762851108,1.0
10,C06,0.1935483870967742,0.29401155115087424,0.0
10,C07,0.00039100684261974585,0.0005047876632398067,1.0
10,C08,0.0031280547409579668,0.004268366997409662,1.0
15,C01,0.02267839687194526,0.06901144619995273,0.0
15,C02,0.0017595307917888563,0.0029792452135972525,1.0
15,C03,0.002932551319648094,0.0037436055044236098,1.0
15,C04,0.002541544477028348,0.0030635801299558575,1.0
15,C05,0.002541544477028348,0.003545512025737489,1.0
15,C06,0.16383186705767352,0.256610270371287,0.0
15,C07,0.0002932551319648094,0.0006597737612028865,1.0
15,C08,0.0031280547409579668,0.003442192934830696,1.0
20,C01,0.03567937438905181,0.07811884697788975,0.0
20,C02,0.0022482893450635386,0.003160806598312877,1.0
20,C03,0.0016617790811339198,0.0017272542562005307,1.0
20,C04,0.0015640273704789834,0.0025739221450806777,1.0
20,C05,0.0017595307917888563,0.0026790231073436904,1.0
20,C06,0.12258064516129033,0.2631424890861431,0.0
20,C07,0.001075268817204301,0.0024578719016808224,1.0
20,C08,0.001075268817204301,0.00254279739525926,1.0
