dc_index,dc_id,market_index,market_id,distance_km,transport_cost_coefficient,transport_emission_coefficient
0,C01,0,C01,0,0,0
0,C01,1,C02,299.202,2.99202,2.99202
0,C01,2,C03,95.671,0.95671,0.95671
0,C01,3,C04,136.153,1.36153,1.36153
0,C01,4,C05,179.239,1.79239,1.79239
0,C01,5,C06,217.906,2.17906,2.17906
0,C01,6,C07,466.45,4.6645,4.6645
0,C01,7,C08,101.831,1.01831,1.01831
0,C01,8,M09,176.949,1.76949,1.76949
0,C01,9,M10,121.325,1.21325,1.21325
0,C01,10,M11,232.896,2.32896,2.32896
0,C01,11,M12,191.466,1.91466,1.91466
0,C01,12,M13,151.824,1.51824,1.51824
0,C01,13,M14,350.464,3.50464,3.50464
0,C01,14,M15,331.999,3.31999,3.31999
1,C02,0,C01,295.938,2.95938,2.95938
1,C02,1,C02,0,0,0
1,C02,2,C03,215.171,2.15171,2.15171
1,C02,3,C04,185.517,1.85517,1.85517
1,C02,4,C05,272.235,2.72235,2.72235
1,C02,5,C06,413.439,4.13439,4.13439
1,C02,6,C07,170.181,1.70181,1.70181
1,C02,7,C08,282.828,2.82828,2.82828
1,C02,8,M09,129.149,1.29149,1.29149
1,C02,9,M10,236.325,2.36325,2.36325
1,C02,10,M11,149.428,1.49428,1.49428
1,C02,11,M12,326.862,3.26862,3.26862
1,C02,12,M13,200.417,2.00417,2.00417
1,C02,13,M14,101.608,1.01608,1.01608
1,C02,14,M15,401.741,4.01741,4.01741
2,C03,0,C01,94.432,0.94432,0.94432
2,C03,1,C02,214.664,2.14664,2.14664
2,C03,2,C03,0,0,0
2,C03,3,C04,42.166,0.42166,0.42166
2,C03,4,C05,143.586,1.43586,1.43586
2,C03,5,C06,215.624,2.15624,2.15624
2,C03,6,C07,381.911,3.81911,3.81911
2,C03,7,C08,73.437,0.73437,0.73437
2,C03,8,M09,92.411,0.92411,0.92411
2,C03,9,M10,104.401,1.04401,1.04401
2,C03,10,M11,158.713,1.58713,1.58713
2,C03,11,M12,158.734,1.58734,1.58734
2,C03,12,M13,92.517,0.92517,0.92517
