dc_id,market_id,distance_0_km,distance_10_km,transport_cost_coeff_0,transport_cost_coeff_10,transport_emission_coeff_0,transport_emission_coeff_10,changed
C01,C01,0,10,0,0.1,0,0.1,true
C01,C02,299.202,299.202,2.99202,2.99202,2.99202,2.99202,false
C01,C03,95.671,95.671,0.95671,0.95671,0.95671,0.95671,false
C01,C04,136.153,136.153,1.36153,1.36153,1.36153,1.36153,false
C01,C05,179.239,179.239,1.79239,1.79239,1.79239,1.79239,false
C01,C06,217.906,217.906,2.17906,2.17906,2.17906,2.17906,false
C01,C07,466.45,466.45,4.6645,4.6645,4.6645,4.6645,false
C01,C08,101.831,101.831,1.01831,1.01831,1.01831,1.01831,false
C01,M09,176.949,176.949,1.76949,1.76949,1.76949,1.76949,false
C01,M10,121.325,121.325,1.21325,1.21325,1.21325,1.21325,false
C01,M11,232.896,232.896,2.32896,2.32896,2.32896,2.32896,false
C01,M12,191.466,191.466,1.91466,1.91466,1.91466,1.91466,false
C01,M13,151.824,151.824,1.51824,1.51824,1.51824,1.51824,false
C01,M14,350.464,350.464,3.50464,3.50464,3.50464,3.50464,false
C01,M15,331.999,331.999,3.31999,3.31999,3.31999,3.31999,false
C02,C01,295.938,295.938,2.95938,2.95938,2.95938,2.95938,false
C02,C02,0,10,0,0.1,0,0.1,true
C02,C03,215.171,215.171,2.15171,2.15171,2.15171,2.15171,false
C02,C04,185.517,185.517,1.85517,1.85517,1.85517,1.85517,false
C02,C05,272.235,272.235,2.72235,2.72235,2.72235,2.72235,false
C02,C06,413.439,413.439,4.13439,4.13439,4.13439,4.13439,false
C02,C07,170.181,170.181,1.70181,1.70181,1.70181,1.70181,false
C02,C08,282.828,282.828,2.82828,2.82828,2.82828,2.82828,false
C02,M09,129.149,129.149,1.29149,1.29149,1.29149,1.29149,false
C02,M10,236.325,236.325,2.36325,2.36325,2.36325,2.36325,false
C02,M11,149.428,149.428,1.49428,1.49428,1.49428,1.49428,false
C02,M12,326.862,326.862,3.26862,3.26862,3.26862,3.26862,false
C02,M13,200.417,200.417,2.00417,2.00417,2.00417,2.00417,false
C02,M14,101.608,101.608,1.01608,1.01608,1.01608,1.01608,false
C02,M15,401.741,401.741,4.01741,4.01741,4.01741,4.01741,false
C03,C01,94.432,94.432,0.94432,0.94432,0.94432,0.94432,false
C03,C02,214.664,214.664,2.14664,2.14664,2.14664,2.14664,false
C03,C03,0,10,0,0.1,0,0.1,true
C03,C04,42.166,42.166,0.42166,0.42166,0.42166,0.42166,false
C03,C05,143.586,143.586,1.43586,1.43586,1.43586,1.43586,false
C03,C06,215.624,215.624,2.15624,2.15624,2.15624,2.15624,false
C03,C07,381.911,381.911,3.81911,3.81911,3.81911,3.81911,false
C03,C08,73.437,73.437,0.73437,0.73437,0.73437,0.73437,false
C03,M09,92.411,92.411,0.92411,0.92411,0.92411,0.92411,false
C03,M10,104.401,104.401,1.04401,1.04401,1.04401,1.04401,false
C03,M11,158.713,158.713,1.58713,1.58713,1.58713,1.58713,false
C03,M12,158.734,158.734,1.58734,1.58734,1.58734,1.58734,false
C03,M13,92.517,92.517,0.92517,0.92517,0.92517,0.92517,false
C03,M14,256.376,256.376,2.56376,2.56376,2.56376,2.56376,false
C03,M15,295.525,295.525,2.95525,2.95525,2.95525,2.95525,false
C04,C01,130.468,130.468,1.30468,1.30468,1.30468,1.30468,false
C04,C02,185.449,185.449,1.85449,1.85449,1.85449,1.85449,false
C04,C03,41.136,41.136,0.41136,0.41136,0.41136,0.41136,false
C04,C04,0,10,0,0.1,0,0.1,true
C04,C05,183.192,183.192,1.83192,1.83192,1.83192,1.83192,false
C04,C06,255.229,255.229,2.55229,2.55229,2.55229,2.55229,false
C04,C07,343.537,343.537,3.43537,3.43537,3.43537,3.43537,false
C04,C08,117.359,117.359,1.17359,1.17359,1.17359,1.17359,false
C04,M09,58.053,58.053,0.58053,0.58053,0.58053,0.58053,false
C04,M10,119.154,119.154,1.19154,1.19154,1.19154,1.19154,false
C04,M11,129.462,129.462,1.29462,1.29462,1.29462,1.29462,false
C04,M12,198.339,198.339,1.98339,1.98339,1.98339,1.98339,false
C04,M13,121.865,121.865,1.21865,1.21865,1.21865,1.21865,false
C04,M14,224.651,224.651,2.24651,2.24651,2.24651,2.24651,false
C04,M15,335.131,335.131,3.35131,3.35131,3.35131,3.35131,false
C05,C01,174.415,174.415,1.74415,1.74415,1.74415,1.74415,false
C05,C02,272.101,272.101,2.72101,2.72101,2.72101,2.72101,false
C05,C03,143.821,143.821,1.43821,1.43821,1.43821,1.43821,false
C05,C04,184.082,184.082,1.84082,1.84082,1.84082,1.84082,false
C05,C05,0,10,0,0.1,0,0.1,true
C05,C06,149.464,149.464,1.49464,1.49464,1.49464,1.49464,false
C05,C07,404.946,404.946,4.04946,4.04946,4.04946,4.04946,false
